,,明治26,明治27,明治28,明治29,明治30,明治31,明治32.4-9,32.10-33.3
,収入,,,,,,,,
,前年度越高（元金）,500.000,"1,000.000","1,527.740","2,097.758","2,223.673","2,368.431","2,536.648","2,633.717"
,本年度積立金,,,,,,,,
,次年度積立金,500.000,500.000,500.000,-,-,-,-,-
,利子,,27.740,70.018,125.915,144.758,168.217,97.069,-
,利子（次年度分）,,,,,,,,
,合計,"1,000.000","1,527.740","2,097.758","2,223.673","2,368.431","2,536.648",2.633.717,"2,633.717"
,支出,,,,,,,,
,借入金利子,,,,,,,,
,差引残,,,,,,,,
,内,,,,,,,,
,函館港改良工事費繰替,,,,,,,"2,536.648","2,536.648"
,現金（銀行預人）,,,,,,,97.069,97.069
