,諸　　　預　　　金,,,,貸　　付　金,,割　　引　　手　　形,,荷　　為　　替,,送　　金　　手　　形,,代　金　取　立　手　形,
,定期預金,当座預金,その他預金,’合　　計,貸付高,当座預金貸越,当　　所,他　　所,入金(取立),出金(貸出),入金(振出),出金(振込),当　　　所,他　　所
明治27,"1,721,561","10,880,785","2,414,153","15,016,499","5,155,854","4,328,542","2,511,267","982,980","1,695,048","3,436.186","5,012,14","3　　　3.582,498","300,028","31,246"
28,"1,551,292","12,683,980","1,528,926","15,764,198","3,798,045","3,453,953","1,106,900","275,360","1,439,901","3,327,984","5,304,61","1　　　1,439,901","275,491","42,580"
29,"1,816,587","20,579,421","2,311,498","24,707,506","5,428,391","7,666,776","4,861,724","515,594","2,510,032","4,603,252","6,573,12","3　　　2,510,032","379,412","180,439"
30,"1,071,485","25,067,117","3,041,689","29,180,291","5,747,301","14,240,059","13,698,807","5,768,607","3,648,253","5,736,821","8,452,28","3　　　3,648,253","697,868","423,942"
31,"1,073,415","27,651,124","2,516,001","31,240,540","4,920,103","13,646,724","8,529,858","1,323,708","3,711,051","4,752,740","11,589,27","γ　　　9,292,400","1,264,684","519,407"
32,"1,148,839","16,291,763","2,257,484","19,698,086","3,464,675","11,864,961","5,443,689","828,769","3,302,063","5,769,307","12,583,94","3　　　10,994,699","969,062","427,596"
33,"1,584,432","54,229,216","2,606,183","58,419,831","3,367,800","15,077,578","10,384,290","1,947,165","2,912,273","4,312,368","17,686,06","1　　　13,270,667","1,179,256","447,131"
34,"1,813,562","52,429,218","2,251,375","56,494,155","2,995,159","12,532,192","8,033,338","1,926,313","4,163,476","5,710,394","18,015,15","1　　　16,145,152","1,038,970","494,606"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
