,諸　　　　　預　　　　　金,,,,,,,,,,,,,,,,送　金　手　形　及　び　荷　為　替　手　形,,,,,,代　　　　　　金,,取　　　　立　　　　手　　　　形,,,,,
,定期預金,（↓平均額）,当座預金,（↓平均額）,その他預金,（↓平均額）,合　　計,（↓平均額）,貸　　付　　金　　及　　び　　割　　引　　手　　形,（↓平均額）,当座預金貸越,（↓平均額）,割引手形,（↓平均額）,総　　計,（↓平均額）,送　　　　金,,荷　為　　替,,合　　　　計,,為　替　手　形,,約　束　手　形,,小　　切　　手,,合　　　　　　計,
,預入高,月末残高,預入高,月末残高,預入高,月末残高,預入高,月末残高,貸付金,月末残高,貸　出　高,月末残高,割引高,月末残高,貸出割引高,月末残高,入金（振出）,出金（振込）,入金（取立）,出金（貸出）,入　　金,出　　金,入　　金,出　　金,入　　金,出　　　金,入　　金,出　　　金,入　　金,出　　　金
明治31,"733,304","534,125","21,850,493","1,096,765","2,550,559","140,857","25,134,356","1,771,747",貸出高,"773,946","6,440,973","836,303","6,255,356","779,316","15,914,045","2,389,565","9,253,862","8,058,807","3,777,387","4,766,555","13,031,249","12,825,362","635,362","170,640","57,394","18,137","231,957","77,677","924,713","266,454"
32,"1,102,157","872,565","31,142,391","1,796,719","2,356,056","216,818","34,600,604","2,886,102","3,217,716","935,430","6,133,146","728,386","6,498,198","984,349","15,816,902","2,648,165","11,590,921","9,143,862","3,087,513","5,800,579","14,678,434","14,944,441","849,246","136,092","155,756","13,033","195,835","98,468","1,200,837","247,593"
33,"1,365,591","1,041,583","36,150,690","1,812,654","3,056,850","247,399","40,573,131","3,101,636","3,185,558","999,708","9,238,615","870,026","9,728,486","1,314,625","22,485,243","3,184,359","15,110,848","11,381,256","3,713,140","5,732,292","18,823,988","17,113,548","1,120,887","185,059","273,569","11,485","46,716","34,944","1,441,172","231,488"
34,"1,482,817","951,296","36,578,554","1,718,828","2,987,128","187,501","41,048,499","2,857,625","3,518,142","940,728","8,328,580","846,216","9,194,346","1,304,490","20,427,915","3,091,434","15,204,082","12,712,299","4,035,876","5,649,936","19,239,958","18,362,235","1,239,653","299,971","125,800","6,958","62,431","32,785","1,427,884","339,714"
35,"1,456,738","1,221,985","38,648,378","1,840,017","3,085,756","327,045","43,190,872","3,389,047","2,904,989","1,274,451","8,034,661","922,801","9,554,025","1,248,051","22,230,572","3.445,303","15,033,109","12,920,396","5,339,005","7,286,562","20,372,114","20,206,958",1.400.529,"360,458","138,371","12,901","56,436","99,040","1,595,336","472,399"
36,"2,135,093","1,390,182","51,072,327","2,352,436","3,354,058","266,372","56,561,478","4,008,990","4,641,886","1,078,826","6,813,287","767,186","8,969,563","1,285,786","20,235,872","3,131,798","16,620,833","16,262,404","3,965,694","8,911,044","20,586,527","25,173,448","2,217,170","488,397","239,497","10,438","39,878","173,417","2,496,545","672,252"
37,"2,523,674","1,610,885","47,533,511","2,602,905","3,295,056","308,696","53,352,241","4,522,486","4,453,022","1,372,577","6,151,352","727,603","10,325,349","1,358,636","22,828,306","3,458,816","17,986,155","13,920,906","4,858,745","7,812,525","22,844,900","21,733,431","2,448,676","530,716","258,484","6,370","48,013","87,013","2,755,173","624,099"
38,"2,525,982","1.610,866","40,046,800","2,030,953","4,252,947","436,713","46,825,729","4,078,532","6,351,605","1,223,108","6,039,944","682,832","10,509,601","1,407,272","21,462,055","3,313,212","15,077,717","14,323,150","5,242,374","7,718,039","20,320,091","22,041,189","1,968,990","601,736","149,142","4,088","59,779","117,911","2,177,911","723,735"
39,"2,612,998","1,530,216","45,547,046","1,969,083","6,881,430","619,002","55,041,474","4,118,301","4,912,510","1,180,668","6,352,892","603,414","10,510,439","1,389,284","22,943,936","3,173,366","14,606,543","18,131,202","6,814,406","7,497,885","21,420,949","25,629,087","2,147,416","938,300","178,118","3,673","32,100","258,354","2,357,634","1,200,327"
40,"2,942,705","1,784,929","61,467,050","2,458,019","6,102,835","386,382","70,512,590","4,629,330","6,080,605","1,353,055","8,557,860","614,162","11,480,943","1,528,850","26,251,776","3,496,067","17,918,939","19,006,294","7,288,891","8,452,955","25,207,830","27,459,249","2,850,492","2,410,857","208,238","46,169","72,115","89,224","3,130,845","2,546,250"
41,"2,980,827","1,773,748","48,045,316","1,996,128","5,704,532","327,237","56,730,675","4,097,113","6,212,973","1,073,560","8,425,472","717,326","10,498,398","1,590,793","22,394,253","3,381,679","15,569,955","17,627,593","6,247,525","6,890,313","21,817,480","24,517,906","3,670,572","1,112,598","416,055","15,115","68,168","76,570","4,154,795","1,204,283"
42,"3,490,785","1,882,911","42,034,043","1,443,106","11,871,843","1,023,741","57,396,671","4,349,758","3,470,383","933,105","7,084,812","656,416","8,656,685","1,435,140","19,001,737","3,024,661","13,908,779","13,623,269","5,546,635","7,193,149","19,455,414","20,816,418","2,083,151","1,052,854","693,569","506,984","25,965","92,646","2,802,685","1,652,484"
43,"4,482,655","2,290,398","55,133,636","1,823,638","8,579,287","1,072,232","68,195,578","5,186,268","3,260,240","1,211,040","7,284,164","514,789","7,598,038","1,233,879","19,744,206","2,959,708","15,677,092","14,583,207","7,257,675","9,635,790","22,934,767","24,218,997","2,209,225","1,063,720","300,541","15,612","20,536","139,972","2,530,302","1,219,304"
44,"5,960,300","2,967,341","61,807,510","1,824,000","11,664,404","1,130,433","79,432,214","5,921,774","4,862,004","1,430,761","10,108,432","629,115","14,138,886","1,734,729","30,428,269","3,794,605","15,396,065","15,323,937","8,123,576","10,392,224","23,447,513","25,788,289","2,298,293","1,383,592","421,725","29,556","17,103","58,121","2,737,121","1,471,269"
