,諸　　　　　　預　　　　　　金,,,,,,諸　　　　　　預　　　　　　金,,,,,,
,定　　期　　預　　金,,当　　座　　預　　金,,特　別　当　座　預　金,,貯　　蓄　　預　　金,,そ　の　他　預　金,,合　　　　　　　計,,（↓平均額）
,受　入　高,払　出　高,受　人　高,払　出　高,受　入　高,払　出　高,受　入　高,払　出　高,受　人　高,払　出　高,受　入　高,払　出　高,月末残高
昭和１,"60,959,808","57,739,360","322,576,527","322,561,930","41,372,572","41,222,674","12,611,330","12,366,522","40,844,706","40,838,193","478,364,943","474,728,679","48,124,535"
２,"49,093,657","51,009,161","334,384,005","333,584,181","45,325,248","44,732,784","16,913,910","14,799,164","51,166,209","49,033,406","496,883,029","493,158,696","51,848,868"
３,"61,943,886","61,815,968","444,103,666","444,675,731","62,723,437","62,472,547","21,117,674","19,064,082","78,774,057","80,747,252","668,662,720","668,775,580","50,579,901"
４,"54,111,823","54,426,470","411,281,657","411,599,033","62,167,977","62,179,534","23,471,806","22,372,504","62,844,213","61,957,900","613,877,476","612,535,441","45,035,083"
５,"45,258,293","45,516,694","305,690,858","307,116,681","47,230,551","47,462,160","16,575,072","16,458,382","60,544,573","61,349,716","475,299,347","477,903,633","51,354,715"
６,"41,053,512","41,341,360","215,000,120","215,770,192","43,660,707","43,982,481","10,871,907","12,610,567","50,746,890","51,108,526","361,333,136","364,813,126","48,171,453"
７,"44,658,351","42,430,755","222,237,488","220,538,711","38,337,043","38,428,198","9,721,956","9,752,353","52,050,305","50,709,719","367,005,143","361,859,736","47,766,704"
８,"42,046,104","40,269,742","258,576,107","258,919,192","38,236,786","39,015,508","10,172,864","10,015,772","50,958,695","54,110,677","399,990,556","402,330,891","52,621,220"
９,"53,753,087","48,634,130","348,939,095","347,678,169","55,725,025","54,043,168","16,112,334","15,141,023","81,102,002","76,757,427","555,631,543","542,253,917","64,349,811"
10,"55,983,734","54,216,730","356,215,375","356,571,879","44,222,084","46,163,322","12,807,463","13,004,762","75,411,224","72,727,108","544,639,880","542,683,801","65,173,907"
ｎ,"52,298,207","52,863,109","389,151,035","388,706,056","41,157,590","41,130,673","13,971,775","13,738,286","80,119,332","80,355,671","576,697,939","576,793,795","66,210,685"
12,"59,289,625","60,379,978","474,834,599","470,997,300","45,082,565","44,260,675","15,083,304","14,430,602","76,834,176","75,515,035","671,124,269","665,583,590","68,777,966"
13,"64,086,465","61,076,469","569,230,926","565,760,730","54,680,341","53,553,133","17,428,775","16,406,105","84,265,687","81,320,883","789,692,194","778,117,320","75,027,539"
14,"77,357,490","66,623,662","773,665,377","768,746,853","80,648,650","78,171,419","23,237,122","20,836,097","115,524,637","109,540,366","1,070,433,276","1,043,918,397","92,186,842"
15,"142,663,293","130,842,460","1,406,945,253","1,406,810,723","170,874,121","165,369,640","33,431,724","29,768,527","142,681,485","215,546,071","1,896,595,876","1,948,337,421","122,421,111"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
