,為　　替　　手　　形　　取　　扱　　高,,,,,,,
,送　　金　　手　　形,,割　　引　　手　　形,,代　金　取　立　手　形,,荷　　為　　替　　手　　形,
,取　組　高,支　払　高,取　組　高,支　払　高,取　組　高,支　払　高,取　組　高,支　払　高
昭和１,"114,589,020","84,267,460","5,151,713","10,674,921","16,240,442","20,025,962","51,127,960","23,889,788"
２,"106,014,088","85,744,090","6,865,957","12,493,445","17,087,744","22,708,674","42,540,538","21,416,956"
３,"101,728,847","10,470,271","7,384,903","18,527,736","14,233,214","22,371,147","44,603,350","21,726,616"
４,"112,131,824","110,655,236","5,480,679","29,225,959","16,110,225","26,354,814","37,558,189","34,204,490"
５,"90,676,628","104,541,332","4,413,750","17,991,498","11,957,979","21,508,525","29,572,871","15,637,748"
６,"70,414,387","62,828,470","4,424,223","9,804,886","10,264,151","14,900,074","23,469,026","10,374,465"
７,"71,337,102","69,793,512","4,241,266","9,108,816","12,212,712","14,257,397","23,663,558","12,173,403"
８,"87,088,143","75,275,771","10,079,407","16,237,331","11,243,678","11,509,795","26,663,360","13,504,912"
９,"110,091,778","114,294,105","14,564,674","22,148,733","10,296,903","18,365,641","33,884,637","19,291,311"
10,"114,573,903","89,870,664","17,531,450","22,815,386","12,354,611","19,157,941","28,818,158","19,583,079"
11,"122,530,962","99,433,333","20,822,510","27,346,996","15,004,843","21,657,151","32,948,193","19,779,964"
12,"140,614,888","114,538,854","28,783,149","33,316,442","19,300,937","23,686,897","33,112,670","22,633,417"
13,"170,825,110","150,750,881","25,581,770","34,401,453","21,738,715","29,344,619","40,051485","21,590,484"
14,"228,555,966","210,360,367","55,628,391","24,625,739","29,000,182","35,909,898","35,203,615","37,934,049"
15,"286,981,736","253,790,072","41,421,836","42,283,504","32,955,916","36,425,287","56,523,586","23,730,156"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
