,日　本　銀　行　函　館　支　店　勘　定　（年計）,,,,銀　　　行　　　預　　　金　　　勘　　　定　（年末現在）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,銀　　行　　券,,国　　庫　　金,,φ八　　嶮石,丶|yr冫卜7jr冫ぢ八,-･---,｀冫砥ぷｎｘ芒i乙,d･ぜ･lgiﾑ，,･=!=･一一ム,納税準備,その他の,銀　　行　　貸　　出　　金　　勘　　定　（年末現在）,,,,,手　形　交　換　高　お　よ　び　不　渡　手　形　高　（年計）,,,,,,預　　　　　　金　　　　・　　　　貯　　　　　　金,,,,,,,貸　　　　　　　　出　　　・　　　貸　　　　　　　　付,,,,,
,発　　行,還　　収,受　　入,支　　払,吊Q5　　11yt,=1ｴＪ一一乙,日Xf刄丿冫4丶1L,XJ71ﾉ丶ＭＪ癶丶ぴ-,74－冫▽'JJ-R Jび･,AG.WJ・ヽ-,預　　金,預　　金,総　　額,手形貸付,証書貸付,当座貸付,割引手形,手　形　交　換,,八　　φ茫i,き!　　嶮芒i,不　渡　手　形,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,交換日数,枚　　数,-　-,-　-,枚　　数,金　　額,相互銀行,信用金庫,信用組合,労働金庫,商工中金,農　協,漁　協,相互銀行,信用金庫,信用組合,労働金庫,商工中金,農　　協
昭和23,,,,●●●,●●●,●●●,●●●,●●呷,●●●,●●●,,●●僵,■●蕃,●●●,,●●●,●●●,●●●,"254,143","18,2〔)5",,●●●,,,■●●,●●●,-,,■■・,春●●,・●■,,,-,●●●,●●●
24,●●●,●●●,二●●,●●●,"3,716",■●●,●●●,●●●,,,,●●齒,"2,538",●●●,●舎●,●●●,●●Ｉ,●●●,●●●,●啝●,●●●,●●●,●●●,274,■●●,72,-,●●●,,,271,●●●,58,-,■●●,●彈呷
25,夸●●,●●●,●●●,●●●,"3,955",●●啝,●●●,●●●,●●●,●●●,●●●,●●●,"3,388",,●●●,●●●,●●●,●■●,●●●,●●●,●嘯●,●●●,●●●,235,,130,-,,235,-,267,-,92,-,●曾●,●●●
26,●●●,二●●,●●●,■・●,"5,903",■呷●,■●●,●●●,●●啝,●●●,●●●,,"4,787",●●●,■●●,●●●,,●●呷,,,●●●,二●●,●春●,465,22,γ,-,,,,449,￢,37,-,,●●●
27,"16,253","7,682",●暈■,●●●,"8,056",二●●,●●●,●●●,●●●,●●●,●●●,●●●,"6,507",,●●●,●二●,,,,,,●●●,●●●,728,35,１,-,●●●,●●●,●●二,666,２,14,-,●●●,●●●
