,通　常　貯　金,,,積　立　貯　金,,,定　額　貯　金,,,割　定　貯　金,,,定　期　貯　金,,,住　宅　貯　金,,,その他貯金,,
,受　入,払　戻,残　高,受　入,払　戻,残　高,受　入,払　戻,残　高,受　入,払　昃,残　高,受　入,払　戻,残　高,受　入,払　戻,残　高,受　入,払　戻,残　高
昭和41,"11,472","10,599","6,559",888,730,927,"4,514","2,303","10,286",４,15,57,20,15,19,-,-,-,１,２,０
42,"13,477","12,416","7,620","1,056",881,"1,103","5,960","2,980","13,266",３,14,46,22,21,20,-,-,-,２,２,０
43,"15,555","14,290","8,886","1,206","1,059","1,250",7t237,"3,888","16,616",３,９,40,29,22,26,-,-,-,２,２,０
44,"17,976","16,519","10,343","1,319","1,228","1,341","8,995","4,815","20,795",２,11,31,35,29,33,-,-,-,３,３,０
45,"19,895","18,598","11,640","1,412","1,304","1,449","11,180","6,374","25,601",１,９,23,34,35,32,-,-,-,６,５,０
46,"23,059","21,113","13,585","1,491","1,434","1,506","15,093","7,385","33,309",１,７,18,50,35,47,-,-,-,６,５,０
47,"26,593","24,655","15,523","1,499","1,478","1,527","19,775","9,908","43,176",１,８,11,67,50,64,５,-,５,８,８,０
48,"31,978","29,237","18,264","1,520","1,527","1,520","24,206","11,878","55,504",０,５,６,431,69,425,17,１,20,20,22,△2
49,"38,973","35,461","21,776","1,631","1,482","1,669","31,732","18,345","68,891","1,121",６,"1,121","1,389","1,008",807,46,５,61,-,-,-
50,"43,888","41,350","24,313","1,879","1,632","1,916","43,196","21,844","90,243",159,430,850,"1,082",838,"1,051",63,22,102,-,-,-
51,"48,726","45,512","27,527","2,160","1,833","2,243","46,099","22,947","113,395",48,308,590,934,"1,161",824,102,48,156,-,一,-
52,"52,291","50,597","29,221","2,400","2,191","2,452","54,611","26,109","141,897",44,126,508,"1,596",908,"1,512",142,73,225,-,-,-
53,"57,989","53,971","33,239","2,565","2,382","2,635","53,467","27,282","168,082",37,64,482,"2,545","1,696","2,362",135,124,236,-,-,-
54,"64,942","61,581","36,600","2,705","2,576","2,764","77,637","51,519","194,200",36,54,463,"3,912","2,925","3,348",103,142,197,-,-,-
55,"72,101","71,932","36,769","2,814","2,659","2,919","156,822","122,392",">28,630",32,132,363,"4,826","4,359","3,815",62,135,124,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
