,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,諸　　　預　　　金,,諸　　貸　　付　　金,,割　　引　　手　　形,
,,預　　入　　高,"（↓平均額）
月　末　残　高",貸　　出　　高,"（↓平均額）
月　末　残　高",割　　引　　高,"（↓平均額）
月　末　残　高"
,明治26,"19,128",,-,-,-,-
,27,"24,764",●●●,-,-,-,-
,28,"578,868",●●●,"90,000",●●●,"75,800",●●参
,29,"3,322,861","1,520","2,032,937","519,313","2,360,884","1,222,444"
,30,"6,328,983","17,632","8,771,787","476,215","11,704,505","572,865"
,31,"5,581,689","3,494","8,406,579","369,811","3,089,552","156,827"
,32,"12,622,504","18,447","6,193,442","84,430","919,599","186,650"
,33,"17,365,675","24,715","6,068,675","76,281","2,798,739","355,117"
,34,"18,296,002","9,337","4,419,666","212,312","1,881,518","266,285"
,35,"22,152,406","22,939","5,069,379","136,353","1,835,228","238,939"
,36,"35,880,138","73,780","3,234,730","18,651","2,575,009","53,950"
,37,"39,464,689","8,178","7,047,853","50,598","3,461,895","245,250"
,38,"37,592,387","42,336","2,924,182","50,025","4,678,907","206,963"
,39,"47,168,978","74,793","2,924,182","50,025","4,678,907","206,963"
,40,"57,908,613","59,723","1,948,180","77,025","7,014,950","362,729"
,41,"50,426,084","37,326","1,765,949","129,843","5,802,385","540,378"
,42,"51,980,734","43,734","796,178","55,294","2,750,192","216,974"
,43,"57,520,206","77,592","718,861","9,150","786,700","58,892"
,44,"65,731,872","37,597","1,684,558","26,161","2,889,000","174,083"
,大正１,"79,926,963","27,705","1,133,996","19,273","4,464,000","284,916"
,２,"57,603,384","43,952","1,589,688","15,726","9,205,486","682,157"
,３,"53,956,767","30,748","1,429,569","19,119","8,639,000","696,080"
,４,"52,488,023","44,641","478,103","1,689","2,079,000","247,083"
,５,"81,658,223","77,309","269,445","2,444","1,530,000","71,250"
,６,"124,923,219","102,048","456,125","5,240","4,428,727","269,810"
,７,"173,313,466","230,869","475,357","10,570","6,593,000","526,623"
,８,"207,597,391","300,201","839,255","13,700","11,037,100","663,775"
,９,"210,893,038","349,465","392,658","3,090","13,186,442","976,143"
,10,"199,310,141","282,931","70,431","1,666","5,500,000","282,500"
,11,"168,522,618","330,272","183,009","1,635","6,719,576","444,318"
,12,"151,878,433","299,837","63,394","2,307","6,669,543","341,865"
,13,"161,476,717","228,795","342,522","3,288","2,798,573","173,214"
,14,"155,297,156","337,794","715,018","6,384","2,716,665","120,816"
,昭和１,"181,065,845","313,541","376,909","5,000","1,075,000","62,550"
,２,"193,679,843","363,973","442,956","1,303","8,140,531","647,143"
,３,"173,840,137","342,757","408,226","10,688","240,000","75,000"
,４,"198,161,203","543,125","94,208",-,●●●,●・●
,５,"184,002,905","510,265","100,759",-,●●●,
,６,"140,745,744","471,952","146,618","142,409",●●●,●●●
,７,"128,625,923","357,301","179,455","46,887",●●●,●●●
,８,"142,363,811","488,548",-,-,●●●,■●■
,９,"201,611,281","671,011","688,288","39,203",●●●,●●●
,10,"198,968,919","579,138","281,170","281,170",●●●,●●●
,11,"218,927,128","680,732","297,547","297,547",●●●,●●●
,12,"242,507,324","804,901","283,108","283,108",●●●,●●●
,13,"289,625,931","789,271","912,542","912,542",二●●,●●●
,14,"377,600,713","877,747","870,202","870,202",●●ａ,●●■
,15,"433,570,016",●●●,"596,209",●●●,●●●,●●●
