,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"取　扱

局　数",預　　　　　　　　　入,,払　　　　　　　　戻,
,,,度　　　数,金　　　　額,度　　　　数,金　　　　額
,明治19,４,,"72,053",●●●,"36,874"
,20,3-,"6,652","50,133","1,224","28,410"
,21,７,,"1,300,712",●●●,"1,232,169"
,22,２,"6,067","49,314","1,190","43,549"
,23,２,"9,256","47,586","1,433","58,969"
,24,１,"11,507","58,433","1,658","57,914"
,25,２,"8,508","51,090","1,652","48,999"
,26,３,"10,223","64,624","2,053","52,887"
,27,３,"9,556","54,649","2,665","70,001"
,28,３,"10,414","58,855","2,443","59,560"
,29,４,"9,932","63,260","2,760","80,348"
,30,４,"7,279","47,494","2,804","71,829"
,31,５,"8,074","39,083","2,593","55,985"
,32,５,"13,757","52,957","4,713","46,988"
,33,６,"22,137","69,035","4,623","60,298"
,34,,●●●,●●ｌ,,・●●
,35,,"26,173","66,664","7,880","78,271"
,36,,"26,756","89,001","8,623","85,616"
,37,●●●,"45,911","104,973","14,443","87,995"
,38,,"30,008","123,388","10,450","112,850"
,39,●●●,"2,727","129,913","8,752","209,148"
,40,１,"23,500","87,872","8,886","265,745"
,41,１,"44,618","183,653","7,491","136,684"
,42,１,"37,316","125,071","7,932","108,842"
,43,８,"93,206","402,694","68,290","342,255"
,44,８,"96,847","438,344","38,376","395,165"
,大正１,９,"92,146","450,686","47,988","469,719"
,２,９,"34,229","136,397","9,290","173,202"
,３,９,"94,757","527,818","33,577","510,171"
,４,９,"31,793","140,285","7,347","134,224"
,５,10,"123,953","926,614","41,171","698,394"
,６,10,"144,243","1,308,449","49,651","1,097,500"
,７,９,"136,563","1,592,230","49,378","1,353,690"
,８,●●●,"164,508","2,083,215","56,371","1,851,647"
,９,●二●,"155,103","2,489,448","61,542","2,200,013"
,10,11,"159,774","2,311,902","66,075","2,309,807"
,11,12,"143,236","2,277,328","66,150","2,276,973"
,12,12,"160,880","2,480,969","64,846","2,400,886"
,13,12,"178,330","2,479,672","71,443","2,537,225"
,14,13,"214,824","2,511,027","73,165","2,519,773"
,昭和１,13,"223,964","2,578,944","79,393","2,530,111"
,２,13,"243,836","4,066,885","89,974","3,280,843"
,３,14,"270,453","3,886,627","98,237","3,549,483"
,４,14,"301,867","4,310,791","109,016","3,824,253"
,５,15,"325,769","4,795,815","123,396","4,412,437"
