,単位,明　　治　　２,,明　　治　　３,,明　　治　　４,,明　　治　　５,,明　　治　　６,,明　　治　　７,,明　　治　　８,,明　　抬　　９,,明　　治　　10,,明　　治　　11,,明　　治　　12,,明　　治　　13,,明　　治　　14,
,,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●●●,"425,997",・●●,"400,774",●二暴,"434,053",・●●,"338,946",●●●,"437,537",●●●,"265,089",●●●,"395,997",●●●,"473,835",●●●,"483,047",●●●,"722,299",●●●,"692,524",●●●,"749,262",●●襴,"843,628"
煎海鼠,斤,"91,713","37,052","81,364","42,936","58,698","29,108","188,827","94,414","205,681","107,049","155,120","66,301","146,677","71,550","195,266","83,370","155,414","59,447","176,086","65,868","137,397","58,329","187,862","106,659","232,202","141,097"
干鮑,斤,"177,093","37,053","121,525","44,713","134,403","50,752","153,282","38,320","163,010","39,401","85,735","18,813","160,498","41,403","41,567","10,420","75,622","20,722","107,538","29,810","47,878","14,450","7,026","2,234","6,654","1,996"
鯣,斤,"108,706","16,643","159,738","18,926","138,680","15,817","288,498","28,850","127,188","12,377","115,568","9,950","181,474","21,429","94,396","7,018","264,762","30,868","237,189","26,639","307,292","51,227","377,937","54,583","196,425","24,491"
鱶鰭,斤,"15,842",206,-,-,-,-,118,31,568,153,253,74,"1,506",370,546,120,"3,891",858,"1,238",300,"1,722",435,"5,433","1,816","10,629","3,394"
干魚,斤,"59,623","2,901",-,-,848,37,-,-,■●■,911,-,-,"68,543","2,588","84,854","2,962","24,792",704,"84,887","2,396","26,945","1,284","76,914","7,590","62,097","3,942"
海扇身,斤,-,一,-,-,2n,27,-,-,"2,450",297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
塩魚,斤,-,-,"158,046","4,614",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鰊鯑,斤,-,-,"4,434",288,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-
塩鮭,斤,-,-,-,-,-,-,"4,298",129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
干鱈,斤,-,-,-,-,-,-,"34,491","1,293",-,-,"30,143","1,476",-,一,-,-,-,-,-,-,-,-,-,-,-,-
干鮭,斤,-,-,-,-,-,-,-,-,-,-,597,42,-,-,-,-,-,-,-,-,-,-,一,-,-,-
筋子,樽,140,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
身欠鰊,斤,一,-,-,-,"11,412",296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
魚油,斤,"16,065",2/504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平貝,斤,-,-,-,-,-,-,"32,400","4,209",-,-,-,-,514,58,"1,920",109,200,16,425,46,317,21,"6,003",124,"1,255",55
鮑貝,斤,-,-,-,-,-,-,-,-,-,-,-,-,50,５,-,-,-,-,-,-,-,-,-,-,~,-
貝柱,斤,-,-,-,-,-,-,-,一,-,一,-,-,-,-,-,-,-,-,-,-,182,18,-,-,-,-
長切昆布,斤,"7,939,691","308,387","7,195,594","265,134","9,856,046","324,248","7,113,044","156,487","13,186,691","245,911","11,998,441","143,342",-,-,-,-,-,-,-,-,-,一,-,-,-,-
板昆布,斤,一,-,-,-,"12,108",551,-,-,-,-,-,-,"11,355,107","225,877","16,383,723","323,664","15,769,580","318,145","19,616,994","440,590","20,956,618","526,248","20,938,739","523,007","24,621,821","605,633"
刻昆布,斤,"164,931","11,171","99,982","6,082","136,626","7,279","222,152","8,220","498,769","13,616","285,323","8,844","523,635","15,995","252,384","6,767","491,397","18,179","566,600","20,170","584,300","24,301","741,800","38,789","930,950","39,447"
根昆布,斤,-,-,-,-,"9,678",152,-,-,"5,534",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
氷,トン,-,-,-,-,-,-,380,"2,197",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
椎茸,斤,-,-,-,-,-,-,-,-,-,-,120,24,-,-,"2,148",756,"3,780",853,"1,922",411,-,-,-,-,-,-
茸類,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,60,-,-,-,-
豆類,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,232",54,150,３,-,-,-,-
馬鈴薯,斤,-,-,"9,780",64,-,-,-,-,-,-,"5,375",38,"9,750",49,"9,472",49,"6,050",34,"2,112",14,"8,215",67,"5,760",48,-,-
食料,,-,-,-,-,一,-,-,-,-,-,-,-,暮●●,16,●●●,２,-,-,-,-,●●●,"1,966",●●●,78,●●●,134
日本酒,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,131",36,-,-,-,-,"2,295",70,110,７,125,５
植木,,-,-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,10,●●●,５,-,-
人参(薬種),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,234",850,-,-
鹿角,斤,"35,584","4,420","40,466","4,147","46,565","5,011","14,850","1,262","14,441","2,035","16,894","1,527","34,058","5,694","21,442","2,689","75,102","15,106","80,681","12,207",154,22,"56,624","9,169","2,942",730
鹿茸,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,290",306,762,600,482,295,-,-,-,-
鹿皮,斤,-,-,-,-,-,-,-,-,284,84,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
鹿爪,斤,-,-,-,一,443,33,-,-,"6,244",174,"9,299",272,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鹿胎子,斤,-,-,-,-,74,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
毛皮取合,枚,-,-,-,-,-,-,-,-,116,222,８,６,●●●,698,●●●,460,●●●,"4,162",707,696,"1,790",794,"2,024","1,196","8,789","4,621"
麻,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,15,-,-,-,-,-,-
木綿織物,反,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,28,-,-,-,-
馬毛,斤,225,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
醤油,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,３,-,-,"8,348",463,361,８,865,12,-,-
淡菜,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,087",555,"4,020",247,439,15,"2,729",183,"14,396",689
硫黄,斤,"4,000",48,-,-,-,-,"214,705","2,147","796,173","11,441","1,111,929","13,759","676,086","8,930","1,042,322","16,414","201,413","2,417","1,158,054","12,949","545,012","5,341",600,６,-,-
石炭,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"351,120","1,168","1,323,084","1,893",-,-,-,-,-,-
青銅,斤,"4,500",555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,519,80,-,-,-,-,-,-
熟銅,斤,"1,499",398,-,-,-,-,"1,268",288,"13,003","2,249","2,888",491,-,-,-,-,-,-,-,-,-,-,-,-,-,一
