,単位,明　　治　　２,,明　　治　　３,,明　　治　　４,,明　　治　　５,,明　　治　　６,,明　　治　　７,,明　　治　　８,,明　　治　　９,,明　　治　　10,,明　　治　　11,,明　　治　　12,,明　　治　　13,,明　　治　　14,
,,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
古銅,斤,-,-,-,-,-,-,"3,818",593,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉛,斤,-,-,-,-,-,-,-,-,"10,390",519,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
銅器,斤,-,-,-,-,-,-,-,-,"1,000",51,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-
銅古大砲,斤,-,-,-,-,-,-,-,-,"3,052",306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蚕卵紙,枚,"2,608","1,144",653,541,-,-,599,419,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-
漆器,個,５,32,-,-,-,-,３,60,15,262,１,２,●●４,104,-,-,●●●,90,-,-,一,-,-,一,-,-
葉煙草,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,625,28,-,-,-,-,-,-,-,-,-,-
刻煙草,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,３,-,-,-,-,-,-,-,-,-,-
煙草類,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,28,-,-,-,-
茶,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,10,３,-,-,-,一
索麺,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,１,-,-,-,-,175,６,-,-,-,-
雑貨,斤,-,一,一,-,-,-,-,-,-,-,１,52,●襴Ｓ,896,●●●,"17,812",●●●,277,・・●,"3,041",・●●,"3,354",●●●,"1,023",僵●●,160
木材,石,"1,835","2,250",110,646,-,-,-,-,228,399,58,25,8斤,５,●●●,440,・●●,483,●●●,"2,275",■●■,721,●●●,655,●●●,"1,616"
柔材木,斤,-,-,-,-,-,-,-,-,一,-,-,-,10,20,-,-,-,-,-,-,-,-,-,-,-,-
杉板,石,625,704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑木具,個,"1,396",51,"1,180","1,225",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
木炭,俵,750,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300斤,３,-,-,-,-
薪,斤,-,-,"10,775",306,"30,906",711,"1,100",26,"1,200",29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
臘虎皮,枚,-,-,-,-,-,-,-,-,３,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
無税衣服,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,●●●,15,-,-,-,-
無税木綿織物,,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,146,-,-,-,-
無税漆器,,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,●●●,８,●●●,360,●●●,31
無税竹器,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,21,-,-
無税陶器,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,１,-,-
無税青銅器,,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,570,-,-
無税紙,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●・,６,●●●,７,一,一
無税写真,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,25,-,-
無税米,斤,-,-,-,一,-,-,-,-,-,-,-,-,-,-,"13,500",302,"498,600","8,310","5,627,772","101,535","88,050","2,902","9,188",245,-,-
無税硫黄,斤,一,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,968,142","14,728"
無税雑貨,,-,-,-,-,-,-,-,-,-,-,-,-,●●●,２,-,-,-,-,-,-,●●●,３,-,-,一,-
船用木炭,俵,-,-,一,-,-,-,-,-,-,-,-,-,30,４,-,-,-,-,-,-,-,-,-,-,-,-
船用石炭,り,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,59,680
船用薪,,-,-,-,-,-,-,-,-,-,-,-,-,●●●,ｎ,-,-,-,-,-,-,-,-,-,-,-,-
船用食物,,-,-,-,-,-,-,-,-,-,-,-,一,●●●,77,-,-,-,-,-,一,-,-,-,-,-,-
船用米,,-,-,-,-,-,-,-,-,-,-,-,-,●●●,216,-,-,-,-,-,-,-,-,-,-,一,-
船用雑貨,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,●●・,139
