,単位,明　　治　　15,,明　　治　　16,,明　　治　　17,,明　　治　　18,,明　　治　　19,,明　　治　　20,,明　　治　　21,,明　　治　　23,,明　　治　　24,,明　　治　　25,,明　　治　　26,,明　　治　　27,,明　　治　　28,,明　　治　　29,
,,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
総計,,●●●,"508,088",●●●,"436,750",●●●,"378,913",●争●,"684,898",●●●,"673,548",●●●,"735,477",●●●,"536,054",●●●,"823,034",●●●,"638,709",●●●,"782,859",●●●,"639,627",●●尋,"357,032",●●●,"748,031",●襴●,"868,713"
飲食物類,小計,●●●,"503,506",●●Ｉ,"348,668",●●号,"341,470",●●●,"585,124",●●●,"596,089",●●●,"552,126",●●●,"423,562",●●●,"682,907",●■●,"399,087",●●●,"467,704",●●■,"402,164",●申●,"61,903",●●●,"437,529",●●●,"494,151"
大麦,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,485",615
豆類,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,94,３,-,一,-,-,"1,407",39
麦酒その他洋酒類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,58,●●●,695
飲料諸類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,42
栗,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,８,-,-,-,-,-,-
干鰯,斤,"161,485","19,483","430,829","38,956","170,430","14,675","335,254","35,704","506,714","43,655","390,682","37,656","230,803","24,979","468,845","48,886","298,400","30,192","306,583","34,085","491,576","54,291",●●●,"32,541","182,698","25,347","425,484","80,538"
塩鮭及び塩鱈,斤,"45,094","1,837",703,14,-,-,-,-,901,18,-,-,"26,077",915,"1,150",40,"1,100",44,"1,583",63,709,30,-,-,290,12,"6,525",269
田作,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450,14
その他干魚塩魚,斤,-,-,-,-,"27,025",227,"197,496","2,948","9,451",155,-,-,"40,484","1,062","16,970",457,"65,870","1,875","21,177",576,"39,629","1,119",●●●,336,-,一,"15,839",225
麦粉その他穀粉類,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,288",97,-,-,"28,125","2,000","226,702","7,758"
