,単位,明　　治　　31,,明　　治　　32,,明　　　治　　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,以μ．,大　　正　　10,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,ＸＩ”,数　量,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●●●,"1,179,238",●●●,"2,078,554",●●●,"2,074,234",●●●,"2,315,126",●●●,"1,962,923",●●●,"2,954,956",●争●,"2,034,120",●●●,"2,316,256",●●●,"3,158,253",●■●,"2,257,798",●■■,"2,246,464",●●●,"1,974,328",●●●,"2,322,459",●●●,"1,694,420",●●●,"2,257,216",・●●,"2,813,161",●●●,"3,148,982",●●●,"3,228,935",●・●,"4,027,586",●●●,"5,127,415",●●●,"6,226,250",,"4,498,660",●●響,"4,411,354",,●●●,●●二,"3,853,750",●●●,"4,121,482",●●●,"4,377,370"
乾鰯,斤,"308,358","53,845","358,937","68,403","235,299","53,034","816,487","154,639","611,874","85,807","1,220,787","208,023","1,243,174","222,722","920,902","161,966","738,812","131,124","290,735","60,827","1,626,617","315,126","1,459,760","272,097","997,699","207,956","922,959","198,623","1,337,959","234,913","2,369,298","394,383","4,400,179","651,420","3,077,845","463,166","2,712,847","574,320","3,629,100","751,099","1,214,185","472,408","472,585","382,756","1,662,776","721,252",担,"6,783","16,920","851,105","35,169","1,147,876","23,369","818,316"
乾鱈,斤,-,-,-,-,-,-,-,-,-,-,-,-,"8,800",569,"42,063","3,132","224,228",13.953,"73,748","4,536","498,054","27,636","439,405","24,812","319,270","16,899","291,730","18,976","371,777","24,192","655,150","40,932","1,063,721","66,831","900,340","57,278","1,193,033","85,106","1,379,628","166,699","1,092,656","140,093","1,274,145","221,512","597,002","82,543",担,"6,259","5,520","94,799","4,519","87,380","7,921","162,046"
海参,斤,"107,574","54,883","172,317","79,235","90,726","43,307","139,162","68,913","84,413","40,354","159,546","76,501","104,209","55,131","174,647","106,028","214,398","135,228","162,194","104,155","199,300","129,216","204,827","115,892","151,910","91,535","130,045","87,383","129,225","80,659","115,785","87,197","129,340","105,742","161,542","140,347","214,571","219,391","120,920","196,156","171,805","398,404","170,266","522,402","125,235","342,003",担,"1,679","1,086","226,869",904,"174,762","2,098","582,425"
昆布,斤,"23,269,438","351,821","119,294*","571,664","26,621,076","625,256","42,211,384","811,463","26,672,114","434,380","37,295,237","667,072","37,092,154","815,315","34,654,478","1,026,051","25,698,299","771,701","25,086,221","728,574","27,049,396","664,447","21,357,596","499,307","30,426,000","774,252","18,366,936","499,038","20,511,435","514,697","23,869,202","736,874","33,572,933","963,448","35,043,751","1,125,470","27,043,546","1,100,848","20,011,257","976,599","35,917,358","1,874,364","13,956,995","819,819","23,126,316","1,403,022",担,"143,284","94,992","693,829","126,931","796,007","68,378","552,059"
刻昆布,斤,"927,500","31,773","5,013s","36,095","1,009,450","31,922","1,284,300","38,124","654,350","19,015","1,174,630","32,968","862,785","27,737","1,120,650","41,840","641,900","21,664","416,000","15,136","725,590","23,098","657,851","23,042","976,450","38,221","｀　1,236,285","41,587","984,801","30,980","1,441,318","56,917","1,716,155","74,288","2,000,997","84,793","1,159,620","52,661","1,720,242","111,060","1,669,807","124,744","1,591,087","148,914","1,308,180","112,298",担,"15,403","18,023","185,882","29,321","263,145","23,458","220,726"
鱶鰭,斤,"19,197","9,104","25,975","11,753","22,968","10,748","37,014","17,035","48,278","23,642","59,417","32,883","50,831","33,763","46,173","30,689","55,966","38,881","50,972","38,627","75,088","40,072","89,069","49,338","60,250","29,846","56,892","28,800","69,005","37,354","83,525","47,651","77,797","35,312","58,514","36,898","65,170","43,645","54,295","58,558","41,280","54,978","31,825","49,428","31,900","48,590",担,295,213,"326,931",328,"52,412",389,"69,167"
貝柱,斤,"37,258","16,919","67,743","35,180","31,497","17,610","54,680","33,035","95,167","34,766","102,217","36,404","56,019","24,019","76,469","48,785","117,899","67,935","53,161","25,278","112,300","68,706","187,725","97,378","122,946","51,875","89,950","42,283","132,100","63,718","146,244","85,875","235,785","137,870","311,078","145,649","187,880","116,372","113,258","154,631","186,515","400,522","188,200","381,284","363,535","407,701",担,"3,458","3,776","416,010","4,605","702,950","4,289","820,449"
乾鮑,斤,"1,438",472,"2,115",690,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,207","3,074","3,100","1,534",671,303,81,41,315,303,-,-,"3,600","2,283","1,980",790,-,-,"1,100","2,399","6,400","9,940",-,-,担,１,１,31,２,404,８,"1,701"
淡菜,斤,"9,399","2,386","4,149",417,-,-,"7,561",971,"13,619","1,328","26,554","3,105","29,100","4,418","40,528","6,489","32,735","4,992","9,888","2,109","30,250","5,951","13,720","2,357","6,260","1,044","1,600",290,"2,900",471,"5,360","1,120","8,280","1,770","1,450",291,-,-,-,-,-,-,-,-,-,-,担,-,-,-,-,-,-,-
乾飯,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,890","4,049","9,570","3,314","5,830","2,161","6,700","2,612","3,190","1,687","3,500","1,856","3,970","2,196",-,-,-,-,-,-,-,-,-,-,担,-,-,-,-,-,-,-
塩鮭,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,650",124,"7,410",571,"4,820",259,"1,125",60,-,-,"10,250","2,268",-,-,-,-,"16,855","4,388",-,-,担,-,526,"11,670",342,"7,400",-,-
塩鱒,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,196,253","41,401","2,921,865","129,774","3,851,741","180,097","1,033,070","44,603","625,475","24,424","590,540","26,654","196,300","13,845","925,200","113,996","421,875","54,721","677,480","78,510",担,122,"11,096","87,767",-,-,-,-
塩鱈,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,904,413","62,064","1,261,889","48,282","687,300","23,835","692,231","35,565","365,525","16,267","1,169,725","92,549",-,-,担,-,"1,604","18,323","8,444","109,735",-,-
