,単位,明　　治　　31,,明　　治　　32,,明　　治　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　　治　　　43,,明　　　治　　　44,,大　　　正　　１,,大　　　正　　２,,大　　　正　　　３,,大　　　正　　４,,大　　　正　　５,,大　　　正　　　　６,,大　　　正　　　７,,大　　　正　　８,,大　　　正　　９,,以μ．,大　　正　　10,大　　　正　　　11,,大　　　正　　　　12,,大　　　正　　　13,
,,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,９－４,数　　量,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
角牙類,斤,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,703,●●●,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
樹皮,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,一,-,-,-,"1,061,545","22,268",●●●,"22,182",●●●,"7,461",-,"13,025",●●●,"7,848",●●●,"16,978",●●●,"20,251","380,400","34,142","293,510","30,673","735,160","78,855",担,"5,201","5,239","62,925","2,332","26,411","4,706","56,543"
その他林産物,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●争●,128,●●●,"28,806",●●●,198,●●・,82,●●●,"2,443",●●●,213,,●●●,●●●,249,●●●,34,●●●,22
その他普通貿易品,,-,-,-,-,-,一,-,-,-,-,-,-,-,-,●●●,"10,894",-,-,●曾●,"2,833",●●●,"4,785",●●●,366,●●●,"2,849",●●●,752,●争●,"4,622",●●●,"4,092",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
米（玄米）,担,-,-,-,-,-,-,42,181,38,182,20,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
･･（精米）,担,"321,132斤","23,814","7,600R","127,506","28,520","192,617","31,535","167,989","35,730","186,188","33,706","218,525",41,231,240,"1,274","9,329","60,225","5,590","41,678","1,954","14,538","2,387","15,711","1,085","6,681",905,"7,738",759,"6,712",111,"1,344",387,"2,983",229,"1,474",60,398,"5,719","48,473",178,"3,080","2,456","45,809","1,556","31,175",担,"5,215","4,297","68,587","4,792","69,423","1,714","27,782"
澱粉,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,421",297,"2,068",189,"352,798","37,116","2,952,805","451,100","1,920,702","354,413","613,706","92,030","476,612","44,966",担,347,206,"3,842",765,"11,068","3,463","50,948"
製茶,斤,-,-,"3,021","1,590",-,-,-,-,-,-,"13,163","4,684",-,-,220,126,"4,868","1,544","9,817","1,942","2,321",972,250,100,770,269,256,n4,-,-,10,８,12,４,75,60,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
豆類,担,-,-,-,-,-,-,-,-,-,-,194,958,-,-,"8,800",292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,,-,-,-,-,-,-,-
