,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
硝子製品,個,192,"2,664",85,"3,149","1,077","44,176",676,"5,791",497,"6,250","11,447","57,496",-,-
車輛,輌,14,416,-,-,20,"1,648",135,"8,600",508,"27,426",１,63,30,"26,149"
車輪,個,14,228,-,-,-,-,106,557,108,"3,452",-,-,-,-
船舶,隻,４,"8,580",14,"41,134",57,"220,882",100,"205,926","1,105","1,180,363",610,"1,519,789",７,"20,980"
時計,個,４,135,２,214,13,"1,205",９,252,100,688,52,"1,341",１,７
楽器及び学術器,個,85,"5,181",１,30,137,"29,442",40,"9,491",327,"21,769",714,"21,761",56,"2,646"
度量衡器,個,-,-,-,-,９,396,１,50,43,"2,801",-,-,-,-
その他機械類,個,822,"102,792","4,079","166,883",842,"157,358",960,"344,640","10,037","1,077,667","2,751","1,144,273",519,"100,351"
豆糟,個,-,-,-,-,-,-,-,-,-,一,１,１,-,-
人造肥料,叺,２,５,-,-,-,-,-,一,-,-,-,-,-,-
その他肥料,個,-,-,-,-,-,-,-,-,-,-,９,111,-,-
空樽,個,964,"9,662",232,"1,740",425,"2,543",５,110,465,"4,877",17,70,５,47
家具指物,個,68,358,-,-,３,44,-,-,-,-,-,-,５,157
その他木製品,個,25,490,126,"4,610","1,131","16,646","5,968","43,594","4,884","68,524","10,386","59,574",40,594
竹製品・竹及び籐製品,個,１,３,31,162,41,749,600,"4,067","2,674","21,174","1,886","19,932",１,８
化粧品,箱,27,"2,521",-,-,65,"1,044",一,-,17,481,-,-,-,-
石鹸,箱,122,"1,138",116,"4,338",n7,"3,135",12,60,36,378,46,963,-,-
小間物,個,-,-,19,"2,380",168,"9,387",３,10,28,"2,638",４,192,-,-
文房具,個,９,944,５,677,53,949,19,"1,360",ｎ,150,４,45,-,-
玩具,個,-,-,-,-,８,457,-,-,-,-,-,-,-,-
漆器,個,-,-,-,-,-,-,２,32,-,-,13,464,-,-
燐寸,箱,"255""","4,519",103,"1,538",93,912,-,-,64,828,82,"1,087",-,-
荒物,個,26,499,-,-,-,-,"1,035","3,658",510,"8,959",48,"3,004",-,-
畳表及び茣蓙・藺製品,東,72,645,118,517,102,253,78,564,138,"1,272",337,"1,645",-,-
畳及び畳床,枚,150,394,-,-,-,-,-,-,240,912,-,-,-,-
莚,束,48,108,170,"3,186",345,520,"10,041","13,389","23,754","38,928","11,883","94,192","14,019","22,600"
叺,束,80,162,"1,930","4,197","13,785","36,395","5,619","13,112","32,682","104,370","62,814","103,122",-,-
繩,個,12,67,74,598,10,"5,915",580,"3,624","13,984","45,394","8,899","44,840",998,"3,192"
藁製履物,個,-,-,-,-,-,-,-,-,903,"5,240",238,"1,234",-,-
その他藁工品,個,24,161,-,一,-,-,"13,402","27,047","6,719","32,688","1,647","12,485","7,768","45,160"
護謨及び同製品,個,34,"2,590",43,"8,686",34才,"5,509",40,"4,356",57,"6,975",658,"14,961",79,"3,801"
皮革骨角製品,個,"1,289","5,465",27,753,８,785,４,"1,485",70,"7,702",88,"10,910",57,"2,776"
爆発物,個,-,-,-,-,-,-,-,-,161,"9,800",58,"3,450","2,504","89,275"
その他工産物,個,13,547,132,"8,502","5,288","211,642","2,072","86,893","91,870","720,811","7,888","208,393","5,090","121,677"
雑品,,,,,,,,,,,,,,,
引越荷物,個,-,-,-,-,-,-,10,340,132,"1,665",411,"4,110",39,"2,220"
手荷物,個,-,-,-,-,-,-,-,-,"95,353","763,041","55,207","1,104,135",211,"1,685"
その他雑品,個,"12,951","56,914","1,795","20,802","29,199","1,083,755","8,829","166,398","8,173","99,486","31,431","156,924","3,138","41,269"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
