,単位,昭　　和　　37,,昭　　和　　38,,昭　　和　　39,,昭　　和　　40,,昭　　和　　41,,昭　　和　　42,,昭　　和　　43,,昭　　和　　44,,昭　　和　　45,,昭　　和　　46,,昭　　和　　47,,昭　　和　　48,,昭　　和　　49,,昭　　和　　50,,昭　　和　　51,,昭　　和　　52,,昭　　和　　53,,昭　　和　　54,,昭　　和　　55,
,,数　量,金　額,数　量,金　額,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額
合計,,●●●,"1,476,548",●●●,"382,335",●●●,"2,216,810",●●●,"6,207,589",●●●,"7,459,739",●●●,"7,055,691",●●●,"12,982,570",●●●,"12,374,476",●●●,"13,711,134",●●・,"16,485,458",●●●,"16,619,857",●●●,"21,891,337",●●●,"15,542,510",●●・,"35,909,823",●●●,"25,129,699",●●●,"37,213,225",●●●,"14,365,910",●■●,"25,863,613",●●●,"4,395,793"
食料品及び動物,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●・●,"677,355",●●●,"59,655",●●・,"47,123",●●・,"23,870",●●●,"723,374",●●●,"735,034",●・●,"1,003,077",-,-,-,-,-,-,-,-,-,-
もみ及び玄米,トッ,-,-,-,-,-,-,~,-,-,-,-,-,-,-,"4,507","629,863",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-
牛(水牛を含む),頭,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,"46,512",-,-,30,"24,657",40,"65,770",252,"997,723",-,-,-,-,-,-,-,-,-,-
その他,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●■●,"47,492",●●・,"59,655",・●・,611,譱●●,"23,870",●●●,"698,717",●●●,"669,264",●襴●,"5,354",-,-,-,-,-,-,-,-,-,-
食用に適しない原材料,小計,●●●,"28,281",●●●,"150,624",●●●,"73,066",●●●,"120,892",,"190,840",●■●,"20,164",●●●,"31,001",●●●,"36,653",-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
ミンクの毛皮,枚,"5,675","25,527","12,539","63,294","14,240","73,066","13,948","82,736","25,331","145,803","3,600","16,508","4,548","17,514","8,259","36,653",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
いたちの毛皮,枚,"2,200","1,872",-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-
木製の軌条用まくら木,㎡,-,-,"7,008","87,330",-,-,"2,769","35,743","3,085","43,818",-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
