,単位,明　　　治　　　２,,明　　　治　　　３,,明　　　治　　　４,,明　　　治　　　５,,明　　　治　　　６,,明　　　治　　　７,
,,数　　　量,金　　　額,数　　量,金　　　額,数　　　量,金　　　額,数　　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額
総計,,●二●,"2,247",●●●,"2,995",蔘僵●,"19,632",,"8,360",,"17,147",●●●,"16,080"
英呉呂服,ﾔｰﾄﾞ,"1,949",384,-,-,-,-,-,-,-,-,-,-
金巾,ﾔづ,264,25,-,-,-,-,-,-,-,-,-,-
天鵞絨,ﾔｰﾄﾞ,700,200,-,-,"2,700","1,000",-,-,-,-,-,一
黒大羅紗,ﾔｰﾄﾞ,50,98,-,-,-,-,-,-,-,-,-,-
生金巾,ﾔｰﾄﾞ,-,-,-,-,"27,400","3,114",-,-,"1,650",136,-,-
哂金巾,ﾔｰﾄﾞ,-,-,-,-,"3,600",409,-,-,"12,080",871,-,-
染金巾,ﾔｰﾄﾞ,-,-,-,-,9.706,"1,103",-,-,"2,370",288,-,-
赤地更紗,ﾔｰﾄﾞ,-,-,-,-,"5,760",655,-,-,-,-,-,-
寒冷紗,ﾔｰﾄﾞ,-,-,-,-,-,-,115,74,700,74,-,-
フランネル,ﾔｰﾄﾞ,-,-,-,-,-,-,60,15,-,-,-,-
ブランケヅト,斤,-,-,-,-,-,-,375,75,-,-,-,-
重丹敷物,巻,-,-,-,-,-,-,３,74,-,-,一,-
綿天鵝絨,ﾔづ,-,-,-,-,-,-,-,-,"3,465","1,384","3,940","1,182"
畝呉呂,ﾔｰﾄﾞ,-,-,-,-,-,-,-,-,960,169,-,-
更紗,ﾔづ,-,-,-,-,一,-,-,-,"2,300",207,-,-
アノレパカ,ﾔｰﾄﾞ,-,-,-,-,-,-,-,-,"1,250",235,-,-
ラステ.fソグ,ﾔい,-,-,-,-,-,-,-,-,"2,016",364,-,-
雑織物,箱,-,-,-,-,-,-,-,-,１,51,-,-
更紗風呂敷,ﾔづ,-,-,-,-,-,-,400,360,-,-,-,-
繰綿,斤,-,-,-,-,"11,438","2,749",-,-,"5,000",606,"59,056","7,200"
沓足袋,数,-,-,-,-,-,-,t20,13,-,-,-,-
白砂糖,斤,"7,800","1,035",-,-,-,-,"5,497",550,"21,359",993,"18,854","1,233"
赤砂糖,斤,-,-,"17,600","1,943","87,330","9,457",-,-,"87,535","2,109","9,315",282
氷砂糖,斤,-,-,-,-,"1,327",190,-,-,"1,800",176,-,-
菓子,箱,-,-,-,-,-,-,-,-,37,267,36,105
酒,樽,-,-,104,566,-,-,-,-,-,-,-,-
ホーク酒,,-,-,-,-,-,-,８,40,-,-,18,91
洋酒,箱,-,-,一,-,-,-,45,273,259*!,"1,720",214『,691
酒並びに食物,箱,-,-,-,-,116,736,-,-,16,217,-,-
麦酒,樽,-,-,-,-,-,-,-,-,41,710,515,"1,183"
支那茶,箱,-,-,-,-,-,-,-,-,２,19,-,-
支那酒,樽,-,-,-,-,-,-,-,-,２,８,-,-
牛酪,樽,一,-,-,-,-,-,-,-,-,-,４,77
蜂蜜,斤,-,-,-,-,-,-,-,-,400,85,-,-
巻莨,斤,-,-,-,-,-,-,-,-,-,-,７,12
漬物取合,箱,-,-,-,-,-,-,-,-,-,-,９,52
豆油,斤,-,一,-,-,-,-,-,-,-,-,300,16
器械類,箱,-,-,-,-,-,-,-,-,４,36,-,-
食物機械,函,62,505,一,-,-,-,-,-,-,-,-,-
木挽機械,個,-,-,-,-,-,-,１,"5,050",-,-,-,-
蒸気鑵,個,-,-,-,-,-,-,１,202,-,-,-,-
椅子,数,-,-,-,一,-,-,-,-,４,２,-,-
家具,個,-,-,-,-,-,-,68,777,-,-,-,-
煖爐,数,-,-,-,-,-,-,-,-,-,-,２,70
鏡,数,-,-,-,-,-,-,-,-,74,44,-,-
西洋傘,本,-,-,-,-,-,-,240,156,-,-,-,-
写真,個,-,-,-,-,-,-,１,101,-,-,-,-
靴,足,-,-,-,-,-,-,-,-,-,-,７,21
唐紙,包,-,-,-,-,５,38,-,-,-,-,-,-
硝子,箱,-,-,一,-,-,-,150,600,420,"1,414",150,455
紙張傘,数,-,-,-,-,-,-,-,-,440,76,-,-
棹石鹸,斤,-,-,-,-,-,-,-,-,"1,948",109,-,-
香具石鹸,箱,-,-,-,-,-,-,-,-,７,18,15ﾊﾟ,５
石炭油,函,-,~,17,86,一,-,-,-,698,"2,708","1,192","3,260"
蝋燭,斤,-,-,-,-,-,-,-,-,45,４,-,-
油,,-,-,-,-,"3,000",182,-,-,-,-,-,-
雑貨,箱,-,-,-,-,一,-,-,-,27,473,16,65
苧綱,斤,-,-,-,-,-,-,-,-,-,-,670,68
縄,斤,-,-,-,-,-,-,-,-,890,36,-,-
鉄製器,数,-,-,-,-,-,-,-,-,７,127,-,-
延鉄,斤,-,-,-,-,-,-,-,-,398,５,-,-
棹鉄,斤,-,-,-,-,-,-,一,-,"26,373","1,193",-,-
鉄釘,斤,-,-,-,-,-,-,-,-,64,９,-,-
