,単位,明　　治　　15,,明　　治　　16,,明,治　　17,明　　治　　18,,明　　治　　19,,明　　治　　20,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
総計,,●●●,"7,417",,"4,378",,"5,004",●・●,"6,765",●●●,"16,185",,"11,422"
飲食物類,小計,血●●,"2,806",●・■,"1,374",●●●,967,,82,●●●,687,,167
牛酪・乳油(BUTTER),斤,279,92,-,-,-,-,37,20,一,-,-,-
乾酪(CHEESE),斤,67,15,-,-,-,-,74,42,-,-,-,-
"乾麺包（桶袋等入）（BISCUITS,IN CASKS,BAGS,&C)",斤,-,-,-,-,-,-,-,-,-,-,-,-
糖菓諸類(CONFECTIONARIES AND PRESERVES),,●●●,228,-,-,-,-,-,-,-,-,-,-
"生卵(EGGS,FRESH)",,-,-,-,-,-,-,-,-,-,-,-,-
麦粉その他穀粉類(FLOUR OF ALL KINDS),斤,"2,600",76,-,-,"1,125",70,-,-,"8,210",286,213,９
麦粉(FLOUR),斤,-,-,-,-,-,-,-,-,-,-,-,-
その他穀粉類(FLOUR OTHERS),斤,-,-,-,-,-,-,-,-,-,-,-,-
ハム及びベーコン(HAM AND BACON),斤,-,-,133,29,-,-,-,-,-,-,-,-
"乳膏及び乳粉(MILK,CONDENSED AND DESICCATED)",打,４,９,-,-,-,-,-,-,-,-,-,-
乳膏(CONDENSED MILK),打,-,-,-,-,-,-,-,-,-,-,-,-
鉱水(MINERAL WATER),,-,-,-,-,●●●,20,-,-,-,-,-,-
塩(SALT),,-,-,-,-,-,-,-,-,●●二,78,-,-
塩魚(SALTED FISH),斤,"21,452",400,-,-,-,-,-,-,-,-,-,-
"塩肉樽入(SALTED MEAT, IN CASKS)",斤,330,61,-,-,-,-,-,-,-,-,-,-
"その他塩肉(SALTED MEAT,OTHER)",,-,-,-,-,-,-,-,-,-,-,-,-
茶(TEA),斤,30,10,-,-,-,-,-,-,-,-,35,７
諸食物及び菜菓類,,●●●,"1,915",-,-,-,-,-,-,-,-,-,-
その他諸食物類(ALL OTHER PROVIS10NS),,-,-,,1.344,●●●,878,●●●,20,●●●,323,,151
書籍及び文具類,小計,,300,-,-,●●●,118,,１,,30,,50
書籍(B00KS),冊,207,300,-,-,64,79,36,１,40,30,54,50
"唐紙(P八PER,CHINESE)",,-,-,-,一,-,-,-,-,-,-,-,-
その他諸文具類(八LL OTHER STATIONERY),,-,-,-,-,ｌ●●,39,-,-,-,-,-,-
兵器時計その他諸機械器具類,小計,,50,●●●,44,●●●,93,・●●,77,●●●,155,,235
大砲(CANNON),門,-,-,-,-,-,-,-,-,-,-,-,-
小銃(MUSKETS),挺,-,-,-,-,-,-,-,-,-,-,-,-
カートリヅジ(CARTRIDGES),,-,-,-,-,-,-,-,-,-,-,-,-
"その他兵器類(ARMS & MUNITION OF WAR,OTHERS)",,-,-,-,-,-,-,-,-,-,-,-,-
権衡類(BALANCES AND SCALES),,-,-,-,-,-,-,,７,●●●,15,-,-
晴雨儀(BAROMETERS),個,-,-,ー,-,-,-,-,-,-,-,-,-
乗車及び車具類(CARRIAGES & PARTS OF),,-,-,-,-,-,-,-,-,-,-,-,-
置時計掛時計類(CLOCKS),個,-,-,-,-,-,-,-,-,-,-,-,-
刃物類(CUTLERY),,-,-,-,-,-,-,-,-,-,-,-,-
猟銃及び付属品類(FOWLING PIEACES & FITTINGS OF),,-,-,-,-,-,-,-,-,-,-,-,-
農具(IMPLEMENTS OF FARMERS),,-,-,-,-,●●●,43,-,-,-,-,-,-
"楽器(INSTRUMENTS,MUSI CAL)",,●●●,50,-,-,-,-,-,-,●●●,140,-,-
"写真器(INSTRUMENTS,PHOTOGRAPHICAL)",,-,-,-,-,-,-,●●●,70,-,-,-,-
"その他諸学術器類(INSTRUMENTS,OTHER SCIENTIFICAL)",,-,-,-,-,-,-,-,-,-,-,-,-
"写字機及び付属品(MACHINERY,COPY I NG & PARTS OF)",,-,-,,24,-,-,-,-,-,-,-,-
"その他諸機械器具類(MACHINERY,ALL OTHER)",,-,-,●●ｆ,20,,50,-,-,-,-,・●●,195
鍼盤(MARINE OR FIELD COMPASS),個,-,-,-,-,-,-,-,-,-,-,-,-
喞筒器及び同部分品類(PUMPS＆PARTS OF),,-,-,-,-,-,-,-,-,-,-,●●●,40
望遠鏡(TELESCOPES),個,-,-,-,-,-,-,-,-,-,-,-,-
"帆船(VESSELS,SAI LING)",艘,-,-,-,-,-,-,-,-,-,-,-,-
袂時計(WATCHES),個,-,-,-,-,-,-,-,-,-,-,-,-
衣服及び附属品類,小計,,222,・■・,35,,67,・●●,219,●僵●,"1,006",呷・・,379
長靴及び短靴(B00TS AND SHOES),足,-,-,２,10,-,-,２,18,２,18,-,-
支那靴(B00TS AND SHOES CHINESE),足,-,-,-,-,-,-,２,２,４,４,-,-
諸靴類,足,４,24,-,-,-,-,-,-,-,-,-,-
領襟(COLLARS),,-,-,-,-,-,-,-,-,-,-,,３
手袋(GLOVES),打,３,２,-,-,-,-,-,-,-,-,-,-
"帽子(HATS,CAPS,&C)",数,-,-,-,-,-,-,-,-,２,10,２,15
襟飾(NECK-TIES),打,１,４,-,-,-,-,●●●,２,-,-,-,-
足袋(SOCKS & STOCKINGS),足,-,-,-,-,-,-,-,-,-,-,35,10
雨衣(WATER-PR00F COSTS),個,-,-,-,-,-,-,-,-,-,-,-,-
諸衣服類(ALL OTHER CLOTHING AND APPAREL),,,191,,25,●●・,67,,197,,975,Ｓ血呷,351
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位,明　　治　　23,,明　　治　　24,,明,,,,,,,
,,数　量,金　額,数　量,金　額,数　量,,,,,,,
総計,,,"676,534",,"216,860",●■●,,,,,,,
飲食物類,小計,●●●,"2,173",,"7,648",,,,,,,,
牛酪・乳油(BUTTER),斤,一,-,-,-,-,,,,,,,
乾酪(CHEESE),斤,-,-,-,-,-,,,,,,,
"乾麺包（桶袋等入）（BISCUrTS,IN CASKS,BAGS,&C)",斤,-,-,"2,213",109,-,,,,,,,
糖菓諸類(CONFECTIONARIES AND PRESERVES),,-,-,■●●,60,-,,,,,,,
"生卵(EGGS,FRESH)",,-,-,-,-,卜●●,,,,,,,
麦粉その他穀粉類(FLOUR OF ALL K【NDS),斤,-,一,1.744,79,-,,,,,,,
麦粉(FLOUR),斤,-,-,-,-,-,,,,,,,
その他穀粉類(FLOUR OTHERS),斤,-,-,-,-,-,,,,,,,
ハム及びベーコン(HAM AND BACON),斤,-,-,-,-,-,,,,,,,
"乳膏及び乳粉(MILK,CONDENSED AND DESICCATED)",打,-,-,-,-,-,,,,,,,
乳膏(CONDENSED MILK),打,-,-,-,-,-,,,,,,,
鉱水(MINERAL WATER),,-,-,-,-,-,,,,,,,
塩(SALT),,-,-,-,-,-,,,,,,,
塩魚(SALTED FISH),斤,"62,408","1,854","240,890","6,768","246,610",,,,,,,
"塩肉樽入(SALTED MEAT, IN C.八SKS)",斤,-,一,"3,330",94,-,,,,,,,
"その他塩肉(SALTED MEAT,0THER)",,-,-,,７,-,,,,,,,
茶(TEA),斤,-,-,-,-,15,,,,,,,
諸食物及び菜菓類,,-,-,-,-,-,,,,,,,
その他諸食物類(ALL OTHER PROVISIONS),,,319,●●●,531,●●●,,,,,,,
書籍及び文具類,小計,-,-,●●●,107,,,,,,,,
書籍(B00KS),冊,-,-,10,107,353,,,,,,,
"唐紙(PAPER,CHINESE)",,-,-,-,-,-,,,,,,,
その他諸文具類(ALL OTHER STATIONERY),,-,-,-,-,,,,,,,,
兵器時計その他諸機械器具類,小計,●・・,"229,630",,"3,451",４■●,,,,,,,
大砲(CANNON),門,一,-,-,-,-,,,,,,,
小銃(MUSKETS),挺,-,-,-,-,-,,,,,,,
カートリッジ(CARTRIDGES),,,163,-,-,-,,,,,,,
"その他兵器類(ARMS & MUNITION OF WAR,OTHERS)",,-,-,-,-,-,,,,,,,
権衡類(BALANCES AND SCALES),,-,-,-,-,-,,,,,,,
晴雨儀(BAROMETERS),個,-,-,-,-,-,,,,,,,
乗車及び車具類(CARRIAGES & PARTS OF),,●●●,330,齒●●,151,-,,,,,,,
置時計掛時計類(CLOCKS),個,-,-,-,-,-,,,,,,,
刃物類(CUTLERY),,-,-,-,-,●●●,,,,,,,
猟銃及び付属品類(FOWLING PIEACES & FITTINGS OF),,,242,-,-,-,,,,,,,
農具(IMPLEMENTS OF FARMERS),,-,-,-,-,-,,,,,,,
"楽器(INSTRUMENTS,MUSICAL)",,-,-,-,-,●●・,,,,,,,
"写真器(INSTRUMENTS,PHOTOGRAPH I CAL)",,-,-,,100,●●●,,,,,,,
"その他諸学術器類(INSTRUMENTS,0THER SCIENTIFICAL)",,-,-,-,-,-,,,,,,,
"写字機及び付属品(MACHINERY,COPY I NG & PARTS OF)",,-,-,-,-,-,,,,,,,
その他諸機械器具類(MACH】NERY.ALL OTHER),,●●●,"228,834",-,-,-,,,,,,,
鍼盤(MARINE OR FIELD COMPASS),個,-,-,-,-,-,,,,,,,
喞筒器及び同部分品類(PUMPS & PARTS OF),,-,-,-,-,-,,,,,,,
望遠鏡(TELESCOPES),個,２,61,-,-,-,,,,,,,
帆船(VESSELS.SAILING),艘,-,-,ｌ,"3,200",-,,,,,,,
袂時計(WATCHES),個,-,-,-,-,-,,,,,,,
衣服及び附属品類,小計,●●●,550,,63,●Ｉ●,,,,,,,
長靴及び短靴(B00TS AND SHOES),足,-,-,４,63,２,,,,,,,
支那靴(B00TS AND SHOES CHINESE),足,-,-,一,-,-,,,,,,,
諸靴類,足,-,-,-,-,-,,,,,,,
領襟(COLLARS),,-,-,-,-,ー,,,,,,,
手袋(GLOVES),打,-,-,-,-,-,,,,,,,
"帽子(HATS,CAPS,&C)",数,-,-,-,-,-,,,,,,,
襟飾(NECK-TIES),打,-,-,-,-,-,,,,,,,
足袋(SOCKS & STOCKINGS),足,-,-,-,-,-,,,,,,,
雨衣(WATER-PROOF COSTS),個,-,一,-,-,-,,,,,,,
諸衣服類(ALL OTHER CLOTHING AND APPAREL),,,550,-,-,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
治　　25,明　　治　　26,,明　　治　　27,,明　　治　　28,,,,,,,,
金　額,数　量,金　額,数　量,金額,数　量,金　額,,,,,,,
"12,101",●●●,"24,322",●●●,"55,421",・■●,"156,715",,,,,,,
"6,093",,"20,381",●●●,"24,075",●●●,"45,654",,,,,,,
-,36,28,105,44,96,39,,,,,,,
-,-,-,-,-,-,-,,,,,,,
-,-,-,-,-,-,-,,,,,,,
-,-,-,-,-,●●●,20,,,,,,,
11,-,-,-,-,●●●,165,,,,,,,
-,-,-,-,-,-,-,,,,,,,
-,-,-,-,-,413,12,,,,,,,
-,-,-,-,-,-,-,,,,,,,
-,-,-,-,-,-,-,,,,,,,
