,単位,明　　治　　15,,明　　治　　16,,明,治　　17,明　　治　　18,,明　　治　　19,,明　　治　　20,,明　　治　　23,,明　　治　　24,,明,治　　25,明　　治　　26,,明　　治　　27,,明　　治　　28,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数量,金　額,数　量,金　額
染料及び彩料類,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,20,-,-,-,-,-,-,-,-
"鉛粉(LEAD,WHITE)",斤,一,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
色油(PA【NT IN OIL),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,20,-,-,-,-,-,-,-,-
布帛糸縷及びその材料類,小計,●●●,68,,60,,564,●呷●,30,-,-,●●・,259,,"1,241",●●●,264,●●●,"1,118",●●●,133,●●●,８,●儚●,80
"繰綿(COTTON,RAW)",斤,-,-,-,-,"3,600",540,-,-,-,-,-,-,-,-,-,-,"4,029",675,-,-,-,-,-,-
綿帆布(COTTON DUCK),ﾔｰﾄﾞ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,８,-,-
"支那綿布(COTTON GOODS,CHINESE)",反,40,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"哂金布(SHIRTINGS,WHITE)",ﾔづ,38,６,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他諸布綿類(ALL OTHER COTTON PIECE GOODS),,-,-,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
縮緬(CRAPES),反,６,30,１,９,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
絹紬(PONGEE),反,-,-,-,-,-,-,-,-,-,-,-,-,26,110,-,-,43,196,-,-,一,-,-,-
その他諸絹布類(OTHER SILK PIECE GOODS),反,-,-,20,31,-,-,５,30,-,-,-,-,281,"1,096",44,200,72,247,80,133,-,-,12,80
毛織糸組糸類(WOOLLEN YARN),斤,-,-,-,-,-,-,-,-,-,-,255,220,-,-,-,-,-,-,-,-,-,-,-,-
ブランケット(BLANKETS),斤,68,10,-,-,-,-,-,-,-,-,８,９,-,-,-,-,-,-,-,-,-,-,-,-
フランネル(FLANNELS),ﾔづ,-,-,-,-,-,-,-,-,-,-,80,30,-,-,-,-,-,-,-,-,-,-,-,-
旅氈(TRAVELLING RUGS),枚,-,-,-,-,-,-,-,-,-,-,-,-,３,35,-,-,-,-,-,-,一,-,-,-
羅紗(W00LLEN CLOTHS),ﾔづ,80,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
麻帆布(CANVAS),ﾔづ,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"その他諸地氈類(CARPETS,OTHER)",,-,-,一,-,-,-,-,-,-,-,-,-,-,-,●●●,64,-,-,-,一,-,-,-,-
その他諸布帛類(ALL OTHER TEXTILE FABLICS),,-,一,-,-,●●●,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
薬材及び製薬類,小計,●●●,10,-,-,-,-,-,-,●●●,49,-,-,-,-,-,-,●争●,98,●●●,46,-,-,-,-
火薬(GUNPOWDER),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
石膏(GYPSUM),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,000",15,-,-,-,-,-,-
"薬材雑類(DRUGS,ALL OTHER)",,,８,-,-,-,-,-,-,,24,-,-,-,-,-,-,-,-,,46,-,-,-,-
"製薬雑類(MEDICINES AND CHEMI CALS,ALL OTHER)",,●●●,３,-,-,-,-,-,-,●●●,25,-,-,-,-,-,-,●二●,83,-,-,-,-,-,-
穀物及び種子類,小計,●●●,42,-,-,-,-,,84,-,-,-,-,-,一,-,-,-,-,,34,,200,,100
"豆類(BEANS,PEAS＆PULSE)",斤,30,２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
米(RICE),担,20,40,-,-,-,-,56,84,-,-,-,-,-,-,-,-,-,-,-,-,40,159,49,100
その他種子類(OTHER SEEDS),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●■,34,・●●,42,-,-
蹄角牙甲皮革類・角牙皮毛類,小計,,5∠15,,248,-,-,,36,-,-,●●●,120,-,-,●●●,98,,384,●●●,18,,179,●●●,128
"獣骨(BONE,ANIMAL)",斤,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
毛皮(FURS),枚,161,545,222,248,-,-,12,36,-,-,３,７,-,-,７,98,320,384,37,18,292,171,428,n7
"牛角(HORNS,BUFFALO＆COW)",斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,331,10
"その他熟皮類(LEATHER,OTHER)",斤,-,-,-,-,-,-,-,-,-,-,287,113,-,-,-,-,-,-,-,-,-,-,一,-
"海馬牙(TEETH,SEA-HORSE)",斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鼈甲(TORTOISE-SHELLS),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,８,-,-
"モの他諸骨角皮牙類(ALL OTHER BONES,HORNS.SKINS,TEETH,&C)",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●曾●,１
金属及び金属器類,小計,●●●,30,,400,二■●,260,・●●,14,-,-,-,-,●●二,"435,760",●●●,"163,921",●●●,36,-,-,-,-,●●●,"94,271"
"壁爐置爐及び付属品類(STOVES,GRATES & FITTINGS THEREOF)",,●●■,30,-,-,-,-,-,-,-,-,-,-,-,-,●●●,39,■●●,36,-,-,-,-,-,-
鉄錨及び錨鏈(ANCHORS＆CHAIN CABLES),,-,-,●●●,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"道鉄(IRON,RAIL)",斤,-,-,-,-,-,-,-,-,-,-,-,-,"16,480,546","435,740","7,638,188","139,281",-,-,-,-,-,-,-,-
道鋼及び道鉄(RAIL),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉄道用材類(MATERIALS OF RAILWAY),,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉄釘(IRON NAILS),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"361,695","16,589",-,-,-,-,-,-,-,-
筒鉄及び管鉄(IRON PIPES＆TUBES),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"87,302"
"故鉄(IRON,0LD)",斤,-,-,-,-,-,-,715,14,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
貨幣匣(IRON SAFES),個,-,一,-,-,-,-,-,-,-,-,-,-,-,-,１,97,-,-,-,-,-,-,-,-
その他鉄器類(OTHER IRON WARE),,-,-,-,-,-,-,-,-,-,-,-,-,●●●,20,■●●,"7,916",-,-,-,-,-,-,-,-
銅器類(COPPER WARE),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
金銀器類(GOLD AND SILVER TOE),,-,-,-,-,,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉛(LEAD),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"67,200","3,704"
管鉛(LEAD TUBES),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他金属及び金属器(ALL OTHER METALS & MANUF八CTURES OF),,-,-,●●●,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●曾●,"3,265"
油及び蝋類,小計,,"2,329",-,-,・嘯●,"2,197",●●●,"4,591",嘯●・,"11,292",,"8,614",-,-,-,-,●●●,106,,n2,-,-,,17
蝋燭(CANDLES),斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,51,165,77,-,-,-,-
獣脂諸類(LARD＆TALLOW),斤,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,一,-,-,-,471,17
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
