,単位,明　　治　　31,,明　　治　　32,,明　　治　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,大　　正　　10,,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額
総計,,,"816,556",,"1,706,122",,"2,960,829",●●●,"2,380,416",,"2,762,246",,"1,293,470",●●●,"752,715",●●●,"859,757",●●●,"1,641,808",●●●,"668,005",●●●,"433,425",・●●,"507,537",,"161,039",,"185,744",,"352,644",●●●,"671,057",●●●,"809,831",●・●,"399,095",嚶■●,"815,801",●●●,"915,194",●●●,"1,755,775",●●●,"1,242,286",,"3,985,232",●¶●,"1,089,728",●●●,"3,185,490",,"1,688,557",●●●,"2,393,228"
塩鮭,斤,"7,033,068","387,763","42,692石","580,610","30,554,777","1,445,348","12,408,827","527,880","12,106,987","562,884",-,-,-,-,-,-,"13,290,639","667,688",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
塩鱒,斤,"419,911","23,591","21,347石","263,471",-,-,"5,562,985","211,622","7,460,520","264,682",-,-,-,-,-,-,"1,231,958","55,359",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
筋子,斤,"93,347","4,333",-,-,-,-,"454,979","23,161","639,498","26,569",-,-,-,-,-,-,"382,298","13,169",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
精米・米及び籾,担,"6,567斤",337,14石,192,-,-,-,-,-,-,10,63,-,-,-,-,-,-,-,-,190,"1,028",89,497,33,136,-,-,78,438,"63,944","327,958","103,548","482,562",-,-,７,29,-,-,352,"5,952",114,"1,700",34,515,"5,001","45,009","34,195","239,376","8,184","65,039","1,888","26,946"
大豆,担,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,"18,290","125,012"
その他穀物及び種子,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,29,●●●,７,●●●,１,,１,42万,７,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,463s","88,462"
麦粉,斤,-,-,-,-,"188,620","9,068","384,770","17,369","40,020","1,912","557,957","30,978",-,-,"2,025,893","128,145","5,932,915","305,292","70,159","219,126","6,984","39,896",２,10,-,-,194,680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,610","136,309","1,400","20,480","2,995","33,170","1,197","9,700","1,352","9,935",●■●,218
塩肉,斤,-,-,-,-,"120,198","5,579","69,874","4,191","131,530","9,810","43,341","2,367","9,256",379,212,17,"21,366",270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
砂糖及び精糖,担,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,２,22,-,-,-,-,-,-,"4,063","25,236","2,570","14,703",93,552,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-
食塩,斤,-,-,104石,206,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"300,000","2,918","7,800",78,-,-,"2,531,733","16,203",-,-,"2,545,832","31,314","15,397,321","267,412","29,929,735","669,370","9,989,360","219,990","22,426,950",749.698,"12,679,800","337,623","75,186,800","1,973,949","2,337,100","60,507","3,778,300","104,503"
その他諸飲食物,,●蕃●,"2,252",血春●,"13,462",,"42,707",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,345,●●●,676,,191,●●●,911,●●●,"1,133",●●●,831,●●●,405,,690,●●●,529,-,-,-,-,,"2,360",,91,,"11,960",,"76,371",,"32,629"
軌條,斤,-,-,-,-,-,-,-,-,-,-,"7,657,462","282,076",一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
同付属品,斤,-,-,-,-,-,-,-,-,-,-,"526,692","26,391",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉄及び軟鋼並にその製品,斤,-,-,-,-,-,-,-,-,-,-,"516,868","22,478",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,一,-,-,-,-,-,一,-,-,-,-,-
諸鉄,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,161",155,"24,700","1,813",●曾●,"6,421",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
