,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　　和　　　10,,昭　　　和　　　11,,昭　　　和　　　12,,昭　　　和　　　13,
,,数　　量,金　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
時計学術器銃砲船車,小計,ｌ●●,591,●●●,"1,000",●●●,"5,889",●●●,469,●●●,"765,256",●●●,"1,407",●●●,"65,039"
及び機械類,,,,,,,,,,,,,,,
理化学器,,-,-,-,-,一,-,一,-,●●●,"10,156",-,-,-,-
学術器,,●●●,55,-,-,-,-,一,-,-,一,-,-,-,-
自転車及びその他車輛,,-,-,-,-,-,-,●●●,９,-,-,-,-,●●●,60
汽船,隻,-,-,-,-,-,-,一,-,１,"754,600",-,-,-,-
電気機械,斤,-,-,-,-,-,-,-,-,-,一,-,-,９,250
喞筒,斤,-,-,-,-,-,-,10,460,-,-,-,-,９,600
金属工及び木工機械,斤,-,-,一,-,-,-,-,-,-,-,-,-,96,"7,801"
その他機械類,,●●●,536,●●●,"1,000",●●●,"5,889",-,-,●●●,500,●●●,"1,407",・・●,"56,328"
雑品,小計,■●■,"17,184",,"292,875",●●●,"2,142,161",●●●,"1,326,663",●●●,"1,083,251",●●●,"979,696",●襴●,"602,287"
竹材及び竹製品,,■●●,128,-,-,-,-,一,-,-,-,-,-,-,-
鉄道枕木,石,-,-,747,"3,270",-,-,-,-,-,-,一,-,-,-
ペニア板,方呎,-,-,-,-,-,-,-,-,"10,028",600,"18,000","1,575",-,-
箱板及び樽板,組,-,-,"32,450","16,668",-,-,-,-,-,-,"43,652","14,690","42,771","31,827"
その他挽材,石,２,44,736,"5,551",203,"6,862",19,619,63,"1,913",182,"9,885","4,013","8,099"
丸太及び割材類,石,７,38,"14,542","77,239","1,528","20,888",974,"14,000",-,-,-,-,398,"18,070"
縄索叺及び莚（藁製）,,-,-,-,-,●瑤●,"2,500",●●●,"1,952",■●●,"1,530",●聊●,"8,320",-,-
木製品,,●●●,"1,825",●●●,600,-,-,-,-,-,-,-,-,●・●,30
ゴム及びセルロイド製品,,●●●,７,■●●,85,-,-,-,-,-,-,-,-,-,-
フィッシュミール（魚粉）,百斤,-,-,"27,721","166,971","342,094","2,074,931","227,195","1,298,019","162,527","1,056,466","124,064","924,241","71,552","486,825"
(鰛),百斤,-,-,-,-,-,-,"(217,663)","(128,410)","(160,079)","(1,037,344)","(121,185)","(900,836)","(71,552)","(486,825)"
(その他),百斤,-,-,-,-,-,-,"(9,532)","(69,609)","(2,448)","(19,122)","(2,879)","(23,405)",-,-
魚肥,百斤,"2,540","12,000",180,"1,100",-,-,313,"1,750",40,250,４,20,●暑●,12
その他諸品,,二■●,"3,142",●●慟,"21,391",●●・,"32,300",●●●,"10,161",●●●,"22,492",●●●,"20,965",●●●,"57,424"
小包郵便物,,-,-,-,-,●●・,"4,680",●●●,162,-,-,-,-,-,-
再輸出品合計,,●●●,"1,329,865",●●●,"488,327",・●●,"1,284,208",●●●,"1,871,003",●●・,"3,395,885",●●●,"3,418,941",●●●,"3,886,232"
鮮魚介,百斤,-,-,203,"6,444","1,590","51,228","1,878","58,973",-,-,-,-,-,-
生鮭,百斤,-,-,-,-,-,-,-,-,"2,852","71,205","7,136","246,897","1,315","476,801"
生鱒,百斤,-,-,一,-,-,-,-,-,733,"35,860","2,302","108,733",291,"144,458"
蟹缶詰,斤,96,60,"4,848","3,360",-,-,"114,288","121,312",-,-,"347,374","363,271","11,376","13,527"
鮭缶詰,斤,"1,107,858","409,607","22,166","10,076",-,-,"171,136","114,880","4,327,761","2,046,505","43,878","18,058","2,650,001","1,614,328"
鱒缶詰,斤,"3,575,701","645,842","1,107,919","237,063","1,292,220","291,564","1,798,965","420,690","99,000","20,872","5,303,229","1,222,451","2,139,528","504,431"
その他魚介缶詰,斤,-,-,-,-,-,-,"56,436","10,938","98,400","41,000",-,-,-,-
塩鮭,百斤,"4,374","47,879","1,704","32,088","2,275","30,562","3,897","77,573","9,900","149,311","22,987","318,697",694,"142,235"
塩鱒,百斤,"18,732","124,825","12,876","145,649","75,740","760,389","63,642","646,144","77,736","702,836","71,669","615,233","4,149","436,386"
その他塩魚,百斤,"1,458","51,050",510,"3,156",788,"8,472","4,555","205,550","4,559","189,524","6,363","306,862",455,"300,512"
乾魚,百斤,-,-,-,-,-,-,-,-,-,-,５,464,●●●,30
筋子,百斤,777,"40,247","1,267","50,329","2,358","122,844","3,769","214,527","2,396","138,772","4,072","215,284",354,"233,741"
塩,百斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他飲食物,,●●●,18,●●●,162,齒●●,921,-,-,-,-,-,-,-,一
金属製品,,●●●,"7,800",-,-,-,-,-,-,-,-,-,-,-,-
