,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,正　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
足袋,個,-,-,１,138,２,22,-,-,-,-,１,20,-,-
靴,個,98,"11,836",30,"9,361",36,"2,433",86,"11,233",28,"10,962",35,"2,988",６,205
その他履物,個,-,-,-,-,-,-,-,-,２,４,-,-,-,-
衣類附属品,個,-,-,20,"5,889",12,113,48,"1,507",22,789,３,39,３,68
和紙,個,-,-,-,-,-,-,み,-,１,６,１,20,-,-
洋紙・印刷料紙,個,１,148,４,475,19,681,282,"20,146",-,-,-,-,１,30
その他紙類,個,60,476,510,"21,265",１,９,206,"6,284",530,"6,423",566,"16,964",29,"2,109"
書籍(及び雑誌),個,４,404,６,"1,726",46,163,35,"3,053",19,"11,719",16,542,14,660
印刷物,個,１,15,-,-,１,３,２,60,３,247,-,-,-,-
紙製品,個,10,338,53,"5,155",477,"28,608",30,"1,402",-,-,３,54,２,17
セメント,樽,-,-,99,"5,310","5,442","28,182","8,644","43,471","7,100","37,281","5,306","22,826",-,-
その他礦物製品,個,33,629,27,"1,457",-,-,19,"3,676",24,"2,415",727,"2,214",６,518
銑鉄,貫,-,-,-,-,-,-,-,-,-,-,-,-,11,308
その他鉄材,貫,"219,149","218,704","695,392","671,880","672,813","712,453","1,013,952","730,713","1,509,384","1,411,558","1,491,168","1,639,436","614,567","484,837"
その他金属材料・諸金属,貫,"11,276","80,254",２,324,20,68,27,"3,198","2,578","5,910",230,330,-,-
軌條,噸,-,-,-,-,７,"1,541",54,"4,254",137,"21,504",187.4,"15,178",-,-
鉄管,貫,-,-,"1,022","1,617","21,968","13,724","96,665","114,794","19,007","9,958","73,424","50,797",928,534
鉄釘,貫,225,"1,899",43,"1,186",27,640,81,567,５,79,250,"2,231",-,-
鉄線,貫,-,-,"1,993","1,610",773,723,-,-,32,19,"13,536","7,125",-,-
その他鉄製品,貫,"10,966","34,411","36,186","35,620","29,450","52,929","184,841","474,079","68,267","144,563","27,923","65,676",45 JOI,"163,454"
諸金属製品,貫,174,70,156,"1,028","5,336","18,554","52,241","90,146","1,273","4,808","32,762","68,792","17,125","39,420"
陶磁器,個,13,128,31,"1,270",２,３,４,306,１,３,２,10,１,１
煉瓦及び瓦,百本,-,-,-,-,15,"1,270",18,"1,445",241,512,"1,087","7,739",-,-
板硝子,箱,６,31,800,"7,750",-,-,800,"5,600",301,"3,162","1,501s","8,762","3,215","18,055"
硝子製品,個,11,83,-,-,785,"39,145",702,"20,971",６,890,１,１,４,60
車輛,輌,２,676,４,761,102,"3,445",１,"1,269",-,-,95,"2,233",11,"22,003"
車輪,個,-,-,-,-,-,-,100,"1,418",-,-,100,"2,627",-,-
船舶,隻,６,"8,195",２,"18,500",７,"114,510",30,"26,355",62,"18,475",15,"18,950",４,75
時計,個,２,10,７,43,５,150,６,66,３,31,-,一,-,-
楽器及び学術器,個,９,"1,936",31,"2,728",140,"46,652",39,"2,029",72,"5,322",104,"4,581",８,"1,614"
度量衡器,個,１,21,-,-,-,-,７,85,３,103,17,693,-,-
その他機械類,個,"1,210","170,090","2,241","98,810","2,020","135,935","1,279","686,264","3,716","624,085","2,369","1,130,127",284,"61,167"
豆糟,個,"277,926","679,823","716,524","1,813,878","1,592,171","3,380,520","1,795,939","3,787,798","1,037,470","2,368,109","301,363*","559,356","622,993","643,790"
その他肥料,個,１,９,75,432,-,-,-,-,91,538,33,14,23,27
