,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
石炭,英ﾄﾝ,"3,801","35,393","12,384","141,132",-,-,-,-,-,-,-,-,-,-
ドロマイト及マグネサイト,百斤,"40,643","8,640","196,985","49,474",-,-,-,-,-,-,-,-,"4,804","2,692"
ポートランドセメント,百斤,-,-,-,-,-,-,-,-,"4,958","5,653",-,-,-,-
その他曠物及び同製品,,●●●,"2,676",●●●,"19,860",●●●,21,●■●,29,-,-,●・●,６,-,-
陶磁器及び硝子類,小計,●■■,"1,607",●●●,"30,687",●・●,"11,423",●■●,"11,411",●■●,"18,040",●●●,"13,915",●●●,"12,802"
耐火煉瓦,百斤,"1,607","1,607","13,450","30,687","4,182","11,329","4,697","11,411","8,212","18,040","6,178","13,915","4,804","12,779"
陶磁器,,-,-,-,-,●●●,94,-,-,-,-,-,-,●●●,23
鉱及び金属,小計,●●●,"563,346",●●●,"1,494,256",●●●,"744,600",●●●,"8,976",●●●,"30,533",●●●,"25,457",●争●,"313,141"
鉄鉱,百斤,-,-,"332,260","212,720",-,-,-,-,-,-,-,-,-,-
白金,ｸﾞﾗﾑ,-,-,"162,685","650,738",-,-,一,-,-,-,-,-,一,-
鉄（條及び竿）,百斤,-,-,175,"1,139",-,-,-,-,-,-,-,-,-,-
鉄板,百斤,-,-,"8,210","52,686",-,-,-,-,-,-,-,-,-,-
葉鉄,百斤,"34,408","508,722","14,341","276,983","41,530","742,565",-,-,"1,248","27,965",一,-,-,-
亜鉛板,百斤,108,"1,617",一,-,２,21,-,-,-,-,-,-,-,-
帯鉄,百斤,121,659,85,948,-,-,253,"3,105",253,"2,568",-,-,-,-
鉄（筒及び管）,百斤,63,776,５,59,-,-,-,-,-,-,-,-,-,-
屑及び故鉄,百斤,34,72,"109,953","298,675","1,005","2,014","2,469","5,821",-,-,-,-,-,-
その他鉱及び金属,,●●●,"51,500",●●●,308,-,-,●●●,50,-,-,●●●,"25,457",●●●,"313,141"
