,単位,昭　　和　　21,,昭　　和　　22,,昭　　和,23,昭　　和　　24,,昭　　和　　25,
,,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,數　　量,金　　　　額
輸入総額,,●●●,"16,445,510",●●●,"336,518,827",●●●,"764,671,623",●・●,"2,115,043,502",●●卿,"2,461,233,791"
食糧及び飲料,,●●●,"9,112,583",●●●,"239,656,430",●●●,"450,167,039",●●●,"623,920,362",●・●,"2,055,442,303"
穀類及びその製品,,●●●,"9,112,583",■●●,"239,656,430",●●●,"325,166,341",,"614,978,644",・●●,"2,055,442,303"
米,百kg,-,-,-,-,-,-,"119,900","614,978,641","335,532","1,429,620,503"
小麦,百kg,-,-,"171,952","121,210,787",-,-,-,-,"187,055","625,821,800"
玉蜀黍,百kg,"73,238","9,112,583","86,985","19,136,504",-,-,-,-,-,-
小麦粉,百kg,-,-,"84,204","69,554,174","169,802","321,213,613",-,-,-,-
大豆粉,百kg,-,-,"81,570","29,754,965","9,114","3,952,728",-,-,-,-
砂糖,百kg,-,-,-,-,"95,413","125,000,698","6,878","8,941,718",-,-
砂糖(一般輸入),百kg,-,-,一,-,-,-,"6,877","8,939,657",-,-
砂糖(密輸入),百kg,-,-,-,-,-,-,１,"2,061",-,-
繊維及びその製品,,-,-,-,-,-,-,■●■,"11,664",-,-
犯則貨物,,-,-,一,-,-,-,●●●,"11,664",~,-
木材紙及びその製品,,-,-,-,-,●●●,"10,911,000",-,-,~,-
藁叺,百kg,-,-,-,-,"754,700","10,911,000",-,-,-,-
動植物同産品及びその製品,,-,-,-,-,-,-,●●●,"12,072",-,-
犯則貨物,,-,-,-,-,-,-,●●●,"12,072",-,-
油脂及び蝋,,-,-,-,-,-,-,●●●,"2,652",~,-
犯則貨物,,-,-,-,-,-,-,●●●,"2,652",-,-
薬品類,,●●●,"3,160,000",●毳●,"28,868,878",●●●,"2,815,500",,"59,752,057",●●●,"330,283,648"
化学肥料,,●●●,"3,160,000",●●●,"28,868,878",●●●,"2,815,500",-,-,●豕●,"330,283,648"
燐鉱石,百kg,"72,900","3,160,000","346,986","28,868,878","18,770","2,815,500","119,960","59,751,886","128,609","172,005,840"
塩化カリ,百kg,-,-,-,-,-,-,-,-,102/845,"158,277,808"
犯則貨物,,-,-,-,-,-,-,●●●,171,-,-
鉱物,,●●●,"4,172,887",●■●,"64,856,157",●●●,"300,771,960",●●●,"1,431,344,698",・●帰,"75,412,800"
石炭類,百kg,-,-,-,-,"281,354","150,846,629","697,376","758,115,621",-,-
有煙炭,百kg,-,-,-,-,"92,085","46,180,433",-,-,~,-
無煙炭,百kg,-,-,-,-,"189,269","104,666,196","697,376","758,115,621",-,-
非金属鉱物,,●●●,"4,172,887",●●●,"64,856,157",-,-,●●●,"673,229,077",●●●,"75,412,800"
塩,百kg,"165,890","4,172,887","703,207","64,856,157","1,026,380","149,925,331","1,381,940","673,229,077","176,529","75,412,800"
金属及びその製品,,-,-,-,-,-,-,-,-,●●●,"95,040"
その他,,-,-,-,-,-,-,-,-,●●●,"95,040"
雑品,,●●●,40,●●●,"3,137,362",昜●●,"6,124",-,-,-,-
付帯貨物,,-,-,●●４,"3,135,018",-,-,-,-,-,-
犯則貨物,,-,-,摯●●,"2,344",●●●,"6,124",-,-,~,-
小包郵便物,,●●●,40,-,-,-,-,-,-,-,-
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
