,単　位,昭　　和　　51,,昭　　和　　52,,昭　　和　　53,,昭　　和　　54,,昭　　和　　55,
,,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●●●,"25,620,707",●●●,"18,938,543",●●●,"19,787,538",●●●,"35,237,027",●●●,"15,638,629"
食料品,小　計,●●●,"3,924,739",●●●,"3,685,050",●●●,"3,782,863",●■■,"8,479,801",●●●,"4,691,656"
魚介類及び同調製品,トッ,"2,406","679,753","2,755","836,668","6,745","1,969,684","10,710","5,856,774","5,586","1,875,999"
魚類(生鮮冷凍),トッ,"2,024","442,572","2,573","771,911","6,403","1,825,467","10,533","5,763,285","5,304","1,798,218"
穀物及び同調製品,トッ,"51,719","2,772,308","74,348","2,667,447","49,329","1,545,175","63,050","2,481,703","51,738","2,615,474"
小麦及びメスリソ,トッ,"47,179","2,598,601","69,673","2,531,868","44,720","1,442,190","57,924","2,336,073","50,588","2,578,750"
とうもろこし,トッ,"2,985","116,999","2,623","79,486","2,053","49,738","2,568","75,138",615,"20,142"
茶,kg,"220,338","76,851","217,451","107,339","307,811","127,012","36,790","11,950","44,324","41,531"
原料品(その他の物),小　計,●●●,"2,890,603",●●■,"3,101,806",●●●,"2,362,251",●●●,"4,651,958",●●●,"4,601,772"
木材,㎡,"133,304","2,768,822","148,906","3,012,728","140,338","1,315,690","150,326","3,593,088","135,877","4,504,165"
丸太,㎡,"133,304","2,768,822","146,416","2,939,989","140,338","1,315,690","149,962","3,565,243","135,037","4,439,442"
鉱物性燃料,小　計,●●●,"18,347,071",●●●,"11,730,910",●●●,"9,147,210",●●●,"5,045,104",●●●,"5,866,043"
原油及び粗油,1000K &,765,"17,934,777",499,"11,488,873",515,"8,997,749",223,"4,980,093",136,"5,816,019"
石油製品,1000K-6,13,"412,294",９,"242,037",７,"149,461",２,"65,011",１,"50,024"
重油,1000K -6,13,"412,294",９,"241,656",７,"149,461",１,"37,659",０,"16,288"
機械機器,小　計,●●●,"185,354",●●●,"107,818",●●●,"4,113,216",●■●,"16,775,755",●●●,"57,241"
機械類・輸送機械,,●憚●,"156,139",●●●,"106,916",●●●,"4,057,703",●・●,"16,775,755",●●●,"57,241"
電気機器,,●●●,"148,772",●●●,"59,347",,"210,780",●●曷,"7,729",●●●,"5,465"
その他,小　計,●●●,"17,480",●●●,"15,210",●■●,"15,603",●■●,"56,543",・●●,"175,182"
その他,小　計,●・●,"255,460",,"297,749",●●●,"366,395",●●●,"227,865",●●●,"2∠16,735"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
