,単位,明　　治　　39,,明　　治　　40,,明　　治　　41,,明,治　　42,明　　洽　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
総計,,●●●,"478,044",●●●,"1,169,448",●■慟,"1,138,583",●●・,"1,329,450",●●●,"1,084,641",●●●,"2,088,098",●●■,"2,791,631",●●●,"2,060,617"
食料品,小計,●●●,"20,657",二●●,"53,273",●●●,"62,962",●●●,"51,699",●●●,"75,738",●●●,"163,490",●●●,"241,004",●●●,"281,688"
精米,担,"2,053","12,986","5,032","37,588","7,640","54,724","7,398","44,642","11,757","64,601","20,917","150,619","24,438","213,694","26,003","246,208"
製茶類,斤,"1,888",640,"2,421",618,348,152,100,35,146,75,115,32,208,57,562,275
海産食料品,,●●●,19,●●●,32,・●●,19,-,-,●●●,256,●●●,95,"1,073斤",79,17O'f,９
オート（燕麦）,斤,-,-,-,-,-,-,-,-,-,-,-,-,"7,470",285,"1,875",60
豆類,斤,-,-,-,-,-,-,-,-,-,一,-,-,"16,479",959,"24,348","1,383"
麦粉,斤,-,-,-,-,563,38,37,３,"32,502","2,454","12,607",828,"6,878",526,"4,119",320
穀粉及び澱粉,斤,-,-,-,-,-,-,-,-,"1,190",128,185,15,304,31,"1,261",121
清酒,升,"1,046",410,"2,850","1,180","2,223",973,"2,052",804,"1,641",738,"4,125","2,055","8,541","5,354","10,699","6,310"
麦酒,打,196,472,239,581,97,259,66,173,632,"1,608",305,810,349,938,445,"1,186"
その他酒類,,●●●,"2,673",・●●,289,・●●,91,●●●,６,●●●,７,●●●,32,-,-,-,-
味噌,斤,"8,508",460,"13,425",669,"20,925","1,007","22,007",960,"26,624","1,233","56,288","2,528","95,783","4,550","109,698","5,014"
醤油,升,421,no,"3,581",937,"6,292","1,689",930,228,"1,960",487,"2,601",730,"5,264","1,443","6,326","1,808"
菓子糖菓及砂糖類,,●●●,707,●●●,987,●●●,734,●●●,564,●●●,677,●●●,"1,544",●●●,"3,274",●●暑,"4,326"
索(素)麺,斤,333,30,"35,543","3,280","1,990",185,"1,443",129,"1,414",133,"3,106",299,"8,240",737,"7,554",676
缶詰食物,,●●●,203,●●●,466,●●●,152,●●●,43,●●●,74,●■●,198,●●●,871,●●●,"1,970"
農産食料品,,●●・,"1,214",●卿●,"2,902",・・●,"1,523",●●●,"1,350",●・●,"1,500",夸・●,"1,342",●●●,"6,036",●●Ｉ,"9,433"
その他飲食物,,●●●,733,●●蠢,"3,744",●●●,"1,416",●●●,"2,762",●●●,"1,767",ａ●ａ,"2,363",●●●,"2,170",●●●,"2,589"
漁業用品,小計,●●●,"451,713",●●●,"1,098,042",●●●,"1,056,863",●●●,"1,256,483",●●●,"963,200",●●●,"1,873,578",●匆●,"2,365,495",,"1,603,882"
食塩,斤,"14,564,859","405,908","35,577,768","978,375","33,111,073","912,135","40,208,156","1,070,332","30,454,843","746,857","58,119,068","1,449,364","74,026,712","1,844,557","36,387,541","909,352"
漁網,斤,"52,696","25,352","117,355","62,019","128,∠194","68,154","210,929","89,389","220,520","91,311","359,931","183,266","442,812","205,416","662,457","304,540"
小舟,隻,126,"9,882",303,"26,211",311,"36,293",292,"34,524",316,"47,708",509,"76,865",510,"88,032",435,"81,892"
苧麻縄索,斤,"7,770","2,275","21,702","6,307","28,074","9,520","142,593","22,416","46,560","11,803","121,839","33,892","117,955","28,694","181,622","44,110"
藁製品,,,"2,832",●驫●,"8,059",,"12,335",●●●,"16,673",●●●,"22,552",●●●,"38,624",●●●,"53,294",争●●,"60,300"
鉄製品,,●●●,912,●●●,"1,794",●●●,"4,335",●●●,"5,962",●●●,"10,269",●昜●,"15,569",・●●,"66,981",●●●,"73,001"
木製品,,●●●,"1,578",●●●,"6,647",●・●,"8,217",●●●,"12,131",争●●,"22,941",●●●,"42,101",●●●,"63,300",●●●,"86,470"
その他漁業用品,,●●■,"2,974",暴噛●,"8,630",●●■,"5,874",・●●,"5,056",・●●,"9,759",●●●,"33,897",●●●,"15,221",●匆●,"44,217"
その他需要品,小計,●●●,"5,674",蕃●曾,"18,133",●●●,"18,758",●二●,"21,268",●●●,"45,703",●ａ齔,"51,030",■●■,"185,132",●●号,"175,047"
燕麦,斤,-,-,-,-,"11,420",341,-,-,-,-,-,-,-,-,-,-
セメント,斤,-,-,-,-,"9,455",198,80,１,"25,550",377,"17,058",330,"8,432",138,"125,030","1,952"
木炭,斤,"2,875",35,"3,235",55,"14,868",236,"9,005",137,"16,875",214,"21,566",292,"146,481","1,919","93,734","1,249"
木製品,,-,-,-,-,●●●,373,●●●,423,●●●,995,・●●,"1,261",●●●,"5,204",●●●,"4,110"
石炭,トソ,-,-,-,-,90,825,29,308,155,"1,332",312,"2,806",220,"1,696","1,345","12,227"
木材及び板,石,132,418,"1,076","4,930",●●●,"3,991",号争●,"5,089",,"7,093",●●●,"16,596","21,466","89,440","13,918","58,773"
煙草,,●●●,260,φ●●,245,●●●,135,-,-,-,-,-,-,-,-,-,-
汕蝋類,,●●●,62,●●●,136,●●●,164,●●●,16,●・●,"1,091",●●●,"1,199",●・●,910,●●●,"5,339"
諸布帛及び同製品,,暑●尋,750,●●●,"1,931",●●●,979,●●●,953,蕃■●,"1,462",●襴●,"1,399",●●●,"4,262",,"4,815"
衣服及び付属品,,●●●,"1,450",●●●,"3,855",●●●,"3,852",●●●,"3,359",,"4,870",●●●,"8,549",●■●,"14,609",●●●,"14,678"
薬材及び製薬,,●●●,102,●●●,87,-,-,-,-,-,-,-,-,-,-,-,-
鉄製品,,-,-,-,-,●●●,"2,480",●●●,"2,352",●・●,"7,038",●●●,"7,060",・●●,"11,892",●●●,"20,828"
諸金属及び同製品,,●●●,583,・・●,"1,491",●●●,"1,534",●●●,378,●●●,"12,408",争●●,"1,648",●●●,"31,188",●●●,"10,162"
磁器及び陶器,,-,-,●●●,206,●●●,292,二●●,248,●■・,215,●●●,344,・●●,"2,742",,"2,911"
玻璃製品,,●●●,157,,1∠10,●●●,425,●●●,317,●●●,76,●●●,70,●●●,301,●●●,593
燐寸,ｸﾞﾛｽ,364,118,420,131,363,121,48,18,167,57,219,71,344,122,464,151
その他雑品,,●●●,"1,739",●●●,"4,926",●●●,"2,812",●●●,"7,669",●●●,"8,475",●●●,"9,405",●●●,"20,709",●●僵,"37,259"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
