,単位,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,大　　正　　10,,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額
総計,,●●●,"1,967,200",●●卜,"2,590,011",●●●,"3,437,248",,"4,747,714",●●●,"5,076,923",●●●,"6,167,766",●●●,"9,773,949",,"5,271,426",,"6,928,551",●●●,"6,988,087",二●●,"6,841,138"
食料品,小計,●二●,"213,873",,"168,691",●●●,"196,962",●●●,"402,563",,"469,464",●●●,"775,264",●●●,"1,215,690",,"779,815",,"1.166,233",,"892,440",●●二,"1.017,573"
精米,担,"25,605","180,505","23,845","135,323","31,092","162,661","42,042","328,888","27,911","344,649","35,159","655,142","48,365","1,001,249","47,033","542,747","56,370","833,517","50,554","681,542","42,577","696,848"
酒類,,●●●,"7,007",,"7,642",,"6,239",,"16,529",●●●,"12,571",●●●,"16,211",●●●,"37,701",●●●,"59,947",●●●,"70,378",,"27,232",●●●,"34,922"
味噌,斤,"117,940","5,153","117,175","5,155","125,592","5,141","177,400","8,417","176,257","26,186","261,031","21,923","239,427","29,439","2,849","27,919","3,045","29,484","2,134","20,217","2,713","24,853"
醤油,升,"5,852","1,606","6,044","1,566","7,248","1,837","7,906","2,448","9,224","3,295","11,528","4,152","14,552","9,218","19,611","13,889","19,686","12,610","21,866","11,072","27,615","10,507"
その他,,,"19,602",●●●,"19,005",●●●,"21,084",蕃●●,"46,281",●●●,"82,763",●●●,77.836,,"138,083",●●●,"135,313",●●●,"220,244",●●■,"152,377",●春●,"250,443"
その他需要品,小計,●●●,"1,753,327",■■・,"2,421,320",●●●,"3,240,286",,"4,345,151",嗇●●,"4,607,459",●・ｙ,"5,392,502",●●●,"8,558,259",●●●,"4,491,611",●二●,"5,762,318",●●●,"6,095,647",●●■,"5,823,565"
食塩,斤,"34,367,783","785,937","54,691,810","1,257,189","54,190,556","1,186,621","72,375,173","1,793,340","35,704,095","1,171,843","11,424,920","379,954","2,236,400","94,808","1,874","7,880","22,632","93,611","2,177","8,706","185,196","717,951"
漁網,斤,"879,030","373,856","990,681","420,498","951,646","414,218","1,109,966","683,660","1,171,961","1,360,859","1,231,570","1,850,684","1,572,528","3,294,993","12,758","1,587,470","18,374","2,113,344","16,883","1,834,138","16,437","1,898,037"
苧麻縄索,斤,"297,613","71,681","385,615","96,899","443,601","110,435","693,323",224.435,"765,915","376,032","962,685","528,532","1,038,235","578,808","8,473","368,715","15,663","609,132","12,500","529,836","15,413","471,586"
