,単位,昭　　和　　26,,昭　　和　　27,,昭　　和　　28,,昭　　和　　29,,昭　　和　　30,,昭　　和　　31,,昭　　和　　32,,昭　　和　　33,,昭　　和　　34,,昭　　和　　35,,,,,和,,,
,,数　量,金　額,数　量,金　　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　額,数　量,金　　額,数　量,金　額,-,,,,-,,
計,,●申●,"480,190",●●●,"1,365,162",●●●,"794,543",●●●,"608,810",●●●,"197,461",●●●,"1,314,261",●●●,"2,804,430",●●●,"3,394,038",●●●,"3,994,158",■■●,"160,713",数　　量,,,,金　　額,,
食糧,,●●●,"322,474",●●●,"1,207,226",●●●,"724,605",●●●,"499,411",●●●,"96,539",●●●,"77,588",-,-,●●●,"84,369",・●●,"5,698",-,-,,,,,,,
乾鱈,kg,-,-,"268,455","24,529","414,232","40,358","347,469","31,863","53,220","4,417",-,-,-,-,-,-,-,-,-,-,,,,,,,
貝柱,kg,-,-,"2,760","2,937",-,-,"1,500",981,-,-,-,-,-,-,-,-,-,-,-,-,,,,,"2,959,893",,
乾鮑,kg,780,"1,405","9,390","22,406","1,144","1,464",558,981,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
鯣,kg,"3,474,209","310,091","13,975,014","1,132,446","7,450,774","674,067","5,369,534","461,207","886,909","87,494","309,750","26,094",-,-,-,-,"62,700","5,698",-,-,,,,,,,
その他の魚介類,kg,一,-,-,-,"30,620","2,399",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
鮭鱒缶詰,kg,-,-,-,-,-,-,-,-,-,-,"206,838","50,512",-,-,-,-,-,-,-,-,,,一,,,,一
蟹缶詰,kg,-,-,ー,-,-,-,-,-,-,-,884,771,-,-,-,-,-,-,-,-,,,一,,,,一
鮑缶詰,kg,-,-,"8,748","3,396","2,133","1,189","1,229",459,"9,593","1,415",-,-,-,-,-,-,-,-,-,-,,,一,,,,一
いか缶詰,kg,-,-,-,-,-,-,"18,335","2,069",-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
その他の魚介缶詰類,kg,-,-,-,-,"23,853","2,435",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
その他の魚介及缶詰類,,-,-,,"3,519",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
馬鈴薯,kg,"199,584","5,317","68,038","1,243","138,000","2,693",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
玉葱,kg,"169,645","5,661","258,352","6,232",-,-,"61,875","1,548",-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
乾昆布,kg,-,-,"402,750","10,518",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
魚粉,トッ,-,-,-,-,-,-,５,303,55,"2,790",-,-,-,-,"1,655","84,369",-,-,-,-,,,一,,,,
その他,,-,-,-,-,-,-,-,-,●●●,423,●●●,211,-,-,-,-,-,-,-,-,,,一,,,,一
食用に適しない原材料,,-,-,,"117,599",●●●,"39,176",●●●,"107,808",●●●,"48,953",●●●,"286,784",●●●,"54,015",●●●,"175,228",●■●,"3,158",●●●,"109,373",,,一,,,,一
ミンクの毛皮,枚,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,350,"3,158",431,"3,368",,,一,,,,一
いたちの毛皮,枚,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,300","14,755",,,,,,,一
鉄道用枕木,㎡,-,-,-,-,-,-,-,-,-,-,"23,529","286,058","3,840","40,703","8,670","139,666",-,-,"7,935","91,250",,,-,,,,一
製材,㎡,-,-,121,"2,748","1,775","32,314","4,383","85,526","2,795","48,953",66,726,883,"13,312","2,030","35,562",-,-,-,-,,,,,,,一
硫黄,kg,-,-,"3,190,300","114,851","526,000","6,862","1,381,000","22,282",-,-,-,-,-,-,-,-,-,-,-,-,,,一,,,,一
鉱物性燃料潤滑油その他これ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●暮,てＱ *5 on,-,-,,,一,,,,一
揮発油　らに類するもの,㎡,-,-,-,-,-,-,-,-,-,-,"一
一","一
一","一
一","一
一",-,-,"6,447","りりｊＵＱり
53,390",-,-,,,一,,,,一
薬品類,,-,-,-,-,●●・,365,-,-,-,-,●●●,13,-,-,●●●,"1,241",●●●,４,●●●,147,,,一,,,,
はつか脳,kg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,272,"1,238",-,-,-,-,,,一,,,,-
その他,,-,-,-,-,ｌいｌ,365,-,-,-,-,●●・,13,-,-,●●●,３,亂●■,４,●●●,147,,,,,,,
原材料別製品,,●●●,386,●●●,"40,337",●●ｌ,"30,397",■●●,"1,535",●●●,"2,968",,"6,428",●●●,537,●●●,"3,703",●●●,"2,293",●●●,１,,,一,,,,
セメント,kg,-,-,"4,978,714","40,337","3,242,000","27,147",-,-,-,-,-,-,-,-,-,一,-,-,-,-,,,一,,,,
床板,㎡,-,-,-,-,-,-,-,-,85,"2,866","131,369*","5,894",-,-,-,-,-,-,-,-,,,一,,,,-
カーテン,打,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,"1,415",-,-,,,一,,,,
漁網,ﾎﾟﾝﾄﾞ,-,-,-,一,-,-,-,-,-,-,-,-,-,-,"1,954","1,207",-,-,-,-,,,一,,,,一
鉄鋼製品,kg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,691","1,999",77,114,-,-,,,一,,,,一
その他,,●争●,386,-,-,,"3,250",●●●,"1,535",●●●,102,●●●,534,,537,●●●,497,●●●,764,●●●,１,,,一,,,,一
機械類及運搬用機器,,●Ｉ●,"156,274",-,-,-,-,-,-,●●●,"48,825",襴●●,"942,721",●●●,"2,742,667",●●●,"3,128,433",●●●,"3,925,361",●●●,"51,168",,,一,,,,一
船舶,隻,１,"156,142",-,-,-,-,-,-,-,-,１,"942,190",３,"2,740,286",２,"2,951,271",３,"3,890,459",１,"50,796",,,一,,,,一
機械類,,一,-,-,-,-,-,-,-,-,-,●●●,531,●●●,"2,381",●●●,"177,162",●●●,"34,902",●凖●,372,,,,,,,
その他,,●●季,132,-,-,-,-,-,-,●●●,"48,825",-,-,-,-,-,-,-,-,一,-,,,,,,,
雑製品,,●●●,"1,056",-,-,-,-,●●争,56,●●●,176,φ●●,727,●●●,"7,211",●●●,"1,064",●儁●,"4,226",●●●,24,,,,,,"14,300",
家具及備付品,個,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,153,"3,040",-,-,,,,,,　　－,
電気冷蔵庫,台,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,　　－,,,,"14,300",
その他,,●・●,"1,056",-,-,-,-,●●●,56,ａ●●,176,●●●,727,●●●,"7,211",●●●,"1,064",●●●,"1,186",●●●,24,,"11,150",,,,,
再輸出品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,28,-,-,,,,,,,
その他,,-,ー,-,-,-,-,-,-,-,一,-,-,-,-,-,-,●●●,28,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
