,明治31,明治32,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正11,大正12,大正13,大正14,昭和１,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和ｎ,昭和12,昭和13
合　　　計,"1,652,653","2,116,062","2,092,286","2,336,636","2,005,524","3,008,906","2,034,159","2,316,533","3,198,950","2,268,904","2,250,364","1,999,536","2,356,337","1,902,144","2,683,857","3,488,787","4,842,298","4,791,279","4,951,436","6,397,743","8,033,928","6,560,318","6,123,461","4,339,608","5,735,038","5,312,010","6,245,372","11,874,991","7,154,264","11,472,512","8,163,363","19,897,544","17,725,736","6,312,600","13,158,984","19,439,477","29,521,308","27,590,031","43,301,427","42,510,594","46,046,617"
支那,"765,440","1,167,374","804,920","1,159,519","657,828","1,099,135","1,205,322","1,467,532","1,280,437","1,117,095","1,305,694","1,140,402","1,261,570","1,103,620","1,211,222","1,988,857","3,075,739","3,329,383","3,168,950","3,471,285","5,134,364","3,367,250","4,106,139","3,262,636","4,251,161","4,288,061","4,655,942","7,090,046","4,773,828","3,649,103","1,229,613","4,096,276","1,598,149","618,261","141,777","356,277","1,531,331","1,773,952","2,583,911","920,568","1,467,599"
関東州,-,-,-,-,-,-,-,-,６,"1,601",500,"27,780","10,840","1,614","14,344","68,348","64,324","4,851","27,604","70,216","289,990","1,352,352","879,041","406,254","558,557","320,419","418,063","311,999","155,992","357,442","609,862","164,941","110,250","77,629","421,415","866,149","951,970","1,375,830","1,508,958","3,646,706","2,978,185"
満州,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,506","9,516","14,328","41,190","74,148","168,901","655,058"
香港,113,-,６,86,"1,454",528,-,20,６,"1,268",-,-,15,-,"4,248","33,195","12,936","1,960","32,056","195,188","23,104","61,426","86,797","24,890","11,550","4,984","156,013",■襴●,●●●,●●●,●●●,●●●,"443,055","126,032","12,659","82,068","301,117","488,097","288,205","224,206","16,797"
韓国,-,"24,525",-,-,-,946,"50,112",668,716,283,"2,089","25,163",702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
露領アジア,"588,073","595,531","947,553","685,578","843,942","1,065,366",-,"20,209","865,816","315,039","131,272","59,385","152,797","111,010","165,100","153,843","487,101","219,614","635,115","348,799","255,373","667,673","517,245","596,374","798,284","589,409","947,834","3,372,368","840,913","4,028,584","3,321,873","11,950,073","11,365,666","1,205,896","7,763,993","8,153,437","7,373,538","8,145,136","7,815,275","7,598,065","8,673,692"
フィリッピソ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"357,864",-,-,-,-,●●●,●●●,●●毳,●●●,●●●,"153,692","5,526","123,672","271,777","253,674","270,342","99,127","294,574","81,925"
仏領インドシナ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●襴●,●●●,●●●,●●●,●●●,-,"9,054",518,"27,703","18,265","31,796","19,748",-,"1,646"
シャム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●暮,●●●,●●●,,Ｉ●●,"4,171",30,130.738,201.214,168.806,163.311,"865,997","106,640","4,272"
英領海峡植民地,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,712,-,395,40,618,"8,407",-,-,-,"5,606",-,-,φ●●,●●●,●●●,●●●,・●●,"6,696",945,"21,260",￣’’￣￣･㎜㎜㎜,,,"202,720","185,095","73,578"
英領ボルネオ,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●●●,●●●,-,"470,871","448,015",,,,-,-,"2,115"
蘭領インド｀,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,510","2,454",-,-,-,-,●●●,●●●,●●●,・●●,・●・,-,-,148,-,-,"1,860","110,704","42,113","29,860"
英領インド,-,40,-,-,34,-,-,-,-,-,-,-,-,-,-,-,"1,600",-,１,-,-,"89,692","49,416",-,-,-,-,●●●,●●●,●●●,●●●,・●●,227,"4,723","78,064","225,989","252,817","115,506","75,234","24,655","40,306"
イギリス,"35,730","36,220","37,609","32,799","40,028","158,041","112,002","101,592","52,461","43,291",３,"8,727","31,304","109,791","370,266","325,290","485,507","406,272","187,404","611,636","599,726","254,592","47,127","37,680","105,490","88,803",88,"734,570","528,837","1,984,377","1,083,356","1,103,284","1,520,350",700,"3,985","57,706","57,406","23,034","23,942,806","20,003,333","24,917,845"
フランス,-,-,-,-,-,-,-,-,-,-,-,-,"2,000",-,-,238,"2,363",-,"50,765","18,440","85,384","11,067",-,-,-,-,104,●●●,●●●,●●ａ,●■●,●●●,"558,319","1,802,993","2,158,673","4,353,342","13,445,366","9,457,226","833,868","1,017,828","1,040,842"
F｀イツ,-,-,-,-,80,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,340,-,-,-,●●●,●●●,●●●,●●●,●●●,"313,800","653,609","506,525","2,676,453","76,479","933,941","730,144","521,415","444,697"
イタリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●■●,・●●,,"9,041","590,136","196,350","227,340","874,062","752,419","2,000","5,114","6,142"
オランダ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,●●●,●・●,●・●,●●●,●・●,"72,050",300,"98,808","153,163","216,829","33,963","475,083","626,275","617,322"
ペルギー,-,-,-,-,-,-,-,-,"34,059","49,713",-,-,-,-,-,-,"8,009",-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●蜀●,●●●,"49,965",84.501,"227,795","180,071","348,846","397,740","935,297","1,421,154","1,087,059"
スウェーデン,-,-,-,-,-,-,-,-,-,-,-,"72,411","215,354",-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●●●,●●●,・●●,"133,956",279.684,320.836,"560,169","862,343","66,686","168,261","175,135"
デンマーク,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●●●,●●●,襴●■,●■●,●●●,●●●,"55,938","69,157","3,824","256,616","60,018"
スペイン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●申,●●●,●●●,-,●襴●,●●■,●・●,"9,430","38,925",-,-,-
ギリシア,-,-,-,-,-,-,-,一,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●●●,●●●,●●●,525,100,"12,505","11,362",-,"60,470","40,666","239,451"
北アメリカ,"193,402","254,136","278,498","420,395","403,790","529,541","456,920","529,834","663,632","479,145","224,713","263,514","288,533","345,035","470,883","396,808","197,039","259,700","473,407","492,625","673,039","125,481","63,238","7,834",20,"20,334","67,328","130,740","20,576","41,414","321,190","75,217","364,357",●●●,●●・,●・●,"53,327","44,128","694,834","1,040,720","166,925"
英領ｱﾒﾘｶ(聆6年からｶﾅﾀﾞ),-,-,"12,000",-,"19,800","33,745","30,023","29,989","25,323","26,120","51,961","77,162","47,242","40,512","147,352","57,000",-,"129,503","164,800",-,"12,541",-,"4,734","3,600",-,-,-,●●●,●●●,●●●,●●●,●●●,-,"249,153","207,615","98,174","1,314,520","787,938","40,258","37,239","20,095"
こシフト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,"3,326",-,-,-,-,-,-,-,●●●,●●●,■●●,●●●,●●●,"20,772","4,407",28,-,"3,420",-,"107,812","186,504","255,698"
その他アフリカ諸国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,●●●,●●●,●●●,●●●,"54,908",-,"15,800",54.041,"55,121","64,348","218,243","565,014","860,254"
ハワイ,"62,200",36.000,-,"38,259","38,560","48,000","58,580",-,-,"84,946","45,872",-,"32,880","30,140",-,-,-,-,-,-,-,-,-,-,-,-,-,,●●申,●●●,●●●,●●●,-,"146,213","88,778","84,111","180,863","118,057","70,850","79,186","109,143"
