,明治31,明治32,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治40,明治41,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正11,大正12,大正13,大正14,昭和１,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和９,昭和10,昭和11,昭和12,昭和13
合　　　計,"1,698,158","1,726,387","3,009,284","2,415,024","2,795,201","4,104,860","827,904","910,851","1,670,169","673,605","439,056","161,748","187,802","353,628","671,142","812,618","399,318","815,831","915,194","1,755,985","1,363,900","3,993,203","3,275,621","1,714,697","2,397,364","6,666,317","6,583,395","11,883,859","13,428,436","17,002,270","11,442,041","6,519,592","16,755,570","20,257,284","18,503,377","19,098,329","18,735,224","22,446,889"
支那,"1,254","1,640","6,918","6,877",-,-,"1,828","4,124","1,667","5,192","3,166","2,169","3,799","5,760","2,484","2,188","8,750","46,684","117,446","471,680","375,590","705,109","1,003,885","271,724","621,364","379,683","728,598","3,676,242","4,199,239","2,921,842","102,588","109,773","102,837","63,374","10,444","17,305","11,486","17,694"
関東州,-,-,-,-,"3,989","2,152",-,－　　　　皿,-,-,-,12,"2,994",271,230,"17,406","10,346","31,733","271,419","723,738","215,403","113,736","93,968","130,318","382,818","723,449","350,722","477,836","851,581","1,309,461","953,558","436,481","518,229","971,100","553,374","647,688","752,685","828,653"
満州,-,-,-,-,-,-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,866","1,128","7,831","5,722","142,266","212,333"
香港,"169,134","1,391",-,"107,600",30,-,-,-,-,21,15,-,36,16,45,50,77,19,-,-,44,"11,732",47,２,"9,750",■●●,●●●,●●●,●●●,●●●,"76,510","42,961","1,110",67,-,162,"1,584",-
韓国,748,16,-,16,826,-,４,70,21,"1,289",-,77,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-
露領アジア,"1,301,266","1,624,610","2,602,631","1,993,917","2,357,115","2,916,071","276,085","31,707","773,300","13,865","8,152","6,833","8,932","14,442","19,190","15,737","19,186","28,877","68,740","78,966","258,650","129,212","159,920","267,597","354,854","991,585","1,445,575","755,921","3,398,707","6,296,675","3,279,728","3,108,321","13,201,421","15,259,441","14,627,212","15,308,875","15,182,136","17,507,063"
仏領インドシナ,-,-,-,-,-,-,-,-,-,-,-,-,-,20,"324,566","480,860",-,-,-,-,"1,700",165,"121,716","65,045",21,●鵞●,●●●,●・●,●●●,●・●,-,-,-,-,-,一,-,-
英領海峡植民地,-,-,-,一,-,61,-,-,-,-,18,-,41,300,19,769,13,94,-,294,24,"452,578",-,-,89,●●●,●●●,,●●●,●●●,66,"17,689",６,-,"24,023","62,221","234,527",16
英領ボルネオ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,-,-,-,●●●,●●●,●●●,●●●,●■●,６,"108,719","29,300","106,090","97,611",-,-,521
