,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40
合　　　計,"1,685,412","2,854,013","1,472,598","3,026,559","2,018,282","2,498,483","2,824,772","3,458,275","3,371,471","3,635,659","4,078,489","3,396,586","3,261,109","3,394,915","3,647,418"
アジア,,,,,,,,,,,,,,,
香港,-,-,-,-,20,49,-,-,516,135,"3,445",-,-,-,-
台湾,-,一,"20,075",-,-,"127,673",-,-,-,-,-,-,-,-,-
フィリピン,"42,622","16,301","35,720",-,-,-,-,-,-,"13,140","28,126",-,-,-,-
中国,-,-,-,-,-,"122,734",-,-,-,-,-,-,-,-,-
タイ,-,"233,656","316,008",-,-,-,-,-,-,-,-,-,-,-,-
ビノレマ,"895,276","312,244",-,-,"684,251","93,321","198,408","142,863",-,-,-,一,-,-,-
インドネシア,-,-,-,-,-,-,-,-,"10,221",-,-,-,-,-,-
英領北ボルネオ,-,-,-,-,-,-,-,-,673,-,"9,883",-,-,-,-
パラオ,"12,895","17,553",-,-,-,-,-,-,-,-,-,-,ー,-,-
ソ連領アジア,-,-,-,-,一,"24,941",-,"10,312","14,119","37,355","255,130",-,-,-,-
南樺太及び千島列島,-,-,-,-,-,-,-,-,-,"15,057",-,-,-,-,-
イラク,-,-,-,-,-,"113,583","1,105,475","1,437,523","1,876,721","1,812,829","1,267,137","1,140,614","787,109","849,184","991,247"
サウジアラビア,-,-,-,-,-,"7,430","140,030",-,"146,495",-,-,-,-,-,-
リベリア,-,-,-,-,-,-,-,-,-,"5,472",-,-,-,-,-
アデソ,"95,772","68,891",-,-,-,-,-,-,-,-,-,-,-,-,-
クウェート,-,-,-,-,-,-,"132,443","56,780",-,"327,999","430,284","644,539","891,694","700,308","578,326"
イラン,-,-,-,-,-,-,"6,653",-,-,-,-,-,-,-,-
イスラエル,-,-,-,-,-,-,-,-,-,-,"82,657",-,-,-,-
ヨーロツノ弋,,,,,,,,,,,,,,,
デンマーク,-,-,70,"30,607",-,45,189,"15,717","4,655","5,706","9,450",-,-,-,-
イギリス,-,13,37,13,24,"74,441","86,887","30,076","15,813","5,219","23,009",-,-,-,-
フランス,-,"1,385",-,-,18,-,-,-,-,-,"20,221",-,-,-,-
ベルギー,-,-,-,-,-,"3,561","18,306","3,680",-,-,-,-,-,-,-
スペイン,-,-,-,"34,912","98,718","69,510",-,-,-,-,-,-,-,-,-
スイス,-,-,-,33,61,-,-,"50,746",-,-,-,-,-,-,-
西ドイツ,-,-,-,-,960,78,"31,965","25,927","32,937",569,54,-,-,-,-
イタリア,-,-,一,-,-,-,-,-,-,-,107,-,-,-,-
スウェーデン,-,-,-,-,-,-,110,"11,373",652,139,"2,035",-,-,-,-
ユーゴスラビア,-,-,-,-,-,-,-,-,447,-,-,-,-,-,-
ノールウェイ,-,-,-,-,-,-,-,-,-,-,130,-,-,-,-
ソビエト連邦,-,-,-,-,-,-,-,-,-,"98,104","119,797","70,136","121,978","253,018","464,651"
北アメリカ,,,,,,,,,,,,,,,
アメリカ,"495,229","1,952,202","836,348","2,579,569","779,975","1,284,078","526,341","1,224,240","892,404","788,698","1,225,962","1,131,945","1,080,547","820,418","655,521"
カナダ,-,"149,183","169,831","294,356","289,360","327,850","362,692","417,331","309,956","358,024","353,087","409,352","368,815","517,614","406,385"
南アメリカ,,,,,,,,,,,,,,,
アルゼンチン,-,-,-,"83,941",-,"54,615",-,-,-,-,-,-,-,-,-
