,単位,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　正　　７,,大　　正　　８,,大　　正　　９,,大　　正　　10,,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　　額,数　　量,金　　額
総計,,●●●,"736,578",●●●,"2,141,508",●●●,"2,547,425",,"3,090,531",・●●,"3,235,437",●●●,"4,590,921",●●●,"3,941,603",●蕃●,"4,774,421",,"5,629,274",呷●●,"4,110,626",Ｉ●●,"3,283,706",,"4,568,189",●●●,"9,787,342",●●泰,"13,490,297",●●●,"10,124,364",,"13,237,699",●●●,"12,704,682","…　　11,721,615",,●●●,"15,911,014"
漁獲物（水産物）,,●●●,"736,578",暈●■,"2,141,508",●●●,"2,547,425",●●●,"3,090,531",,"3,235,437",齒・・,"4,590,921",●●●,"3,941,603",●●●,"4,774,421",●●●,"5,629,274",●●●,"4,110,626",二●●,"3,283,706",,"4,568,189",●●●,"9,787,342",●●●,"13,490,297",●●●,"10,124,364",,"13,237,699",●暈●,"12,704,682","…　　11,721,615",,●●●,"15,911,014"
鮮魚,斤,-,-,-,-,-,-,-,-,-,-,-,-,"20,987","2,002","1,664",100,"4,642",304,"37,709","3,007",100,10,-,-,-,-,-,-,466,"9,320","1,063","10,160",-,-,"37,111　　　585,134",,"16,758","232,747"
塩鮭,斤,"13,290,639","667,688","36,468,984","1,817,246","36,699,459","2,013,648","50,312,987","2,478,782","62,813,840","2,669,250","64,055,649","2,822,277","36,017,779","2,013,901","49,156,015","2,790,534","44,842,857","2,246,555","19,959,087","1,148,997","10,619,268","923,118","16,087,012","1,599,573","35,769,971","4,892,720","47,751,235","6,882,645","305,964","3,955,209","525,669","6,599,367","622,464","6,920,053","510,240　　5,876,855",,"427,487","7,091,340"
塩鱒,斤,"1,231,958","55,359","7,867,613","284,419","11,006,973","492,711","12,874,017","506,994","9,723,383","307,966","42,761,012","1,294,787","28,343,225","1,039,752","37,084,761","1,469,516","69,238,081","2,429,469","63,306,339","2,097,944","49,713,929","2,001,871","48,807,879","2,502,980","60,006,137","4,159,717","57,804,104","5,255,218","683,854","4,514,910","640,169","3,301,251","576,074","3,354,429","336,357　　2,227,898",,"744,098","5,033,206"
筋子,斤,"382,298","13,169","521,129","38,812","294,360","22,502","424,124","30,811","647,400","44,044","957,636","57,448","632,296","47,060","630,435","45,815","901,422","67,241","1,727,855","136,143","921,432","71,416","950,043","77,806","1,071,259","307,352","3,051,968","645,242","34,081","680,451","50,199","1,146,497","51,135","1,122,917","38,067　　　849,117",,51.444,"1.275,696"
その他塩魚,斤,-,-,170,５,"117,434",3.402,"24,335",819,"5,653",273,990,39,"103,666","2,980","254,257","10,879","236,588","13,105","105,984","3,821","117,232","5,120","64,923","3,556","163,873","12,328","381,164","38,023",151,998,17,70,"4,486","36,098","612　　　　2,180",,"1,557","13,294"
乾魚,斤,973,71,"3,660",187,"35,239","1,582","19,113",925,"10,581",529,"57,225","2,364","11,188",748,"11,521",587,"16,443",804,"12,593",804,"8,071",520,"1,553",126,"1,258",126,"9,525","1,170",377,"5,339",824,"15,235",78,715,-　　　　　-,,572,"21,339"
塩鯨肉,斤,"3,348",268,940,47,"6,965",432,-,-,"2,144",107,"2,250",90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-　　　　　-,,-,-
鮭缶詰,斤,-,-,-,-,-,-,-,-,"620,572","94,521","1,449,934","233,595","2,843,457","546,920","1,883,231","319,436","3,842,933","646,156","1,967,272","543,456","509,419","131,273","257,740","116,097","241,31'7","143,368","252,066","174,718","6,129","370,426",19.506,"976,044","6,925","305,453","17,706　　　732,907",,"12,774","676,010"
