,総　　　　　　　　　　　数,,,食　　　　　料　　　　　品,,,繊　　　維　　　工　　　業,,,衣類・他繊維製品,,,木　材　・　木　製　品,,,家　具　・　装　備　品,,,パルプ・紙・紙加工品,出版・印刷・同関連産業,,,化　　学　　　工　　業,,,石　　油　　・　　石　　炭,,,ゴ　　　ム　　　製　　　品,,,毛　　　　皮　　　　類,,,窯業・土石製品,,,鉄　　　　鋼　　　　業,非　　　鉄　　　金　　　属,,,金　　　属　　　製　　　品,,,一　般　機　械　器　具,,,電　気　機　械　器　具,,,輸送用機械器具,,,精　密　機　械　器　具,,,そ　　　　の　　　他
,"事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","事　業
所　数","従　業
員　数","製造品
出荷額等","事業
所数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数","従　業
員　数","製造品
出荷額等","事　業
所　数"
昭和　23,386,"6,937","188,476",140,"1,664","74,684",13,534,"10,859",８,260,"3,456",66,452,"13,045",27,210,"3,628",２,18,246,11.993,20,264,28.321,５,32,470,１,306,"3,048",２,22,316,３,133,"3,277",３,-,-,-,27,254,5.356,37,823,"18,881",１,28,"1,049",６,"1,623","8,118",１,21,451,６
24,433,"10,163","353,341",133,"2,286","107,748",20,745,"32,847",11,353,"7,147",61,515,"17,164",28,268,"5,961",２,22,561,"15,410",22,443,"39,588",２,13,216,４,443,"7,130",２,22,"1,185",４,138,"2,738",９,-,-,-,37,366,"7,623",42,"1,122","32,481",４,85,"2,418",27,"2,558","66,736",３,66,"1,514",●●●
25,617,"10,244","516,875",157,"2,369","160,280",39,677,"35,789",13,255,"5,906",94,571,"24,016",67,351,"8,441",６,23,597,"19,365",18,394,"81,633",１,１,35,４,578,"22,754",11,57,981,14,208,"5,706",５,-,-,-,79,533,"17,401",40,652,"19,956",２,68,"2,238",36,"2,718","104,585",１,45,"1,170",７
26,533,"10,196","725,179",・■●,,"248,284",,,88.160,●●●,,"7,476",■●●,●●●,"36,048",,,"9,923",,●●●,●●●,"30,502",,,"99,060",・●■,●●●,Ｘ,,,"29,819",●●Ｉ,●●●,"1,306",,,9.965,●●●,-,-,-,,,"17,334",,●●●,"29,489",●●●,●●●,"3,047",,,"99,292",,,"1,438",●●●
27,571,"9,273","908,457",145,"2,213","256,475",43,537,"51,723",７,194,"4,691",91,537,"46,261",66,301,"13,684",４,23,686,"44,557",17,470,"108,239",１,１,65,４,511,"21,552",４,56,"1,393",12,156,"12,152",13,-,-,-,59,311,"19,705",40,681,"25,958",２,47,"4,766",34,"2,224","278,286",●嘯●,●●●,,６
28,531,"10,990","1,091,829",,"2,595","394,801",,"1,716",155.416,,176,"4,152",●●●,710,"54,954",,321,"12,564",●曾●,,711,"43,467",,534,"114,507",二●●,Ｘ,Ｘ,●●●,158,"7,123",●●●,82,"2,550",,185,"11,613",●●●,-,-,-,,506,"26,506",●曾●,616,"31,036",●●●,Ｘ,Ｘ,,"2,244","209,566",,51,"2,040",
29,781,"13,811","1,481,660",,"4,218","723,748",,"2,427","165,568",,100,"1,645",●●●,800,"76,525",●●二,450,"20,355",●●●,,723,"48,197",,324,"71,997",●●●,Ｘ,Ｘ,●●●,99,"6,335",,100,"3,487",●●●,532,"17,387",,-,-,-,●●●,472,"29,967",,733,"37,635",,Ｘ,Ｘ,,"2,435","253,254",●●●,Ｘ,Ｘ,●●●
30,743,"16,369","1,675,261",285,"4,144","712,075",25,"4,108","336,960",４,76,768,82,785,"80,051",65,448,"20,320",11,39,618,"52,215",16,582,"156,053",１,Ｘ,Ｘ,３,192,"6,823",９,91,"3,875",12,234,"13,273",６,-,-,-,73,668,"40,200",20,685,"46,374",１,Ｘ,Ｘ,33,"3,194","172,790",１,Ｘ,Ｘ,57
31,996,"18,710","1,914,639",422,"4,797","798,096",32,"4,207","317,236",17,109,"2,677",124,"1,074","98,131",98,634,"29,663",19,45,732,"51,914",17,488,"151,501",１,Ｘ,Ｘ,３,190,"9,490",７,74,"3,166",14,710,"21,779",13,５,32,"2,429",69,670,"87,727",43,"1,742","128,835",-,-,-,26,"2,432","149,314",２,Ｘ,Ｘ,39
32,945,"18,169","2,426,435",402,"5,042","837,690",30,"3,533","300,378",９,107,"2,532",118,"1,140","111,849",96,673,"33,585",13,44,712,"58,387",ｎ,467,"182,923",２,Ｘ,Ｘ,３,328,"13,642",11,63,"2,570",13,269,"23,466",15,４,22,"2,343",65,670,"103,331",39,"1,587","124,855",３,37,"2,093",29,"2,691","552,763",２,Ｘ,Ｘ,36
33,891,"17,426","2,536,572",373,"5,292","913,753",28,"2,851","343,278",10,95,"1,525",106,"1,108","128,432",100,685,"36,674",12,43,718,"59,096",14,461,"171,284",１,Ｘ,Ｘ,３,257,"17,051",２,Ｘ,Ｘ,12,246,"18,489",16,２,Ｘ,Ｘ,62,692,"125,679",40,"1,449",106.473,２,Ｘ,Ｘ,28,"2,686","545,783",２,Ｘ,Ｘ,35
34,838,"17,758","2,506,307",342,"5,541","940,626",28,"2,672","331,589",９,94,"2,911",95,"1,069","122,346",96,730,"38,963",14,41,754,"71,466",13,429,"130,460",１,２,150,３,445,"19,386",６,52,"2,792",13,527,"21,809",15,２,12,"1,537",56,638,"139,473",40,"1,711",138452,３,35,"2,055",25,"2,184","468,152",２,73,"2,730",34
35,860,"18,624","2,543,095",35(〕,"5,852","1,075,289",27,"2,966","316,979",10,98,"3,316",96,"1,140","141,741",99,761,"45,275",13,44,813,"73,470",13,385,"129,721",１,Ｘ,Ｘ,３,392,"26,540",７,57,"2,300",14,291,"20,680",16,４,20,"1,405",61,687,"161,055",44,"1,609","171,967",２,Ｘ,Ｘ,25,"2,642","273,118",３,77,"3,654",28
36,863,"19,505","3,217,145",345,"6,250","1,187,965",28,"2,596","339,105",12,172,"6,290",97,1，158,"176,759",101,741,"53,910",14,47,864,"80,553",10,408,"132,981",１,Ｘ,Ｘ,３,540,"33,581",５,43,"2,026",14,332,"27,481",15,３,18,"2,369",61,921,"263,274",48,"1,385","173,138",２,Ｘ,Ｘ,28,"2,868","579,425",３,75,"3,805",26
37,869,"19,899","3,251,475",349,"6,756","1,318,278",25,"2,460","276,030",14,206,"11,641",91,"1,169","182,997",97,738,"62,239",14,46,876,"87,342",12,389,"146,440",１,Ｘ,Ｘ,３,526,"38,589",６,12,376,17,408,"36,034",12,３,19,"2,647",63,921,"199,331",48,"1,315","188,075",２,Ｘ,Ｘ,28,"3,114","559,404",３,79,"4,518",35
38,958,"21,529","3,857,627",394,"8,213","1,626,914",25,"2,211","334,455",16,215,"12,711",93,"1,175","193,465",1Q8,851,"80,472",16,52,967,"101,434",14,381,"150,338",１,Ｘ,Ｘ,３,566,39.293,６,21,916,18,441,"45,283",15,２,Ｘ,Ｘ,75,"1,062","271,569",53,"1,214","182,609",２,18,"1,401",30,"3,127","639,515",３,72,"5,436",32
39,926,"20,898","4,327,332",380,"7,625","1,818,826",26,"2,593","397,826",13,184,"14,204",88,958,"176,338",103,822,"85,702",15,52,858,"102,901",16,413,"200,732",１,Ｘ,Ｘ,３,600,"47,732",６,26,"1,222",19,475,"52,275",17,３,35,"10,378",73,"1,036","274,069",45,"1,161","198,426",-,-,-,31,"3,045","771,921",３,77,"6,182",32
40,903,"20,103","4,729,387",368,"7,707","1,818,618",27,"2,106","411,499",13,203,"13,737",82,"1,020","185,698",100,828,"92,299",14,52,820,"108,926",14,357,"174,488",１,Ｘ,Ｘ,２,Ｘ,Ｘ,４,12,667,19,416,"52,974",14,１,Ｘ,Ｘ,74,975,"254,405",51,"1,141","159,930",-,-,-,26,"3,031","1,244,211",３,70,"7,698",38
41,"1,006","21,418","5,723,413",397,"8,363","2,584,769",26,"2,119","473,109",21,249,"18,450",96,"1,068","235,956",114,858,"101,732",15,65,928,"134,742",13,361,"171,085",-,-,-,３,Ｘ,Ｘ,７,32,"2,490",23,425,"51,043",17,３,Ｘ,Ｘ,72,976,"288,582",55,"1,202","177,180",２,Ｘ,Ｘ,28,"3,257","1,230,336",３,72,"7,872",46
42,970,"21,125","5,971,236",386,"8,332","2,471,589",27,"2,044","552,343",19,225,"18,039",91,"1,084","279,712",109,826,"107,306",11,65,913,"152,902",８,321,"222,675",-,-,-,２,Ｘ,Ｘ,６,34,"4,367",19,311,"73,536",21,６,36,"9,150",69,996,"328,652",50,"1,170","231,944",３,Ｘ,Ｘ,35,"3,394","1,264,853",３,Ｘ,Ｘ,40
43,942,"20,927","6,955,584",383,"8,343","2,725,398",27,"1,987","604,270",19,216,"20,251",81,981,"295,041",100,702,"105,831",13,61,903,"171,147",８,315,"272,762",-,-,-,３,Ｘ,Ｘ,６,19,"1,560",18,333,"76,982",22,４,26,"6,152",76,884,"259,364",49,"1,172","315,991",２,Ｘ,Ｘ,29,"3,317","1,783,580",３,Ｘ,Ｘ,38
44,995,"20,313","7,556,843",397,"7,779","2,830,694",25,"1,933","653,970",23,261,"33,028",79,949,"321,504",110,689,"115,556",17,R5,q3∩,ﾜnR gR只,只,９?７,gnj7沚7,-,-,-,３,Ｘ,Ｘ,６,18,"1,268",16,243,"61,652",21,７,SA,11 fiRA,戝,只3只,3∩5 n73,55,1.?S7,393.45R,３,Ｘ,Ｘ,31,"3,708","2,000,459",２,Ｘ,Ｘ,44
45,943,"19,182","8,295,895",366,"7,209","3,102,683",20,"1,378","694,926",25,284,"38,261",68,850,"338,897",105,656,"133,464",15,"--
68","---
946","234,339","－
８","ヽ･-･
366","~~゛j1ふ●


303,225",-,-,-,３,Ｘ,Ｘ,６,16,"1,332",16,206,"56,018",16,７,"に
41","ゐゐIV\V


12,976","ヽ･~


82","-ヽ･~
788","WWwyW●W



288,532","--
55","ふiWW･


1,458","WWwFIWw



563,787",１,Ｘ,Ｘ,35,"3,754","2,177,533",３,Ｘ,Ｘ,44
46,886,"17,218","8,130,494",335,"6,003","2,917,918",19,"1,041","441,029",21,265,"39,656",69,859,"348,345",103,667,"140,754",15,67,930,"265,406",８,357,"314,712",-,-,-,５,Ｘ,Ｘ,５,15,"1,540",14,220,"64,601",13,６,35,"12,913",75,705,"232,753",51,"1,177",500.960,３,Ｘ,Ｘ,33,"3,860",",531,204",３,Ｘ,Ｘ,41
47,925,"16,840","9,062,867",346,"5,962","3,114,859",19,809,"461,305",29,287,"49,135",74,810,"390,451",101,648,"166,865",13,80,967,"306,146",９,343,"325,999",１,Ｘ,Ｘ,５,Ｘ,Ｘ,３,ｎ,"1,066",11,203,"83,071",12,３,19,"7,467",77,726,"252,229",53,"1,393","638,801",２,Ｘ,Ｘ,32,"3,716","2,966,280",４,Ｘ,Ｘ,51
