,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正14,昭和１,昭和２
ニシソ,"39,040",480,"3,800",40,"7,525","95,155","57,062",-,-,480,-,-,150,"11,070","2,400",-,-,-,-,-,-
サケ,600,680,"1,160",28,10,450,380,"1,000石",151,350,360,150,-,-,一,80,120,200,500,250,300
"マス
イヮシ","1,680
9,418","560
8,628","280
147,130","－
198,680","－
1,510","1,140
45,000","570
1,900","720s
25,280","121
133,000","360
50,000","－
121,600","134
128,000","－
60,000","－
60,000","－
8,000","－
26,000","－
160,000","6,000
24,000","300
5,000,000","150
500,000","200
750,000"
タラ,"1,680",360,"2,800",58,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,500","13,000","8,000","6,000"
サバ,389,150,50,-,-,30,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
マクロ,260,150,40,35,190,"2,500","1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
ブリ,"36,853","6,300",430,400,40,"1,200",840,-,-,"1,200","1,800","1,200","1,800","1,600",-,"3,330",-,"2,000",-,"7,000","3,000"
カレイ,"3,690","2,000","1,850","2,000",45,"2,240","2,000",960,"1,280","1,630","2,000","3,800","4,500","3,800","3,400","42,000","38,000","15,000","300,000","250,000","300,000"
フカ,270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",-,-,-
タイ,"1,015",450,380,208,８,359,320,-,-,150,140,120,200,200,150,660,-,-,-,-,200
カスベ,120,45,15,-,-,50,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サメ,"1,345",150,35,-,-,1.800,"1,850","3,640",-,420,50,"9,800","1,200",1.500,100,"1,000",-,-,300,-,-
メヌキダイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","130,000",-,-
玉余魚,-,-,-,-,-,-,-,-,-,370,640,300,-,-,-,800,-,"4,000",-,-,-
ソイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,200",-,800,"2,000",-,-
アブラコ　・,"1,202",200,200,150,３,120,150,784,-,610,580,390,400,300,350,"1,500",-,"1,200","1,500",-,-
タナゴ,120,-,-,-,-,50,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
カナガシラ,717,-,-,-,-,180,150,843,-,-,-,"1,500","3,000","4,000",-,"7,000",-,-,-,-,-
ﾉヽモ,985,368,250,100,４,385,270,120,-,680,680,550,600,500,500,"2,500",-,300,-,-,-
ソイ,680,195,150,-,３,280,224,638,-,420,330,500,500,500,-,-,-,-,-,-,-
比目魚,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
公魚,179,130,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ボラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ワカサギ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ハタハタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,500",-,-
ヒシコ,-,-,-,-,-,-,-,-,-,-,-,-,"60,000",-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,300",-,-,"63,500","5,800"
魚類計,"100,243","20,846","158,655","201,699","9,338","150,939","66,845",-,-,"56,670","128,180","146,444","132,350","83,470","14,900","86,070","213,420","59,000",",455,100","828,900","1,065,500"
アワビ,536,295,-,-,-,320,280,289,-,"1,650","1,350","1,200","1,500","1,300",-,"11,000",-,"3,000","8,000","10,000","12,000"
カキ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ホッキガイ,-,-,-,-,-,-,-,-,-,-,-,-,500,600,400,500,-,500,-,-,-
アカガイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,500",-,-,-
アサリ,"2,860","4,000","3,500","2,000",70,"3,200","2,240","2,500",-,"2,130","4,500",400,"3,000","3,500",-,"3,000",-,"7,000","15,000","15,000","15,000"
その他,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,500",-,-,-,-
貝類計,"3,396","4,295","3,500","2,000",70,"3,520","2,520","2,789",-,"3,780","5,850","1,600","5,000","5,400",400,"14,500","14,500","12,000","23,000","25,000","27,000"
イヵ,"54,450","124,286","223,100","100,000",595,"181,891","259,528","238,250","225,000","2,130,000","2,500,000","625,000",",500,000","750,000","20,000","45,000","300,000","80,000",",231,153","150,000","500,000"
タコ,"2,526",520,350,350,９,-,360,280,-,280,400,500,400,350,400,"6,400",-,800,"1,500","1,500","10,000"
ナマコ,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,300,-,-,-
カニ,160,150,200,150,５,"1,000","1,200",985,-,460,-,-,-,-,-,100,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,500",-,-,-,-
水産動物計,"57,136","124,956","223,650",-,609,"182,891","261,088","239,515",225.000,"2,130,740","2,500,400","625,500",",500,400","750,350","20,400","51,500","303,500","81,100",",232,653","151,500","510,000"
コソブ,-,-,-,-,-,ー,-,-,-,"14,000","19,400","132,000","292,000","58,860","45,160","16,300","15,814","42,782","20,000","12,000","13,000"
石花菜,-,-,-,-,-,-,130,-,-,-,-,"3,800",-,-,-,"4,000",-,-,"1,800",-,-
ワカメ,-,-,-,-,-,-,30,250,-,250,250,250,280,200,300,"6,000",-,-,-,-,-
テングサ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,000","3,000"
フノリ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,767",-,-,-,-
海藻計,-,-,-,-,-,-,160,250,-,"14,250","19,650","136,050","292,280","59,060","45,460","26,300","53,581","42,782","21,800","16,000","16,000"
