,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９
計,●●●,●●●,●襴●,●●●,●●●,"380,647","355,355","797,814","343,470","96,726","666,379","511,872",●●●,●●●,●●■,"389,332","494,002"
素乾,,,,,,,,,,,,,,,,,
スノレメ,"179,744","34,400","344,000","19,200","45,600","117,760","82,400","16,000","89,440","26,490","183,348","120,000","397,860",263.502,"1,680",-,82.992
二番鯣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
フカヒレ,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ミガキニシソ,-,-,-,-,-,-,476,-,"3,000",516,-,-,-,-,-,"1,320",-
カズノコ,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-
ゴマメ（田作）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
タラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
長切昆布,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
元揃昆布,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
折昆布,23611,132R,625R,500石,985E,"4,984","22,552","525,340","22,452","23,800","19,400","6,600","39,200s","21,000s","45,160石","16,300","19,000"
刻昆布,"76,680","227,736","249,968","128,333","124,608","126,160","195,952","250,792","199,448","2,640","447,550","320,320","69,318","666,000",-,-,-
ワカメ,-,50,85,40,75,-,-,-,-,-,-,-,-,-,-,"6,000",-
雑魚,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,525",-
鰊鯑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,625",-
石花菜,-,250,370,300,250,-,-,-,-,-,-,-,-,-,-,-,-
素干イヮシ,-,1205,230R,250*,1舮,"3,200",-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
塩乾,,,,,,,,,,,,,,,,,
タラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
スケトウ,-,-,-,-,-,-,一,-,-,-,-,一,-,-,-,-,-
煮乾,,,,,,,,,,,,,,,,,
イヮシ,-,60゛i,98s,109s,9・,-,一,-,"3,840",855,-,-,-,-,-,-,-
イカナゴ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
