,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正２,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正14,昭和１,昭和２,昭和５,昭和８,昭和９,昭和10
焼魚,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,一,-,-,-,-,-,-
筋子粕清,-,-,-,-,-,-,-,-,-,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,000",-,-,-,-,-,-,-,-,-,-
肥料,,,,,,,,,,,,,,,,,,,,,,,,,
ニシン粕,"1,338s",-,-,-,-,"97,376","48,688",-,"4,200","1,600","5,750",-,-,-,-,-,-,-,"19,800","18,552","10,200","20,418",81,40,18
イヮシ粕,199,-,-,-,-,"21,280",-,"2,886","15,754","4,000",-,"8,000","7,950","255,600","23,100",-,"26,600","49,500","547,500","905,064","326,000","1,112,604","2,644","2,411",797
タラ粕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,888",０,11,41
カレイ粕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,000",-,０,-
荒粕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,400","53,444",-,17,138
干鰯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,丶　　　-,-,-,-,15,-,-
胴鰊,-,-,-,-,-,-,-,一一,-,"2,400",-,-,-,-,-,-,-,-,-,"47,504","47,264","48,730",107,５,131
スケトウ粕,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"47,050",-,"110,000",-,-,-,一,４,14
ニシソササメ,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,14,６,19
ニシソシラコ,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-,-,-,-,-,-,-,17,４,11
鮫及び鱶鰭,-,一,-,-,-,-,-,-,-,"4,550",250,"2,000","2,350","4,923","1,275",-,"1,820",-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,"8,000","6,850",-,"6,275",-,154,-,-,-,-,"135,888","28,800","152,848",84,１,"1,889"
その他搾粕,ー,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,"52,500",-,~,-,-,-,-
その他雑類,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"491,300",-,-,-,一,-,-
魚油,,,,,,,,,,,,,,,,,,,,,,,,,
イヮシ油,43,-,-,-,-,108,-,90,"1,800",600,-,400,"7,000","33,898","3,152","13,240","38,950","24,091",-,"76,788R","907,200s","641,959",757,452,216
ニシソ油,107,-,-,-,-,"9,735","4,867",-,480,180,一,-,-,-,-,-,-,-,-,540R,180,"6,084",20,13,５
タラ油,-,-,-,-,-,-,-,-,-,400,-,-,875,"7,260","2,160","2,300",-,-,-,-,"63,000",76,11,12,13
フカ・サメ油,-,-,-,-,-,-,-,-,-,"1,200",-,200,"1,050","5,896","1,782",-,-,-,-,-,"162,000","135,799",224,184,176
鱈・鮫混合油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,590",-,-,-,-,-,-,-,-
ヨード,520^,-,-,-,-,44,12,６,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,"1,750","1,892","2,670",552,-,-,-,"81,882",-,"10,910",-,５,53
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
焼魚,,,,,,,,,,,,,,,,,,,,,,,,,
筋子粕清,,,,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,,,,,,,,,,,,,,,
肥料,,,,,,,,,,,,,,,,,,,,,,,,,
ニシン粕,,,,,,,,,,,,,,,,,,,,,,,,,
イヮシ粕,,,,,,,,,,,,,,,,,,,,,,,,,
タラ粕,,,,,,,,,,,,,,,,,,,,,,,,,
カレイ粕,,,,,,,,,,,,,,,,,,,,,,,,,
荒粕,,,,,,,,,,,,,,,,,,,,,,,,,
干鰯,,,,,,,,,,,,,,,,,,,,,,,,,
胴鰊,,,,,,,,,,,,,,,,,,,,,,,,,
スケトウ粕,,,,,,,,,,,,,,,,,,,,,,,,,
ニシソササメ,,,,,,,,,,,,,,,,,,,,,,,,,
