,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正14,昭和Ｉ,昭和２,昭和５,昭和８,昭和９,昭和10
計,"298,127","233,520","476,822","94,274","160,041","215,097","172,411","90,543","138,964","46,927","238,279","190,206","359,425","519,226","71,244","394,958","567,322","365,666","1,844,654","1,137,481","2,617,123","4,004,312","4,376","3,634","2,862"
素乾,,,,,,,,,,,,,,,,,,,,,,,,,
スノレメ,"168,511",34.400,387.000,15.000,57.000,143.520,103.000,20.000,69.875,20.052,114.592,90.000,"298,395","329,378","3,696",-,"86,312",-,-,"236,520","1.470,000","1,513.151","1,219",1.171,819
二番鯣,-,-,-,-,-,"￣’￣ｆ





　　　　-",-,-,-,-,-,-,-,-,-,-,-,"150,584","788,324",-,-,-,-,一,-
フカヒレ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,409","10,960",-,"3,840","51,768",22,24,12
ミガキニシソ,-,-,-,-,-,-,"1,168",-,"2,100",387,-,-,-,-,-,"1,320",-,-,-,-,"1,680","68,792",207,179,132
カズノコ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,"24,000","5,761",０,１,14
ゴマメ（田作）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,０,４
タラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"120,000","18,748",194,170,129
長切昆布,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
元揃昆布,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"134,940","349,586",-,-,-
折昆布,"1,706",998,"6,500","11,200","9,456","1,495","8,168","7,855","5,613","5,950","5,820","2,640","7,840","6,510","22,580","6,520","11,400","21,391","22,800",-,-,-,203,132,17
刻昆布,"17,253","62,627","59,367","31,260","43,612","31,043","46,539","59,563","47,369","8,250","111,887","72,072","39,385","46,599",-,-,-,-,"139,750",-,-,-,102,71,-
ワカメ,-,18,30,14,24,-,-,-,-,-,-,-,-,-,-,"1,200",-,-,-,-,-,180,-,３,２
雑魚,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,263",-,-,-,-,-,-,-,一,-
鰊鯑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,875",-,-,"66,000",-,-,-,-,-,-
石花菜,-,125,222,210,150,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-
素子イワシ,-,"1,920","6,440","10,000",540,"2,285",-,-,258,"1,866",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,500","168,142",-,"28,640",８,-,-
塩乾,,,,,,,,,,,,,,,,,,,,,,,,,
タラ,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,６,14
スケトウダラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,２,４,３
煮乾,,,,,,,,,,,,,,,,,,,,,,,,,
イヮシ,-,600,"3,136","4,905",396,-,-,-,"2,411",560,-,-,-,-,-,-,-,-,-,-,405,"1,615",０,０,０
イカナゴ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,４
アワビ,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,０
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,000",-,109,27
燻乾,,,,,,,,,,,,,,,,,,,,,,,,,
サケ,-,-,-,-,-,-,-,-,-,90,390,"3,230","1,150","10,350",-,-,-,-,-,-,-,-,９,７,０
ニシソ,-,-,-,-,-,-,-,-,-,70,70,４,-,-,-,-,-,-,-,-,-,-,２,２,２
マス,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,"1,356",-,-,-
塩蔵,,,,,,,,,,,,,,,,,,,,,,,,,
イヮシ,-,-,-,-,-,-,-,-,-,494,-,４,-,-,-,"2,520",-,-,-,-,"8,100","30,132",35,21,８
サバ,-,-,-,-,-,-,-,-,-,-,-,１,-,-,-,-,-,-,-,-,-,-,-,-,一
ブリ,-,-,-,-,-,-,-,-,-,324,-,"7,711",-,-,-,-,-,-,-,-,-,-,-,-,-
サケ,-,-,-,-,-,-,-,-,-,160,-,"8,451",-,-,-,-,-,-,-,-,-,-,-,一,-
マス,-,-,-,-,-,-,-,-,-,100,-,１,-,-,-,-,-,-,-,-,-,-,-,-,-
タラ,-,-,-,-,-,-,-,-,-,925,-,１,-,-,-,-,-,-,-,-,-,-,-,-,-
ニシソ,-,-,-,~,-,-,-,-,-,240,-,１,-,-,一,"24,668",-,-,-,-,-,-,-,-,-
マススジコ,-,-,-,-,-,-,-,-,-,-,-,６,-,-,-,-,-,-,-,-,-,-,-,-,-
ポッケ,-,-,-,-,-,-,一,-,-,-,-,２,-,-,-,-,-,-,一,-,-,-,-,-,-
鰊鯑,-,-,-,-,-,-,-,-,-,-,-,８,-,-,-,-,-,-,-,-,-,-,-,36,60
サケスジコ,-,-,-,-,-,-,-,-,-,一,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
タラノコ,-,-,-,-,-,-,-,-,-,-,-,５,-,-,-,-,-,-,-,-,-,-,-,５,11
マクロ,-,-,-,-,-,-,-,-,-,-,-,"1,480",-,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,"1,250",100,75,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,９,-,-,-,-,-,-,-,-,-,-,-,-,４
雑類,,,,,,,,,,,,,,,,,,,,,,,,,
手繰昆布,-,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
カマボコチクワ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"332,500","412,500","102,200","135,280","92,055","135,280","954,240",714,415,256
ツクダニ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,０,-,０
ウニ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,２,一
スダコ,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,２,６,２
魚貝缶詰,"89,109","132,357","13,160","20,867","48,863",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,111,375,892,619,一,734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
焼ウニ,-,-,-,-,-,-,-,-,-,-,64,45,-,-,-,-,-,-,-,-,-,-,-,-,-
イカシオカラ,-,-,-,-,-,-,-,"2,012","2,355",720,"1,640",940,"1,500","9,670","5,985",-,-,"12,847","13,000","11,210","12,000","193,655",208,204,117
ウニシオカラ,-,-,-,-,-,-,-,-,-,88,188,17,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
