,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正14,昭和１,昭和２,昭和５,昭和８,昭和９,昭和10
焼魚,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
筋子粕漬,-,-,-,-,-,-,-,-,-,-,-,315,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,"1,750",-,-,-,-,-,-,-,-,-,-,-,-
肥料,,,,,,,,,,,,,,,,,,,,,,,,,
ニシソ粕,"13,380",-,-,-,-,"24,234","11,117",-,"1,785",640,"1,868",-,-,-,-,-,-,-,"13,860","1!,131","6,120","9,801",28,13,７
イヮッ粕,"2,985",-,-,-,-,"6,384",-,908,"6,400","1,600",-,"2,500","2,385","83,070","14,322",-,"13,300","37,125","273,750","452,532","163,000","278,151",793,771,279
タラ粕,-,-,-,-,-,-,-,-,〃●,-,-,-,-,-,-,-,-,-,-,-,-,"7,472",０,３,14
カレイ粕,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000",-,０,-
荒粕,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,960,"22,446",-,４,40
干鰯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,６,-,-
胴鰊,-,-,-,-,-,-,-,-,-,720,-,-,一,-,-,-,-,-,-,"22,326","21,269","26,802",48,２,56
スケトウ粕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35,287",-,"49,500",-,-,-,-,１,４
ニシソササメ,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,３,１,７
ニシソシラコ,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,-,-,-,-,-,-,４,１,５
餃及び鱶鰭,-,-,-,-,-,-,-,-,-,"1,137",48,500,587,"1,280",714,-,"3,400",-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,"1,600","1,712",-,"1,568",-,"15,190",-,-,-,-,"63,960","11,520","66,810",16,０,661
その他搾粕,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,250",-,-,-,-,-,-
その他雑類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,713","288,680",-,-,-,-,-,-
魚油,,,,,,,,,,,,,,,,,,,,,,,,,
イヮシ油,252,-,-,-,-,47,-,45,630,180,-,150,"2,400","21,356","2,679","13,240","3,505","6,023",-,"38,394","453,600","288,882",416,257,138
ニシソ油,"1,230",-,-,-,-,"4,218","2,109",-,168,54,-,-,-,-,-,-,-,-,-,270,99,"2,920",11,７,３
タラ油,-,-,-,-,-,-,-,-,-,140,-,一,625,"5,445","2,160","2,300",-,-,-,-,"4,410",43,６,６,11
フカ・サメ油,-,-,-,-,-,-,-,-,-,420,-,75,840,"4,717","1,782",-,-,-,-,-,"8,100","66,542",118,101,117
鱈・鮫混合油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,"1,618",-,-,-,-,-,-,-,-
ヨード,"2,340",-,-,-,-,"1,137",310,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",851,"2,136",552,-,"1,374",-,"40,941","37,800","3,819",-,１,22
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
