,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
スギノリ,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-
テソグサ,"4,504","15,415","11,141","7,141","11,888","5,022","4,225","19,345","5,517",392,-,-,-,-,-,-,-,-,-,-,-,-
ギソナソソウ,549,169,970,119,235,181,423,76,154,58,-,-,-,-,-,-,-,-,-,-,-,-
【魚油類計】,"36,836","15,713","21,144","12,349","9,600","15,302","15,622","19,368","15,740","11,389","2,465","1,384","1,577",500,144,"23,610","36,806","30,684","128,330","143,480","106,736","87,469"
魚油,-,-,-,-,-,-,-,-,-,-,"1,183","1,384",120,500,-,"1,740","3,006","4,834","128,000","143,360","106,493",169
クジラ油,40,666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
粗肝油,-,-,-,-,-,-,-,-,-,-,"1,282",-,"1,457",-,-,-,-,-,330,120,243,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,"21,870","33,800","25,850",-,-,-,"87,300"
サノく,-,-,-,14,318,-,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ポッケ,-,-,36,344,233,425,25,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
コウナゴ,38,"2,059","1,481",217,893,200,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サソマ,"20,190","3,822","4,936","2,677",71,38,11,-,-,-,一,-,-,-,-,一,-,-,一,-,-,-
その他魚類,"1,717","1,364","1,389",581,"1,374","2,327","2,079","2,069",451,５,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,"12,661","6,927","12,849","8,516","6,261","4,467","5,488","1,446",259,-,-,-,-,-,-,-,-,-,-,-,-,-
スケトウダラ粗肝油,"1,480",365,209,-,450,"7,845","7,854","15,813","15,030","11,384",-,-,-,-,-,-,-,-,-,-,-,-
その他粗肝油,710,510,244,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
【飼肥料計】,"98,352","29,449","61,427","86,811","115,520","133,601","178,815","168,684","142,478","192,181","279,508","346,180","427,078","950,175","1,298,345","1,134,505","915,282","644,671","1,119,000","767,970","564,835","738,826"
魚カス,-,-,-,-,-,-,-,-,-,-,"30,713","18,090","66,300","19,130","92,052","85,835","78,050","54,950",-,-,-,"3,420"
粉末飼肥料,"32,326","2,383","39,105","46,428","90,746","106,833","158,796","146,243","136,285","188,100","248,795","328,090","311,710","294,315","447,572","402,730","209,827","93,270","465,000","369,960","301,575","646,016"
ソリュブル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,807","645,940","627,405","516,451","654,000","395,610","263,260","89,390"
その他,-,-,-,-,-,-,-,-,-,-,-,-,"49,068","636,730","731,914",-,-,-,-,"2,400",-,-
イワシカス,"3,410","2,805",485,"1,954",241,"2,517","2,253","4,924","1,781",29,-,-,-,-,-,-,-,-,-,-,-,-
サバカス,-,-,-,187,-,-,158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ホッケカス,４,-,124,"1,335",-,681,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
スケトウタラカス,-,-,-,-,-,"2,998",-,-,19,123,-,-,-,-,-,-,-,-,-,-,-,-
コウナゴカス,563,"7,745","6,900","1,497","4,564","1,234",270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サソマカス,"45,686","4,949","9,824","14,071","1,093","1,926",406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他魚カス,982,"2,416","3,575","2,694","10,878","13,873","14,406","15,188","4,077",-,-,-,-,-,-,一,-,-,-,-,-,-
スケトウダラ荒カス,-,-,-,５,980,"2,636","2,526","2,177",316,"3,929",-,-,-,-,-,-,-,-,-,-,-,-
その他魚荒カス,"7,310","4,292","1,414","1,934",571,161,-,152,-,-,-,一,-,-,-,-,-,-,-,-,-,-
その他飼肥料,"8,071","4,859",-,"16,706","6,447",742,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
【その他】,"7,350","43,354",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ィカ製品,-,"29,926",-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-
クジラ製品,"7,350","13,428",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他製品,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
