,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,昭和８,昭和９,昭和10,昭和11,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18
,ニシン,１,０,-,-,０,-,-,,-,-,878
,イワシ,242,231,77,168,194,220,297,●●●,12,67,97
,サバ,１,０,28,-,-,-,39,●●●,60,639,"4,432"
,マクロ,19,-,-,-,-,-,０,●●■,-,"2,103",-
,タラ,10,29,46,36,20,43,90,●●●,４,０,108
,スヶソウタラ,１,２,８,-,-,-,９,●●●,-,-,"1,467"
,フカ（サメ）,56,44,65,-,56,123,m,●●●,４,23,141
,タイ,-,０,-,-,-,-,-,●●●,-,-,-
,カレイ,n3,97,66,62,46,114,150,●●●,39,58,839
,ヒラメ,35,26,25,-,-,-,-,●●●,-,-,-
,トビウオ,-,-,０,-,-,-,-,●●●,-,-,-
,ボラ,０,-,-,-,-,-,-,争●●,一,-,-
,サケ,０,-,-,０,３,１,-,●●●,-,37,８
,マス（アメマス含）,３,０,０,１,５,12,７,●●二,15,91,119
,ワカサギ（チカ）,１,-,０,-,-,-,一,●●●,-,-,-
,カスベ,０,０,-,-,-,-,-,●●４,-,-,-
,ポッケ,０,０,-,-,-,-,-,●●●,２,12,699
,オヒョウ,-,-,58,-,-,-,-,●●●,-,-,-
,メヌキダイ,22,43,30,-,-,-,-,●●●,-,-,-
,アブラコ,１,７,11,-,-,-,-,●●●,-,-,-
,ソイ,２,３,２,-,-,-,-,●●●,-,-,-
,コウナゴ,-,-,２,-,-,-,-,●●●,-,-,-
,玉筋魚,-,-,-,-,-,-,-,●●●,27,-,-
,その他,40,５,21,-,-,-,-,●●●,-,-,-
,魚類計,547,487,439,267,324,513,703,●●●,163,"3,030","8,788"
,アワビ,９,45,40,-,-,-,-,●●●,-,-,-
,カキ,０,０,０,-,-,-,-,●●●,-,-,-
,アカガイ,９,13,22,-,-,-,-,●●二,-,-,-
,アサリ,０,０,７,-,-,-,-,●●●,-,-,-
,ホタテ,０,０,-,-,-,-,-,●●●,-,-,-
,その他,３,９,１,-,-,-,-,●●●,-,-,-
,貝類計,21,67,70,-,-,-,-,●●●,-,-,"一
一"
,イヵ,802,308,129,458,556,627,"4,747",●●●,"3,366","3,224","－
9,637"
,タコ,６,３,38,13,-,８,12,●●●,22,26,-
,ナマコ,０,-,-,-,-,-,-,●●●,-,-,-
,その他水産動物,０,１,０,-,-,-,-,●●●,-,-,-
,水産動物計,808,312,167,471,556,635,"4,759",●●●,"3,388","3,250","9,637"
,コソブ,21,37,10,25,38,11,60,●●●,43,37,"1,222"
,アマノリ,０,-,１,-,-,-,-,●●●,-,-,-
,ワカメ,１,１,０,-,-,-,-,●●●,-,-,-
,テングサ,３,０,１,-,-,-,-,,-,-,-
,フノリ,-,１,０,-,-,-,-,●●●,-,-,-
,ギソナンソウ,０,２,１,-,-,-,-,●●慟,４,-,-
,その他,７,２,５,-,-,-,-,●●●,-,-,-
,藻類計,32,43,18,25,38,11,60,●●●,47,37,"1,222"
,総　　　計,"1,408",909,694,763,918,"1,159","5,522",●●●,"3,598","6,317","19,647"
