,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,魚種名,昭和11,昭和12,昭和13,昭和14,昭和16,昭和17,昭和18,昭和19,昭和20
,建網及び地曳網,ニシソ,-,０,-,-,-,-,０,11,-
,,イワシ,68,155,207,287,12,67,97,-,304
,,サケ,０,３,１,-,-,-,０,-,-
,,マス,-,５,12,７,15,７,10,２,３
,,サバ,-,-,-,２,32,11,９,０,２
,,ホヅケ,-,-,-,-,１,11,50,10,12
,,玉筋魚,-,-,-,-,22,-,-,-,-
,建網のみ,イヵ,２,２,15,17,122,87,29,12,34
,建網のみ,マクロ,-,-,-,-,-,-,-,-,-
,,小計,70,165,235,313,204,183,195,35,355
,施網,イヮシ,95,34,-,-,-,-,-,-,-
,,サバ,-,-,-,-,-,-,-,-,０
,,小計,95,34,-,-,-,-,-,-,０
,流網及び刺網,イワシ,５,３,13,９,-,-,-,-,-
,,マス,-,-,-,-,-,０,０,-,-
,刺網のみ,タラ,６,１,５,-,-,-,-,-,-
,,小計,ｎ,４,18,９,-,-,-,-,-
,釣その他,イヵ,455,554,611,"4,730","3,244","3,187","1,455","1,647","3,701"
,,小計,455,554,6n,"4,730","3,244","3,187","1,455","1,647","3,701"
,刺網その他,ホヅケ,-,-,-,-,-,０,８,一,28
,,小計,-,-,-,-,-,０,８,-,28
,延縄その他,マス,１,-,-,-,-,-,-,-,３
,,小計,１,-,-,-,-,-,-,一,３
,延縄及び一本釣,スケトウダラ,-,-,-,-,-,-,０,０,-
,,カレイ,28,19,13,31,35,８,54,14,６
,,タラ,10,２,６,11,３,０,０,３,-
,一本釣のみ,マクロ,１,-,-,-,-,-,-,-,-
,延縄のみ,ｻﾉﾐ,-,-,-,36,-,-,-,-,-
,延縄のみ,サメ,-,13,25,15,４,23,35,25,22
,,小計,39,34,44,93,42,31,89,42,28
,底曳網,タラ,19,17,32,77,０,-,-,-,-
,,スケトウダラ,-,-,-,９,-,-,-,-,-
,,カレイ,13,20,85,110,-,-,-,-,-
,,小計,32,37,117,196,-,-,-,-,-
,手繰網,カレイ,-,４,９,０,-,-,-,-,219
,,小計,-,４,９,０,-,-,-,-,219
,刺網及び底建網その他,カレイ,20,２,４,８,３,49,39,-,33
,底建網のみ,ポッケ,-,-,-,-,-,-,-,１,14
,,小計,20,２,４,８,３,49,39,１,47
,項目名なし,昆布,25,38,ｎ,60,43,37,39,155,15
,,小計,25,38,ｎ,60,43,37,39,155,15
,機船底曳網,サメ,-,42,98,95,-,-,-,-,64
,,小計,-,42,98,95,-,-,-,-,64
,漕曳網及び船曳網,ポッケ,-,-,-,-,-,-,-,44,229
,船曳網のみ,玉筋魚,-,-,-,-,５,-,-,-,-
,,小計,-,-,-,-,５,-,-,44,229
,空釣縄,タコ,９,-,１,-,-,３,-,-,-
,,小計,９,ー,１,-,-,３,-,-,-
,その他,イワシ,-,-,-,-,-,-,-,-,501
,,タラ,-,-,-,０,-,-,-,-,34
,,スケトウダラ,-,-,-,-,-,-,-,-,40
,,サバ,-,-,-,-,28,-,０,０,２
,,タコ,４,-,７,12,22,23,-,-,-
,,ギソナソソウ,-,-,-,-,８,-,-,-,-
,,小計,４,-,７,12,58,23,０,０,577
,計,,761,914,"1,155","5,516","3,599","3,513","1,825","1,924","5,266"
