,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36
,イワシ定置,"千貫
　29","千貫
121",●●●,"千貫
　26","千貫
　99","千貫
　28","ｔ
-","ｔ
－","ｔ
-","ｔ
-"
,マス定置,-,-,●●●,-,-,-,52,-,-,-
,ィカ定置,29,-,●●●,-,-,３,０,152,72,81
,小定置,50,139,●■・,24,25,16,267,727,391,497
,底建網,９,１,●●●,10,-,８,９,11,30,95
,その他張網,-,-,●●●,-,-,149,-,-,-,-
,地曳網,３,-,,-,-,-,３,17,２,-
,機船底曳網,887,546,●●●,112,102,23,-,-,-,11
,桁網,-,-,啝●畊,-,-,１,28,58,39,29
,その他船曳網,16,-,，●●,-,-,-,０,２,１,-
,施網,-,-,●●●,-,-,-,16,-,３,７
,棒受網,-,-,Ｉ●●,"1,557","2,233","2,531","10,697","11,709","4,367","4,594"
,漕曳網,173,"1,338",夕●●,168,30,173,-,-,-,-
,カレイ刺網,６,-,●■●,-,-,２,８,22,19,８
,その他刺網,１,-,・■●,-,300,０,-,-,154,17
,イワシ流網,-,-,●●●,-,-,-,271,-,-,-
,サケ・マス流網,-,-,,-,-,-,22,-,２,３
,その他流網,-,０,●●●,-,-,288,-,-,-,-
,サメ延縄,24,119,・■●,-,-,-,-,-,-,-
,メヌキ延縄,-,-,●●●,-,-,-,20,71,36,92
,タコ空延縄,-,-,●血■,-,-,-,-,-,19,21
,その他延縄,98,165,●●●,95,146,113,295,336,288,369
,ィカ釣,"17,099","13,655",●●●,"12,910","3,572","4,862","3,345","12,858","10,309","11,249"
,その他一本釣,39,20,●●●,478,744,579,716,869,"2,098",640
,タコ箱,-,-,●●●,-,-,０,-,１,１,６
,採貝漁業,10,８,,14,17,25,105,43,65,40
,採藻漁業,63,45,●●■,47,13,51,171,162,127,116
,その他漁業,５,-,●●●,-,-,０,34,０,一,25
,メヌキ刺網,-,-,●●●,-,-,-,-,-,-,138
,タラ刺網,-,-,●●争,-,-,-,-,０,-,-
,カニ籠,-,-,●僵●,-,-,-,-,-,０,-
,エビ籠,-,-,●●●,-,-,-,-,-,-,０
,総　　計,"18,541","16,157",●●●,"15,441","7,281","8,852","16,059","27,038","18,023","18,038"
