,戸　　　　　　　　　　　数,,,,,人　　　　　　　　　　　　口,,,,,耕　　地　　面　　積　　　　　（単位：町）,,,,,
,自　　　作,,小　　　　作,,ご１,自　　　作,,小　　　　作,,e亠,自　　作,,小　　作,,計,
,専　業,兼　業,専　業,兼　　業,卩｜,專　業,兼　業,専　業,兼　　業,μ｜,田,畑,田,畑,田,畑
明治42,52,23,177,58,310,313,147,932,307,"1,699",3.7,268.4,6.4,325.9,10.1,594.3
43,58,34,153,71,316,352,208,706,352,"1,618",3.9,221.6,6.2,369.1,10.1,590.7
44,53,25,149,72,299,325,179,697,334,"1,535",3.9,206.4,6.6,419.5,10.5,625.9
大正１,46,17,146,70,279,293,156,666,290,"1,405",3.9,176.7,5.8,304.6,9.7,481.3
２,24,34,142,53,253,82,101,401,87,671,3.3,183.6,6.9,357.2,10.2,540.8
３,49,90,16,75,230,181,176,85,139,581,1.8,188.6,5.7,369.2,7.5,557.8
４,35,51,83,33,202,100,128,190,80,498,1.8,193.6,5.7,373.2,7.5,566.8
５,47,40,69,33,189,126,Ill,173,87,497,1.8,196.6,5.7,379.2,7.5,575.8
６,46,45,71,38,200,199,206,285,152,842,3.3,204.1,6.9,423.2,10.2,627.3
７,17,16,75,40,148,51,52,178,100,381,1.8,198.1,5.7,378.5,7.5,576.6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
