,戸　　　　　　　　　　　　　数,,,,,,,人　　　　　　　　　　口,,,,,,,,耕　　　地　　　面　　　積　　　　　　（単位：町）,,,,,
,自　　作,,自作兼小作,,小　　　作,,xil,自　　作,,自作兼小作,,小　　作,,計,,自　　　作,,小　　　作,,計,
,専業,兼　業,専業,兼　業,専　業,兼　業,卩｜,男,女,男,女,男,女,男,女,田,畑,田,畑,田,畑
大正８,20,21,38,41,82,48,250,62,58,110,108,182,181,354,347,1.8,196.4,5.7,379.5,7.5,575.9
９,*146,*114,●●・,●●●,●■●,●●●,260,●●●,●●●,●●●,●●●,●僵●,●●●,●慟●,●・●,●●●,●争●,●●●,●●●,10.7,572.5
10,23,28,42,45,90,49,277,84,66,129,117,202,204,415,387,3.7,238.0,6.5,342.5,10.2,580.5
11,*151,*161,●耆●,●●●,●●●,●●●,312,●●●,●●・,●●●,●■●,●●●,●争●,375,381,3.7,200.0,6.5,300.0,10.2,500.0
12,*161,*163,●ａ●,●●●,●●●,●●●,324,●●●,●●●,●●●,●●●,●●●,●●●,373,400,4.3,176.9,5.9,265.3,10.2,442.2
13,*158,*156,●●●,●●●,●●●,●●●,314,・●●,●●●,●●●,●●●,●●●,,277,637,4.3,146.9,5.9,153.2,10.2,300.1
14,42,29,６,●●●,106,132,315,97,71,30,25,240,189,367,285,4.3,154.8,5.9,107.8,10.2,262.6
昭和ｌ,42,30,６,●●●,108,145,331,97,73,30,25,265,198,392,296,4.5,134.2,5.7,95.4,10.2,229.6
２,35,27,７,●●●,102,128,299,84,63,18,20,239,225,341,308,4.3,129.6,5.9,85.5,10.2,215.1
３,*168,*33,●●●,●●●,●●●,●●●,201,●●●,●■●,●●●,●■●,●●●,・●●,251,264,1.3,40.0,5.8,129.8,7.1,169.8
４,*152,*112,●●●,●●●,●■■,●●●,264,●●●,,●・●,●●●,●●●,・●●,294,316,1.4,56.7,5.9,162.4,7.3,219.1
５,20,18,13,２,74,70,197,40,40,21,22,144,157,205,219,1.4,53.4,4.3,143.0,5.7,196.4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
