,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,総　数,耕　　　　　　　　地,,,,採　草
,,,計,田,畑,果樹地,放牧地
,昭和22,"1,090.20","1,090.20",249.70,840.50,●●●,●●●
,23,●●●,・●・,●・●,●●●,●●●,●●●
,24,"1,094.60","1,094.60",248.20,846.40,●●●,●●●
,25,"1,127.90","1,127.90",258.10,869.80,●●●,●●●
,26,"1,157.70","1,157.70",255.70,902.00,●●●,●●●
,27,"1,235.00","1,235.00",268.50,966.50,●●●,●●●
,28,"1,333.50","1,333.50",278.30,"1,055.20",嗇●●,●●●
,29,"1,333.40","1,333.40",279.00,"1,054.40",●●●,●●●
,30,"1,351.29","1,351.29",278.79,"1,072.50",●●●,●●●
,31,"1,263.90","1,263.90",311.77,952.13,●●●,●●●
,32,"1,221.35","1,221.35",285.38,935.97,・・●,●●●
,33,"1,196.78","1,196.78",288.85,907.93,●●●,●●●
,34,"1,027.20","1,027.20",279.80,747.40,●●●,●●●
,35,"1,116.39","1,116.39",270.46,845.93,●●●,●●●
,36,"1,036､60","1,036.60",293.10,743.50,●●●,●●・
,37,"1,011.46","1,011.46",287.36,724.10,●●●,●●●
,38,969.10,969.10,284.08,685.02,●●●,●・●
,39,"1,095.77","1,095.77",284.34,811.43,●・●,●●●
,40,"1,507.52","1,095.77",284.34,810.82,0.61,411.75
,41,"1,470.71","1,007.96",282.15,725.60,0.21,462.75
,42,"2,183.13","2,004.24",333.88,"1,669.56",0.80,178.89
,43,"2,072.35","1,731.54",322.47,"1,408.82",0.25,340.81
,44,"1,981.42","1,664.94",316.74,"1,348.20",●●●,316.48
,45,"2,000.88","1,821.04",303.62,"1,516.92",0.50,179.84
,46,"1,926.95","1,756.86",286.84,"1,469.64",0.38,170.09
,47,"1,806.87","1,685.02",281.07,"1,403.85",0.10,121.85
,48,"1,769.41","1,623.08",274.06,"1,349.02",●●●,146.33
,49,"3,217.66","3,010.27",534.68,"2,466.50",9.09,207.39
,50,"3,104.66","2,918.82",492.21,"2,423.61",3.00,185.84
,51,"3,046.55","2,896.57",491.46,"2,401.81",3.30,149.98
,52,"3,079.11","2,884.39",467.23,"2,410.26",6.90,194.72
,53,"3,005.25","2,856.38",456.56,"2,390.12",9.70,148.87
,54,"3,023.08","2,900.72",451.75,"2,437.42",11.55,122.36
,55,"2,967.43","2,880.33",411.18,"2,448.83",20.32,87.10
