,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,牛,,馬,,豚,,山　羊,,めん羊,,にわとり,,あひる,,七面鳥,
,,"農家
数",頭数,"農家
数",頭　数,"農家
数",頭　数,"農家
数",頭数,"農家
数",頭数,"農家
数",羽　数,"農家
数",羽　数,"農家
数",羽数
,明治15,●●●,28,●卜●,414,●●●,414,●●●,●●●,●●●,●●●,,●●●,噛・●,●●●,●●●,
,16,●●●,53,●●●,402,●●●,402,●●●,●●●,●●●,僵慟●,●●●,●●蕃,,■●蕃,,●●●
,19,二・●,61,●●●,394,●●●,394,●●●,号●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,
,20,●■●,64,●●●,256,●●●,256,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,
,21,●●●,72,●●●,321,・・●,321,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●ｉ
,22,●●●,96,●●●,296,・●・,296,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,23,●●●,113,●●●,310,●●●,310,●●●,,●●●,,●●●,●●■,●●●,●●●,,●●●
,24,●●●,109,●●●,312,●●・,312,●●●,●●●,●●●,●●●,●●●,●●●,●●●,暈■●,●●●,●二●
,25,●●●,149,●●●,323,●●●,323,●●●,●■●,●●●,●●■,●●●,●●●,,●●●,●●・,●●●
,26,,169,●●●,323,●●●,323,●●●,●●●,●●●,・●・,●●●,●●●,●●●,●●●,●●●,●●●
,27,●●●,218,昜●●,326,●●●,326,●●●,●●●,●●●,●●●,●●●,,,●●●,,●・●
,28,●●●,284,●●●,343,●●●,343,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,吻●■
,29,●●●,293,●●●,339,●●●,339,●■●,●●●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,30,■●●,177,,374,●●●,374,■●●,●●●,●●●,●●●,●●●,,●●●,,●●●,盞●・
,31,●●●,●争●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,●●●,
,32,●●●,●●●,●●●,,●●●,二●●,・●●,二●●,●●●,●●●,,●●●,●●●,●●●,●●●,●●●
,33,●●●,●●・,,●●●,●●●,●●●,,●●●,●●●,●・●,●●●,●●二,,●●●,●●●,
,34,●●●,●●●,●●●,●●●,●●●,●●●,・●●,●●争,牽●●,●●●,●●●,●●●,●●●,●●●,,●●●
,35,●●慟,ｉ●矗,・●●,・●●,,,●φ●,,●●●,●●●,●●●,●●●,,●●矗,●●●,凾●●
