,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,乳用牛,,肉　用　牛,,馬,,豚,,山　羊,,め　ん　羊,,に　わ　と　り,,ブロイラー,,家　　兎,
,,"農家
数",頭　数,"農家
数",頭数,"農家
数",頭数,"農家
数",頭　数,"農家
数",頭数,"農家
数",頭数,"農家
　数",羽　数,"農家
数",羽　数,"農家
数",頭　数
,昭和24,43,132,２,３,721,968,146,555,80,127,21,37,"1,396","7,119",●●●,,441,948
,25,46,140,,＊,470,669,55,564,48,89,30,73,239,"2,915",●●●,,355,"3,850"
,26,64,153,,＊,452,708,56,804,59,80,108,182,252,"10,143",●●●,●●●,58,154
,27,66,155,,＊,451,706,79,"1,294",46,57,129,198,265,"8,360",●■●,,32,116
,28,82,189,,＊,436,754,54,790,48,57,146,248,288,"5,930",ｌ●●,●●●,31,124
,29,123,273,,＊,451,678,72,989,34,40,176,312,219,"5,921",●●●,●●●,24,109
,30,123,246,●●暮,12,443,705,63,895,34,68,187,312,215,"5,791",●●●,●●●,●●●,●●●
,31,137,297,,●●●,438,646,66,783,21,30,159,279,166,"6,332",●●●,●●●,●●●,●●●
,32,168,367,・●・,●●二,417,621,76,680,25,32,230,355,209,"6,512",●●●,●●●,●Ｉ●,●●暮
,33,194,463,・二●,●●●,413,644,78,791,22,25,234,389,251,"11,706",●●●,●●●,31,92
,34,217,528,●●●,●●●,418,535,78,720,23,31,188,267,190,"8,378",●●●,●二●,11,28
,35,186,506,●●●,12,398,511,79,693,19,25,162,214,193,"9,662",●●●,●●●,●●●,●●●
,36,196,508,●暑●,ｎ,373,566,102,"1,107",●●●,●・●,115,157,148,"10,374",●●●,●●●,●・●,●●昜
,37,191,525,嘯●●,８,364,533,95,885,●●二,●●●,108,153,166,"8,715",●●●,●●●,●●●,●●４
,38,178,564,,２,337,452,99,"1,192",●●●,●●●,79,102,183,"10,366",●●●,●●●,●●●,●●●
,39,●●蕃,●●●,,●嗇●,●●●,,,●●●,●●●,●・●,●●●,・●●,●●●,曾●●,卜●・,,,●●●
,40,182,659,,●●●,317,440,102,"1,809",●二争,,,●●●,190,"14,514",●●●,400,●嘉●,●●●
,41,161,597,●●・,,271,312,99,"1,472",●●●,●●●,・●癨,,162,"17,966",●●●,,,
,42,217,"1,128",24,60,350,427,108,"1,623",,●●●,22,24,200,"22,541",●●●,●●●,●●●,●●●
,43,203,口91,31,92,311,371,98,"1,470",啝●●,●●●,24,28,146,"23,374",●●●,●●●,●●●,
,44,185,"1,318",32,99,304,330,95,"1,641",●●●,・●●,７,７,107,"30,173",●●●,●●ｉ,・●●,・●●
,45,198,"1,556",30,126,270,294,71,"1,827",●●盞,●●●,５,５,86,"31,689",●●●,●●・,・●●,・●●
,46,190,"1,603",25,86,232,241,69,"1,998",●●●,●●●,１,１,69,"40,238",２,"5,100",・●●,●●●
,47,185,"1,533",22,54,203,211,55,"1,594",●●●,●●●,１,１,37,"28,378",３,"24,000",●●●,●●●
,48,167,"1,430",14,49,160,167,49,"1,550",●●●,●●●,１,１,39,"30,510",３,"38,000",●●争,●●二
,49,187,"2,009",16,62,221,228,68,"5,788",●●●,●●●,４,16,68,"54,750",５,38.600,●●●,●●●
,50,160,"1,976",13,106,186,197,55,"6,475",●●●,●二●,●●●,●●●,35,"40,923",５,"51,500",●●●,●●争
,51,147,"1,722",13,120,161,167,53,"4,298",●●●,,●●●,●●●,26,"22,142",,,●●●,
,52,133,"1,649",20,118,129,136,53,"4,176",●●■,●●●,,●●●,22,"23,859",●●●,●●●,●●●,●●●
,53,122,"1,591",18,167,109,120,52,"4,406",●●●,●●●,●●●,●●●,21,"24,806",●●●,●●●,●■■,●●●
,54,111,"1,550",16,135,101,122,49,"4,014",,,●●・,●●●,17,"20,779",●●●,●●●,●●●,・●●
,55,98,"1,481",24,136,82,97,43,"3,892",●●●,●●●,●●●,●●●,11,"16,655",●●●,●●●,●●●,●●●
