,[内国航路],,,,,,,,,[外国航路],,,,,
,日　本　形　帆　船,,,汽　　　　　船,,帆　　　　船,,補　助　帆　船,,汽　　　　船,,帆　　　　船,,補　助　帆　船,
,船　　　　数,,石　　数,,,,,,,,,,,,
,"500石
以上Ａ","500石未
満　Ｂ",A+Bの計,船　数,‰　数,船　数,り数,船　数,‰数,船　数,り数,船　数,｀ッ数,船　数,‰数
明治26,341,"1,178","407,180","3,217","1,089,120",273,"22,575",-,-,３,"5,148",65,"13,055",-,-
27,152,979,"247,322","3,101","820,104",276,"24,303",-,-,17,"22,821",75,"10,970",-,-
28,52,"1,330","237,900","4,267","757,807",340,"12,205",-,-,12,"11,693",50,"12,615",-,-
29,１，,300,"227,500","4,562","1,240,078",285,"19,810",-,-,27,"21,897",60,"7,790",-,-
30,52,"1,983","288,838","5,103","1,623,742",179,"10,483",-,-,16,"19,157",26,"6,423",-,-
31,１，,)85,"187,343","5,157","1,753,639",317,"30,455",-,-,36,"25,454",33,"5,595",-,-
32,,328,"134,141","4,347","1,893,908",442,●●●,-,-,105,"68,640",101,"12,654",-,-
33,１，,348,"178,713","4,249","1,884,976",606,●●●,-,-,143,"80,098",181,25.403,-,-
34,2，,206,"207,978","4,445","2,384,175",596,"62,432",-,-,1n,"73,505",125,"16,529",-,-
35,●●●,,●●●,"4,529","2,079,389",,●●●,-,-,128,"91,083",158,"36,593",-,-
36,二●●,"2,037","291,141","5,025","2,213,758","1,906","213,596",-,-,148,"129,358",129,"24,620",-,-
37,昏●●,●●●,,"4,206","1,185,341",●■●,●●●,-,-,23,"36,144",20,"10,072",-,-
38,●●●,,,"5,420","1,631,805",,●●●,-,-,23,"45,358",13,"3,290",-,-
39,●二●,,,"5,590","2,544,090",●●●,●啝●,-,-,93,"107,984",67,"12,245",-,-
40,●●●,●●●,●●●,"5,604","2,393,368",●●●,●●●,-,-,118,"99,245",139,"20,360",-,-
41,●●●,●●●,●●●,"5,729","2,449,305",●●●,●●●,ー,-,119,"111,790",113,"14,898",一,-
42,●●●,●●●,●●●,"5,568","2,315,632",●●●,●●●,-,-,130,"104,922",128,"19,749",-,-
43,,●●●,●●●,"5,884","2,586,086",●●■,■●血,-,-,168,"158,480",118,"15,658",-,-
44,１，,346,"17.616""","5,752","3,444,572",205,"19,416",-,-,172,"139,307",116,"14,932",-,-
大正１,,344,"5,414""","5,505","2,759,745",53,"6,822",-,-,180,"165,039",137,"17,860",-,-
２,,373,"5,764'","5,989","2,544,699",17,"1,808",-,-,169,"167,222",117,"15,544",-,-
３,●●●,僵●●,●Ｉ●,"5,812","2,569,444",146,"19,927",-,-,167,"181,461",115,"15,307",-,-
４,,●●●,●●●,"5,749","2,552,951",107,"13,949",-,-,158,"158,238",108,"13,827",-,-
５,,●●暮,●●●,"5,772","2,176,056",138,"21,398",-,-,215,"211,227",125,"15,837",-,-
６,●●●,●●●,●●●,"5,819","2,273,370",143,"18,380",-,-,169,"148,287",131,"16,341",-,-
７,●●●,●●●,●●●,"5,689","1,958,056","2,400","71,148",-,-,257,"189,916",130,"17,579",-,-
８,●●●,●●●,●・●,"6,634","2,563,092","2,317","77,292",-,-,288,"200,993",106,"14,552",-,-
９,●●●,,●●●,"5,688","2,614,190","2,131","69,013",-,-,336,"233,983",105,"14,171",-,-
10,●●●,●●二,●●・,"5,078","2,476,503","1,636","79,764",-,-,272,"192,872",88,"12,058",-,-
11,●●●,・●●,●●●,"5,299","2,622,221","2,116","76,401",-,-,379,"305,575",102,"14,797",-,-
12,●●●,,,"5,657","2,620,869","3,452","88,177",-,-,342,"307,407",74,"12,624",-,-
13,●●●,二●・,●●●,"6,565","3,442,315","4,785","88,705",-,-,307,"223,697",27,"4,650",-,-
14,●●●,●●●,●●襴,"6,290","3,603,162","8,748","140,002",-,-,3n,"265,400",47,"7,633",-,-
昭和１,●●●,●●●,●●●,"8,276","4,426,941",74,"9,778","11,330","127,236",341,"376,762",14,"2,409",22,"4,106"
２,●●●,●●●,●●●,"9,175","4,542,371",50,"6,319","11,618","94,312",352,"414,821",５,704,19,"3,412"
３,ｉ●●,●●●,,"9,773","4,385,256",９,"1,067","13,377","104,882",380,"542,172",２,261,９,"2,057"
４,-,89,946,"7,807","4,588,915",９,"1,228","19,145","176,286",455,"694,099",-,-,22,"3,218"
５,-,24,260,"8,888","4,696,783",20,"1,823","49,749","396,343",477,"888,073",-,-,10,"1,097"
６,-,23,168,"7,487","4,328,319",３,251,"50,074","413,520",341,"635,669",１,336,９,"1,890"
７,-,30,260,"7,516","4,414,202",７,741,"46,382","385,734",285,"583,920",-,-,３,709
８,-,12,96,"7,481","4,645,230",11,"1,460","42,016","362,614",202,"409,215",-,-,２,684
９,-,-,-,"7,966","4,845,554",11,"1,075","41,612","348,863",255,"603,429",-,-,２,684
10,-,-,-,"7,903","4,843,727",13,"1,456","32,269","266,360",268,"165,265",-,-,４,"1,036"
11,-,-,-,"7,745","5,158,858",７,797,"31,973","273,851",260,"591,656",-,-,２,684
12,-,-,-,"8,110","5,138,590",６,675,"31,890","307,540",257,"648,936",-,-,１,342
13,-,-,-,"7,491","4,999,077",４,570,"41,224","432,199",218,"689,261",-,-,-,-
14,-,-,-,"7,907","5,553,322",８,854,"32,682","355,285",202,"695,605",-,-,１,78
15,-,-,-,"6,746","5,190,298",４,400,"28,860","337,905",148,"323,211",-,-,-,-
