,合　　　計,,汽　　　　　　　　　　　　　　　船,,,,,,,,,,,,汽　　　　　　　　　　　　　　　船,,,,,,,,,,,,,
,,,小　　計,,日　　　本,,イギリス,,ド　イ　ツ,,フランス,,デンマーク,,ノルウェー,,ロシア→USSR,,米　　　国,,支那→中国,,オランダ,,関　東　州,,そ　の　他,
,放数,｀ッ数,艘数,｀ｯ数,放数,ﾄｯ数,艘数,ﾄｯ数,艘数,り数,艘数,り数,艘数,り数,般数,ﾄｯ数,艘数,トッ数,艘数,ﾄﾞｯ数,艘数,｀ッ数,艘数,ﾄｯ数,艘数,り数,艘数,｀ｯ数
明治10,26,"8,990",８,"3,523",-,-,８,"3,523",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,30,"10,147",10,"4,095",１,104,７,"3,504",-,-,１,10,-,-,-,-,-,-,１,477,-,-,-,-,-,-,-,-
12,15,"5,114",５,2.587,-,-,３,"1,416",-,-,-,-,-,-,-,-,-,-,２,"1,171",-,-,-,-,-,-,-,一
13,25,"9,693",11,"4,634",１,414,８,3.260,-,-,-,-,-,-,-,-,２,960,-,-,-,-,-,-,-,-,-,-
14,23,"9,932",10,"6,154",１,723,８,"4,980",-,-,-,-,-,-,-,-,１,451,-,-,-,-,-,-,-,-,-,-
15,17,"6,802",７,"3,976",-,-,４,"3,022",-,-,-,-,-,-,-,-,３,954,-,-,-,-,-,-,-,ー,-,-
16,18,"5,650",４,"1,605",-,-,２,808,１,671,-,-,-,-,-,-,１,126,-,-,-,-,-,-,-,-,-,-
17,８,"3,844",４,"1,618",-,-,２,808,-,-,-,-,-,-,-,-,２,810,-,-,-,-,-,-,-,-,-,-
18,14,"5,797",５,"2,584",-,-,１,404,２,776,-,-,-,-,-,-,２,"1,404",-,-,-,-,-,-,-,-,-,一
19,17,6.977,７,"4,892",-,-,１,"1,236",３,"1,498",-,一,-,-,-,-,２,"1,404",-,-,１,754,-,-,-,-,-,-
20,20,"16,100",14,"14,352",１,433,８,"9,554",１,555,-,-,-,-,１,"1,367",-,-,-,-,３,"2,443",-,-,-,-,-,-
21,14,"7,277",８,"6,442",１,692,１,"1,121",１,555,-,-,-,-,-,-,-,-,-,-,５,"4,074",-,-,-,-,-,-
22,16,"10,764",５,"4,392",１,591,２,"2,579",１,387,-,-,-,-,-,-,-,-,-,-,１,835,-,-,-,-,-,-
23,16,"11,912",８,"8,399",１,465,７,"7,934",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,13,"6,643",４,"3,652",-,-,２,"2,878",２,774,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-
25，,19,"9,365",７,"5,582",１,666,４,"4,142",２,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,57,"11,010",５,"3,516",１,198,２,"2,968",-,-,-,-,-,-,-,-,-,-,１,56,-,-,-,-,-,-,１,294
27,84,"25,351",11,"13,036",-,-,７,"9,196",４,"3,840",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,70,"20,245",11,"10,991",１,230,６,"7,118",-,-,-,-,-,-,２,"2,697",１,276,-,-,-,-,-,-,-,-,-,-
29,84,"27,313",21,"16,862",８,"6,736",４,"6,284",１,670,-,-,-,-,３,"2,186",６,"1,656",-,-,-,-,-,-,-,-,-,-
30,74,"25,368",26,"17,624",21,"11,845",２,"3,221",３,"2,558",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,59,"28,639",35,"23,775",27,15.927,５,"6,490",-,-,-,-,-,-,２,"1,082",１,276,-,-,-,-,-,-,-,-,-,-
32,206,"81,294",105,"68,640",83,"46,038",14,"17,493",５,"4,249",-,-,-,-,１,542,２,318,-,-,-,-,-,-,-,-,-,-
33,262,"92,902",122,"72,608",106,54.958,８,"10,577",１,"1,694",-,-,-,-,-,-,２,812,-,-,-,-,-,-,-,-,５,"4,567"
34,236,"90,034",n1,"73,505",89,"43,208",12,"18,954",-,-,-,-,-,-,１,"2,419",７,"4,096",-,-,-,-,-,-,-,-,２,"4,828"
35,262,"109,252",128,"91,083",95,"50,393",12,"20,542",-,-,-,-,-,-,２,"3,268",17,"14,206",-,-,-,-,-,-,-,-,-,-
36,277,"153,978",149,"129,686",119,"76,383",20,"41,588",-,-,-,-,４,"6,483",-,-,５,"2,790",-,-,-,-,-,-,-,-,１,"2,442"
