,乗　込,上　陸
明治41,"66,180","81,585"
42,"90,958","87,705"
43,"116,912","117,965"
44,"63,580","59,770"
大正１,"63,392","55,668"
２,"148,752","157,021"
３,"66,740","68,593"
４,"74,507","76,364"
５,"73,574","67,966"
６,"447,858","407,096"
７,"97,165","88,483"
８,"349,934","375,238"
９,"349,041","333,417"
10,"315,478","277,599"
11,"318,733","301,149"
12,"340,096","330,781"
13,"358,887","342,821"
14,"379,052","373,812"
昭和１,"377,651","374,286"
２,"133,952","131,220"
３,"415,241","412,373"
４,"413,627","412,500"
５,"404,374","396,689"
６,"346,618","340,508"
７,"329,760","308,838"
８,"355,157","334,123"
９,"395,755","417,029"
10,"413,117","422,984"
11,"460,586","443,08C"
12,"510,621","488,576"
13,"565,039","553,478"
14,"750,945","757,798"
15,"907,845","918,619"
16,"927,732","902,550"
17,"905,134","888,360"
18,"1,067,163","1,030,726"
19,"972,709","981,625"
昭和20,"655,433","777,688"
21,"791,818","886,733"
22,"951,736","932,093"
23,"1,034,295","1,031,293"
24,"866,739","890,966"
25,"871,074","894,909"
26,"871,754","901,265"
27,"973,786","993,864"
28,"1,076,665","1,081,161"
29,"1,186,467","1,188,118"
30,"1,092,873","1,105,356"
31,"1,156,018","1,179,885"
32,"1,169,373","1,197,997"
33,"1,292,114","1,312,187"
34,"1,343,754","1,357,094"
35,"1,457,888","1,455,899"
36,"1,590,381","1,573,668"
37,"1,671,907","1,664,178"
38,"1,813,271","1,783,647"
39,"1,974,175","1,945,425"
40,"1,950,185","1,913,018"
41,"2,193,333","2,145,746"
42,"2,211,307","2,145,730"
43,"2,346,106","2,272,340"
44,"2,389,467","2,310,751"
45,"2,418,996","2,319,559"
46,"2,478,501","2,431,719"
47,"2,455,615","2,415,625"
48,"2,530,217","2,503,181"
49,"2,442,728","2,438,929"
50,"2,199,267","2,215,941"
51,"2,002,270","1,996,146"
52,"1,571,562","1,572,278"
53,"1,523,915","1,679,581"
54,"1,392,775","1,403,179"
55,"1,381,930","1,398,869"
