,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,l丶３,,人　　　　　　　　　　　　　　　員,,,貨　　　　　　　　　　　　　　　　物,,,,,
,,,,,,,,,,,晦
,,,計,乗　　　客,降　　　客,発　　　　　　　　　　送,,到　　　　　　　　　　着,,入　　　　ＸＩ,
,,,,,,,,,,,淋
,,,,,,上　　　　り,下　　　　り,上　　　　り,下　　　　り,口　　　　卩Ｉ,
,,,,,,,,,,,幤
,,明治37,"人
177,653","人
89.583","人
88,070",14，,"t
L20",28，,"t
226","t
42.346",
,,,,,,,,,,,藹
,,38,183.480,"94,324","89,156",14，,392,46，,389,"61,281",
,,39,"232,078","115,398","116,680",20，,123,56，,332,"77,255",
,,40,"269,201","143,658","125,543",18，,315,50，,280,"69,095",
,,41,"303,314","177,150","126,164",40，,290,66，,351,"106,641",
,,42,"288,092","161,448","126,644",43，,373,86，,245,"130,118",
,,43,266ぶ6,"133,304","132,812",69，,361,"112,",105,"182,266",
,,44,"359,414","175,842","183,572",74，,396,"105,",306,"180,202",
,,大正元,"265,182","129,651","135,531",31，,〕72,95，,L66,"126,238",
,,２,"431,796","210,710","221,086",87，,378,"164,",〕98,"251,976",
,,３,"318,681","159,897","158,784",35，,L36,130.,208,"165,344",
,,４,"381,399","195,237","186,162",34，,530,"147,",338,"182,168",
,,５,"598,917","302,533","296,384","126,",366,"343,",L65,"470,131",
,,６,"901,797","476,500","425,297","169,",228,"289,",r96,459.024,
,,７,"997,306","509,069","488,237","144,",m,"251,",255,"395,966",
,,８,"1,029,725","525,259","504,466",87，,350,"232,",376,"320,226",
,,９,"1,205,878","605,736","600,142",71，,)63,272，,355,"343,718",
,,10,"959,275","486,457","472,818",65，,502,"322,",344,"388,146",
,,11,"1,284,879","646,644","638,235",98，,371,"335,",396,"433,767",
,,12,"1,433,741","728,435","705,306",76，,599,433，,309,"509,908",
,,13,"1,492,784","751,927","740,857",63，,160,"437,",)78,"501,∠138",
,,14,"1,576,604","789,916","786,688","91,286","68,431","47,542","353,980","561,239",
,,昭和元,"1,371,386","693,683","677,703","110,643","65,640","47,699","301,487","525,469",
,,２,"1,442,483","734,598","707,885","107,265","73,142","66,264","429,558","676,229",
,,３,"1.654,836","839,041","815,795","107,849","78,868","71,565","425,076","683,358",
,,４,"1,762,154","896,421","865,733","103,221","79,868","81,731","426,338",691.158,
,,５,"1,766,057","896,834","869,223","104,743","86,444","86,723","383,177","661,087",
,,６,"2,242,245","1,122,454","1,119,791",,,,,,
,,７,"2,476,642","1,243,102","1,233,540",,,●●●,,●●●,
,,８,"2,713,532","1,362,265","1,351,267",,,嘯●●,●●●,,
,,９,"2,620,719","1,330.374","1,290,345",●●●,,●■・,●●●,,
,,10,"2,405,417","1,230,568","1,174,849",,,●●曾,,,
,,11,"2,754,683","1,390,516","1,364,167",,・■■,●●●,●●●,二■●,
,,12,"2.784,672","1,402,965","1,381,707",,・■●,,●Ｉ●,,
,,13,"2,826,168","1,423,216","1,402,952",,,●●●,●●●,,
,,14,"2,580,610","1,303,243","1,277,367",●●●,●●●,●●●,,,
,,15,"4,339,973","2,205,382","2,134,591",・■●,,●●●,,,
