,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,応,,,,,,,,,,,,,,
,,,総　　計,発,,,,,着,,,,,４匕d2－φゐX目,
,,,,,,,,,,,,,,,縢
,,,,計,札　幌,東　京,その他,貨　物,計,札　幌,東　京,その他,貨　物,夕吸１気ﾉ弔ｖEil-,囀
,,,,,,,,,,,,,,,
,,昭和36,"人
45,432","人
23,432","人
20,339","人
3,093","人




●●●","kg




●●●","人
22,000","人
19,853","人
2,147","人





●●●","kg




●●●","kg
21,706",幤
,,,,,,,,,,,,,,,諭
,,37,"74,674","38,072","31,330","6,742",●●●,,"36,602","30,516","6,086",●●●,●●●,"196,585",
,,38,"87,272","44,293","30,524","13,769",●●●,●●●,"42,979","29,504","13,475",●●●,●●●,"105,648",
,,39,"85,584","43,307","22,616","20,691",，●●,●●●,"42,277","22,000","20,277",●●●,●●●,"175,569",
,,40,"93,063","46,355","21,465","24,317",573,"47,698","46,708","21,812","24,398",498,"207,900","255,598",
,,41,"85,237","42,300","17,355","24,945",●●●,"63,116","42,937","17,763","25,174",●●●,"314,049","377,165",
,,42,"83,589","41,421","19,334","22,087",●●●,"114,382","42,168","19,683","22,485",●●●,"318,075","432,457",
,,43,"121,394","60,261","20,980","38,117","1,164","140,215","61,133","21,472","38,207","1,454","434,204","574,419",
,,44,"171,147","84,856","29,828","51,845","3,183","258,509","86,291","30,142","52,707","3,442","514,788","773,297",
,,45,"226,135","111,550","39,732","68,202","3,616","338,854","114,585","41,750","69,268","3,567","514,961","853,815",
,,46,"200,542","98,388","31,534","64,310","2,544","416,305","102,154","32,730","66,710","2,714","520,821","937,126",
,,47,"351,748","176,046","50,901","121,945","3,200","655,382","175,702","50,596","121,197","3,909","1,030,895","1,686,277",
,,48,"487,115","241,687","76,490","165,068",129,"822,290","245,428","77,874","167,424",130,"1,585,460","2,407,750",
,,49,"554,366","276,171","92,139","183,902",130,"913,539","278,195","92,796","185,250",149,"1,265,030","2,178,569",
,,50,"501,286","249,276","65,719","181,760","1,797","1,129,349","252,010","63,127","187,252","1,631","1,379,022","2,508,371",
,,51,"582,678","288,360","79,014","206,812","2,534","1,142,000","294,318","76,573","214,963","2,782","1,542,000","2,684,000",
,,52,"693,590","347,459","104,260","228,357","14,842","1,304,000","346,131","103,409","227,872","14,850","1,554,000","2,858,000",
,,53,"792,947","395,312","115,750","248,949","30,613","2,056,000","397,635","109,697","257,517","30,421","2,137,000","4,193,000",
,,54,"946,836","472,984","124,974","312,908","35,102","2,824,000","473,852","120,340","320,448","33,064","2,739,000","5,563,000",
,,55,"990,090","497,060","118,484","330,808","47,768","3,859,000","493,030","110,821","333,334","48,875","3,563,000","7,422,000",
