,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"在　籍
車両数","実走行
距　　離","運　　転
回　　数",乗　　車　　人　　員,,,一　　　日　　　平　　　均,,,,,｀g7　　　を八　　　lh　　　・,,,
,,,,,,,,実走行,運　　転,乗　　車　　人　　員,,,J￣↑￣　　　f閊　　　゛･へ　　　／丶,,,備　　　　考
,,,,,計,定　　期,定期外,距　　離,回　　数,計,定　　期,定期外,計,定　　　期,定　期　外,
,,,千㎞,千回,千人,千人,千人,kln,回,人,人,人,万円,万円,万円,
,昭和22,70,"1,693",149,"34,072","9,149","24,923","4,626",406,"93,094","24,999","68,095",,,,料金改正
,23,63,"1,993",176,"32,923","10,271","22,651","5,460",482,"90,199","28,141","62,058",●嚶二,●●・,●●●,料金改正
,24,61,"2,276",201,"31,286","12,444","18,842","6,235",551,"85,716","34,094","51,622",,●●・,,料金改正
,25,66,"2,410",204,"30,025","12,932","17,093","6,604",560,"82,259","35,429","46,830",,,,料金改正
,26,66,"2,484",202,"33,449","15,340","18,109","6,788",553,"91,392","41,912","49,479",●●●,●●●,,
,27,66,"2,476",200,"33,003","15,354","17,649","6,784",547,"90,420","42,066",48.354,"5,421","1,200","4,222",料金改正
,28,66,"2,488",194,"33,852","15,620","18,232","6,817",532,"92,744","42,794","49,950","28,220","8,n1","20,109",料金改正
,29,66,"2,489",192,"35,118","15,783","19,336","6,818",527,"96,214","43,240","52,974","32,282","9,090",23.192,
,30,66,"2,749",207,"37,932","18,179","19,753","7,510",566,"103,641","49,671","53,970","34,071","10,491","23,580",
,31,61,"2,825",212,"40,543","19,993","20,550","7,739",582,"111,076","54,774","56,302","36,039","11,595","24,444",
,32,66,"2,861",215,"41,614","20,700","20,913","7,838",590,"114,010","56,713","57,297","36,842","12,001","24,841",
,33,66,2.963,223,"42,700","21,395","21,306","8,117",6n,"116,987","58,616","58,371","37,714","12,413","25,301",
,34,65,"3,122",233,"44,179","23,084","21,095","8,529",636,"120,707","63,072","57,635","38,374","13,357","25,016",
,35,71,"3,183",233,"44,941","23,571","21,370","8,722",639,"123,125","64,578","58,547","38,992","13,714","25,278",
,36,71,"3,227",237,"44,334","24,055","20,279","8,840",648,"121,462","65,904","55,558","44,224","16,709","27,515",料金改正
,37,78,"3,301",241,"45,339","24,975","20,364","9,042",661,"124,215","68,425","55,790","48,730","19,240","29,490",
,38,77,"3,296",239,"47,934","26,447","21,487","9,005",652,"130,966","72,259","58,707","51,294","20,176","31,118",
,39,79,"3,340",237,"49,344","27,075","22,268","9,149",650,"135,188","74,179","61,009","52,978","20,717","32,261",
,40,79,"3,336",238,"46,910","26,293","20,617","9,140",652,"128,520","72,036","56,484","62,302","26,009","36,293",料金改正
,41,81,"3,273",219,"45,295","25,283","20,012","8,968",595,"124,097","69,268","54,829","67,839","29,265","38,574",
,42,81,"3,177",207,"45,184","23,263","21,920","8,679",567,"123,452","63,561","59,891","68,948","26,606","42,342",
,43,81,"3,158",199,"43,384","22,652","20,732","8,651",545,"118,860","62,060","56,800","66,120","25,965","40,155",
,44,81,"3,157",199,"40,278","20,400","19,879","8,649",544,"110,351","55,889","54,462","69,521","27,229","42,291",料金改正
,45,84,"3,136",197,"36,759","18,033","18,726","8,593",540,"100,709","49,405","51,304","74,835","29,611","45,224",
,46,75,"3,098",195,"34,029","16,071","17,958","8,464",533,"92,976","43,911","49,065","70,581","27,203","43,378",
,47,75,"2,973",187,"32,412","14,901","17,511","8,146",512,"88,799","40,824","47,975","71,802","26,094","45,708",
,48,58,"2,693",172,"28,116","13,284","14,832","7,377",472,"77,030","36,395","40,635","90,533","34,313","56,220",料金改正
,49,58,"2,479",156,"26,567","11,822","14,745","6,793",426,"72,787","32,390","40,397","88,176","32,303","55,873",
,50,58,"2,352",147,"24,633","10,616","14,017","6,427",403,"67,302","29,004","38,298","99,289","34,478","64,811",料金改正
,51,58,"2,347",146,"22,055","9,260","12,796","6,431",400,"60,426","25,369","35,057","129,396","44,364","85,032",
,52,58,"2,335",144,"20,292","8,099","12,193","6,398",393,"55,595","22,190","33,405","152,988","∠19,436","103,552",料金改正
,53,54,"2,150",132,"18,088","6,833","11,254","5,889",361,"49,555","18,721","30,834","142,557","43,751","98,806",料金改正
,54,54,"1,922",117,"16,244","5,841","10,403","5,251",321,"44,383","15,959","28,424","143,606","41,764","101,841",
,55,54,"1,863",n4,"15,414","5,252","10,162","5,104",312,"42,231","14,389","27,842","146,704","39,716","106,988",料金改正
