,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,営業日数,営業距離,車輛数,土に口にS,,弖疂古１禹,,4亠r盍りｈ・,｢ｈ７１６丶・亠,ら凵』祕丶ぷ１,１日平均（昭和33年までは１車１日平均）,,,,,
,,,,,J ffc二円哄,.貸　切,・ヽ-八-ヽ,貸　切,μ|丶W゛ﾚ心／丶,Ｓ人／丶ylllべ卩｜,入kXXIllCか卩ｌ,輸送人員,走行㎞,収　入,支　出,益　金,
,昭和19,●●●,"㎞




●･●",54,"千k･




　●●●","千km




　●●●",千人,"千人




　●●●",万円,"万円
　48",万円,人,"㎞




●●●","円




●●●",円,円,
,20,,●●●,52,,●●●,●●Ｉ,,●●●,81,,,,,Ｉ●●,●●●,
,21,,●・●,43,●●●,●●・,,,,306,,●●●,●●●,●●●,●●●,●●●,
,22,●●●,●●●,51,,,,●●●,,"1,254",,●●●,●●●,●曾●,,●●●,
,23,,,66,●曾●,,,,,"4,795",,,,●●●,,,
,24,364,●・●,56,"1,183",,"1,486",,"6,878","7,585","7,408",,,,,●●●,
,25,365,,72,"1,600",,"2,252",●●●,"9,257","9,893","9,623",,●●●,●●・,,,
,26,366,663,85,"2,000",,"2,785",,"14,125","14,879","13,962",86,62,"4,607","4,323",284,
,27,365,730,90,"2,231",●笋●,"3,232",●●●,"16,034","16,641","15,896",107,71,"5,521","5,274",247,
,28,365,741,97,"2,592",,"4,017",209,"19,642","20,318","19,612",132,85,"6,685",6.453,232,
,29,361,771,99,"2,342",,"3,801",260,"19,800","20,307","19,696",106,66,"5,681",5.512,169,
,30,356,776,97,"2,279",100,"3,720",118,"16,256","16,788","17,998",165,101,"7,449","7,986",△537,
,31,365,659,91,"2,500",147,"4,297",171,"17,884","18,394","18,545",128,74,"5,460","5,505",△45,
,32,365,662,95,"2,598",165,"5,185",180,"20,877","21,019","20,992",148,74,"6,003","5,995",８,
,33,364,661,100,"2,982",262,"5,941",349,"24,234","24,367","24,365",212,108,"8,822","8,821",１,
,34,366,677,112,"3,314",314,"6,738",362,"28,512","28,912","28,898","18,410","9,054","780,183",,,
,35,365,723,114,"3,736",329,"7,511",352,"32,501","32,573","30,658","20,576","10,235","892,412",,,
,36,364,716,139,"4,568",439,"9,698",446,"41,307","41,386","39,067","26,642","12,550","1,136,969",●●●,,
,37,364,892,140,"4,814",459,"10,899",484,"47,578","47,675","45,264","29,943","13,225","1,309,745",●Ｉ●,●丱●,
,38,365,787,152,"5,106",419,"12,290",504,"55,721","55,882","52,185","33,672","13,989","1,532,917",●●●,ｆφ●,
,39,364,828,157,"5,381",464,"13,417",597,"61,055","61,372","59,744","36,860","14,783","1,686,052",,●●●,
,40,362,844,148,"5,338",513,"14,318",597,"68,439","68,664","65,951","39,551","14,626","1,881,198",●●●,,
,41,364,862,162,"5,874",608,"14,956",624,"82,102","82,328","78,890","41,088","16,138","2.261,759",,●●●,
,42,365,936,175,"6,446",703,"16,336",602,"94,535","94,779","91,221","44,754","17,661","2,596,672",●●●,●●●,
,43,362,940,173,"6,176",610,16.387,450,"91,890","92,195","92,789","44,896","16,919","2,525,884",,●●●,
,44,359,935,164,"5,956",520,"17,071",423,"97,022","97,440","97,607","47,551","16,590","2,714,200",●●●,●●●,
,45,364,935,168,"6,537",588,"17,921",379,"114,097","114,592","120,986","49,233","17,958","3,148,119",,●●●,
,46,363,937,168,"7,360",747,"18,294",437,"121,118.","122,446","129,259","50,395","20,274","3,373,161",,,
,47,359,939,166,"7,351",673,"18,711",366,"129,115","129,875","134,518","52,119","20,477","3,617,690",,,
,48,361,940,166,"7,254",529,"17,674",282,"151,510","152,149","153,891","48,958","20,094","4,214,654",●●・,嘯●●,
,49,354,878,165,"7,344",543,"17,654",249,"180,291","181,000","196,312","49,870","20,745","5,112,998",●●●,●■●,
,50,355,876,167,"7,466",510,"17,975",205,"207,820","208,598","214,217","50,633","21,031","5,875,992",,,
,51,363,876,172,"7,681",399,"18,739",205,"233,422","234,370","237,746","51,621","21,158","6,456,475",●●●,,
,52,362,883,172,"7,749",369,"18,770",184,"252,678","253,741","264,312","51,850","21,407","7,009,416",・４●,●●●,
,53,360,886,174,"7,729",296,"18,720",177,"263,444","264,902","272,487","52,001","21,470","7,358,393",●●●,●●●,
,54,363,905,176,"7,988",333,"18,798",191,"283,166","284,795","292,233","51,784","22,006","7,845,593",,●●●,
,55,363,905,184,"8,194",351,"19,200",179,"308,903","310,485","318,122","52,892","22,573","8,553,304",●●●,●●●,｀ｑ
