,,法　　　　　　　人,,,個　　　　　　　人,,,総　　　　　　　数,,
,,"登録
台数","総走行
距　離","乗　車
人　員","登録
台数","総走行
距　離","乗　車
人　員","登録
台数","総走行
距　離","乗　車
人　員"
,昭和45,"台
747","千km
84,968","千人
22,810","台
47","千㎞
2,453","千人
　501","台
794","千km
87,421","千人
23,312"
,46,759,"90,235","24,218",73,"3,359",665,832,"93,594","24,883"
,47,801,"91,548","23,841",73,"3,670",660,874,"95,218","24,501"
,48,801,"90,237","23,491",83,"4,648",774,884,"94,885","24,265"
,49,804,"86,760","21,534",95,"4,725",745,899,"91,485","22,279"
,50,805,"91,032","21,265",95,"4,725",708,900,"95,757","21,973"
,51,805,"93,827","23,101",110,"4,701",726,915,"98,528","23,827"
,52,805,"95,855","22,222",113,"5,440",527,918,"101,295","22,749"
,53,835,"99,679","22,857",116,"5,653",754,951,"105,332","23,611"
,54,835,"103,181","23,311",119,"5,666",717,954,"108,847","24,028"
,55,835,"101,476","22,359",119,"5,475",663,954,"106,951","23,022"
