,,汽　　　船,,帆　　　船,,日　本　形　帆　船,
,,船数,登簿り数,船数,登簿り数,船数,石数
,明治16,１,１,71,"4,186",57,"10,067"
,17,●●●,●●泰,●●●,●●●,●●●,●●●
,18,●●●,●●●,●●●,●●●,●●●,●●●
,19,６,298,60,"4,618",51,"10,934"
,20,８,448,61,"4,610",981,"9,434"
,21,15,"2,598",68,"4,790",53,"10,759"
,22,●●二,●●●,●●●,●●・,●●●,●●●
,23,23,"2,732",73,"5,234",52,"10,213"
,24,●●●,●●●,●●●,,,●●●
,25,26,"3,621",62,"4,569",36,"7,224"
,26,●●●,●●●,●●慟,●●●,●●●,●暴●
,27,35,"5,153",51,"3,955",●●●,■●■
,28,41,"4,938",45,"3,560",44,"9,633"
,29,49,"6,655",54,"4,375",39,"10,518"
,30,59,"7,423",58,"4,762",48,"15,871"
,31,62,"7,558",85,"7,628",38,"10,013"
,32,56,"17,541",83,"8,234",６,"2,745"
,33,46,"13,949",78,"7,414",２,458
,34,54,"20,466",92,"9,865",３,"1,107"
,35,53,"19,915",102,"11,680",３,"1,847"
,36,53,"21,362",99,"11,460",４,"2,889"
,37,57,"21,836",98,"11,474",３,"2,640"
,38,61,"25,705",92,"10,806",●●●,●●●
,39,62,"26,530",90,"10,592",２,"1,598"
,40,67,"26,196",97,"11,245",２,"1,598"
,41,71,"28,899",91,"10,803",１,949
,42,71,"28,502",98,"10,954",２,639
,43,69,"28,209",9∠1,"10,650",１,343
,44,69,"31,749",126,"10,866",２,659
,大正１,76,"35,320",133,"11,993",２,595
,２,92,"31,029",122,"11,910",１,325
,３,89,"32,342",96,"9,746",１,325
,４,96,"30,179",89,"8,995",１,325
,５,105,"31,941",82,"8,192",-,-
,６,166,"42,426",181,"13,623",１,347
,７,190,"66,223",213,"15,434",-,-
,８,175,"59,465",171,"12,211",-,-
,９,142,"53,848",105,"9,415",-,-
,10,139,"51,993",100,"9,051",-,-
,ｎ,144,"55,206",97,"9,092",-,-
,12,146,"55,503",81,"7,471",-,-
,13,150,"47,999",81,"7,935",-,-
,14,154,"45,900",79,"7,717",-,-
