,,日　本　形　船,,,西　　洋　　形　　船,,,
,,船　　　　数,,石　　数,汽　　船,,帆　　船,
,,"500石
以上Ａ","500石未
満　Ｂ",A+Bの計,船　数,リ　数,船　数,り数
,明治２,●●●,●●●,●●●,42,"25,993",88,"26,254"
,３,●●●,●●●,●●●,45,"30,094",56,"17,128"
,４,こ,"●●●
ー",●●・,14,"14,202",38,"10,955"
,５,3，,370,●●■,32,"20,789",78,●●●
,６,3，,300,●●●,27,"40,400",207,●●●
,７,2，,742,●●●,24,"25,665",321,●●●
,８,346,"2,733","725,982",203,"91,780",204,＆慟●
,９,2，,591,●●●,255,"112,545",98,●●●
,10,3，,472,●●●,197,●●●,185,●●●
,ｎ,162,"2,554","523,655",377,●●●,328,●夸●
,12,248,"2,318","569,630",406,●●●,505,●●●
,13,216,"2,207","486,414",448,,623,●●●
,14,206,"1,937","457,454",500,,658,
,15,209,"2,095","446,725",722,●●●,679,●●●
,16,●●●,"2,282","417,873",901,"237,728",604,"38,511"
,17,141,"3,895","364,484","1,227","354,282",504,"31,355"
,18,150,"3,374","345,541","1,452","489,911",520,"39,821"
,19,2，,337,"442,772","1,377","446,954",524,"41,699"
,20,●●●,"2,871","474,000","1,374","469,947",548,"45,073"
,21,2，,584,"426,600","1,690","585,076",529,"44,188"
,22,●●●,"1,738","281,170","2,171","677,130",551,"43,466"
,23,78,"1,563","273,084","2,367","809,319",329,"31,282"
,24,101,"1,666","278,332","2,643","895,652",362,"26,883"
,25,860,981,"264,500","2,824","991,780",252,"19,836"
