,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,帆　　　　　　　　　　　　　　　　　　　　船,,,,,,,,,,,,,,,
,,小　　計,,日　　本,,イギリス,,フランス,,ド　イ　ツ,,ロシア→USSR,,米　　国,,そ　の　他,
,,艘数,｀ｯ数,艘数,り数,艘数,｀ｯ数,艘数,り数,艘数,り数,艘数,｀ｯ数,般数,り数,般数,｀ｯ数
,明治10,18,"5,467",-,-,６,"1,612",-,-,６,"1,748",-,-,４,"1,375",２,732
,ｎ,20,"6,052",-,-,７,"2,433",-,-,３,"1,517",１,38,９,"2,064",-,-
,12,10,"2,527",-,-,５,"1,599",-,-,１,368,１,71,３,489,-,-
,13,14,"5,059",-,-,ｎ,"3,530",-,-,-,-,２,70,１,"1,459",-,-
,14,13,"3,778",-,-,４,"1,436",-,-,４,"1,553",４,405,１,384,-,-
,15,10,"2,826",-,-,６,"1,896",-,-,２,490,-,-,２,440,-,-
,16,14,4.045,１,317,７,"2,295",-,-,-,-,２,354,４,"1,079",-,-
,17,４,"2,226",-,-,２,775,-,-,-,-,-,-,２,"1,451",-,-
,18,９,"3,213",-,-,２,620,-,-,１,140,-,-,５,"2,279",１,174
,19,10,"2,085",-,-,３,869,-,-,-,-,１,68,６,"1,148",-,-
,20,６,"1,748",-,-,３,654,-,-,１,604,-,-,１,49,１,441
,21,６,835,３,199,１,51,-,-,-,-,-,-,２,585,-,-
,22,11,"6,372",２,62,３,"3,459",-,-,１,60,-,-,５,"2,731",１,60
,23,８,"3,513",-,-,３,"2,023",-,-,-,-,-,-,４,"1,416",１,74
,24,９,"2,991",２,87,１,49,-,-,-,-,-,一,６,"2,855",-,-
,25,12,"3,783",５,385,２,"2,595",-,-,-,-,-,-,５,803,-,-
,26,52,"7,494",９,525,15,"2,571",-,-,-,-,-,-,28,"4,398",-,-
,27,73,"12,315",６,378,35,"5,031",-,-,-,-,２,120,30,"6,786",-,-
,28,59,"9,254",13,918,20,"1,793",-,一,-,-,-,,26,"6,543",-,-
,29,63,"10,451",16,"1,114",26,"1,986",-,-,-,-,３,594,18,"6,757",-,-
,30,48,"7,744",28,"1,744",８,551,-,-,１,"2,096",-,-,11,"3,353",-,-
,31,24,"4,864",15,"1,551",-,-,-,-,-,-,２,160,５,"2,185",２,968
,32,101,"12,654",89,"8,021",-,-,-,-,-,-,４,233,８,"4,400",-,-
,33,140,"20,294",121,"11,516",-,-,-,-,１,"1,820",８,626,９,"4,760",１,"1,572"
,34,125,"16,529",108,"11,107",７,469,１,588,-,-,２,88,７,"4,277",-,-
,35,136,"20,843",117,"13,419",６,563,-,-,１,"1,696",３,264,９,"4,901",-,-
,36,128,"24,292",113,"12,737",２,"3,571",１,"1,743",-,-,３,155,８,"4,038",１,"2,048"
,37,20,"10,072",９,"1,012",-,-,２,"3,471",-,-,-,-,９,"5,589",-,-
,38,13,"3,290",11,962,-,-,-,-,-,-,-,-,２,"2,328",-,-
,39,67,"12,245",62,"7,407",-,-,１,"1,724",１,"1,707",-,-,３,"1,407",-,-
,40,139,"20,360",138,"17,373",-,-,-,-,-,-,-,-,１,"2,987",-,-
,41,113,"14,898",112,"14,577",-,-,-,-,-,-,-,-,１,321,-,-
,42,128,"19,749",125,"15,511",-,-,２,"3,917",-,-,-,-,１,321,-,-
,43,118,"15,658",118,"15,658",-,-,-,-,-,-,-,-,-,-,-,-
,44,116,"14,932",115,"14,926",-,-,-,-,-,-,１,６,-,-,-,-
,大正１,137,"17,860",137,"17,860",-,-,-,-,-,-,-,-,-,-,-,-
,２,117,"15,544",117,"15,544",-,-,-,-,-,-,-,-,-,-,-,-
