,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,区　　　　間,車輛総数,ノく　　ス,トラック,乗用車,単　　車,トソ数,乗　　客
,昭和40,函館一大　間,"8,112",127,"3,427","3,449","1,109",,"19,429"
,,函館一青　森,"1,659",-,"1,659",-,-,●●●,-
,,函館一野辺地,-,-,-,-,-,-,-
,,総数,"9,771",127,"5,086","3,449","1,109",●●●,"19,429"
,41,函館一大　間,"22,903",289,"7,157","13,533","1,924",,"48,953"
,,函館一青　森,"3,642",-,"3,642",-,-,４●●,"1,925"
,,函館一野辺地,-,-,-,-,-,-,-
,,総数,"26,545",289,"10,799","13,533","1,924",●●■,"50,878"
,42,函館一大　間,"58,072",480,"19,574","9,356","28,662",・●●,"93,180"
,,函館一青　森,"20,031",105,"13,768","4,692","1,466",,"37,587"
,,函館一野辺地,-,-,-,-,-,-,-
,,総数,"78,103",585,"33,342","14,048","30,128",,"130,767"
,43,函館一大　間,"44,308","1,341","27,252","13,262","2,453",,"164,301"
,,函館一青　森,"45,094",701,"28,361","12,880","3,152",,"96,770"
,,函館一野辺地,-,-,-,-,-,-,-
,,総数,"89,402","2,042","55,613","26,142","5,605",,"261,071"
,44,函館一大　間,"55,367","1,099","34,322","17,056","2,890",,"135,342"
,,函館一青　森,"75,238",770,"50,472","19,966","4,030",●●●,167.421
,,函館一野辺地,"12,911",72,"8,600","3,885",354,●●●,"27,262"
,,総数,"143,516","1,941","93,394","40,907","7,274",■●●,"330,025"
,45,函館一大　間,"77,511","1,270","43,802","27,876","4,563",●・●,254.118
,,函館一青　森,"82,423","1,060","49,643","27,176","4,544",,"191,062"
,,函館一野辺地,"41,940",345,"29,019","11,890",686,●・●,"93,002"
,,総数,"201,874","2,675","122,464","66,942","9,793",●●●,"538,182"
,46,函館一大　間,"84,898","1,610","41,974","36,019","5,295",■●●,"295,421"
,,函館一青　森,"103,678","1,514","59,616","38,073","4,475",齒●●,"239,804"
,,函館一野辺地,"59,565",398,"39,222","18,697","1,248",●●ｆ,"150,884"
,,総数,"248,141","3,522","140,812","92,789","11,018",●●●,"686,109"
,47,函館一大　間,"89,524","1,544","45,705","39,820","2,455",,"309,683"
,,函館一青　森,"167,468","1,858","109,136","51,783","4,691",,"346,848"
,,函館一野辺地,"96,691",471,"72,715","22,243","1,262",二●●,"194,438"
,,総数,"353,683","3,873","227,556","113,846","8,408",Ｓ●●,"850,969"
,48,函館--大　間,"90,642","1,477","42,531","42,406","4,228","2,816,813","301,804"
,,函館一青　森,"251,194","2,048","188,234","55,817","5,095","11,365,381","425,838"
,,函館一野辺地,"145,727",795,"113,042","30,377","1,513","6,871,227","274,008"
,,総数,"487,563","4,320","343,807","128,600","10,836","21,053,421","1,001,650"
,49,函館一大　間,"46,976","1,066","13,233","29,375","3,302","1,100,530","222,877"
,,函館一青　森,"273,210","2,663","206,059","60,044","4,444","12,465,033","465,813"
,,函館一野辺地,"132,817",750,"103,743","26,718","1,606","6,403,749","230,724"
,,総数,"453,003","4,479","323,035","116,137","9,352","19,969,312","919,414"
,50,函館一大　間,"41,748",630,"10,790","27,049","3,279","923,952","157,306"
,,函館一青　森,"306,907","2,747","228,031","71,784","4,345","13,572,541","491,275"
,,函館一野辺地,"126,241",585,"93,576","30,477","1,603","5,754,056","212,952"
,,総数,"474,896","3,962","332,397","129,310","9,227","20.250,549","861,533"
,51,函館一大　間,"37,667",●ｉ●,"8,191","29,476",二●●,"747,537","145,604"
,,函館一青　森,"322,435",●●●,"239,259","83,176",●●●,"15,047,230","518,572"
,,函館一野辺地,"114,434",・４●,"79,886","34,548",●●●,"5,006,111","197,722"
,,総数,"474,536",Ｉ●●,"327,336","147,200",僵●●,"20,800,878","861,898"
,52,函館一大　間,"34,068",●●●,"8,283","25,785",,"725,013","126,712"
,,函館一青　森,"319,916",Ｉ●二,"237,667","82,249",,"15,247,054","497,506"
,,函館一野辺地,"125,420",,97>464,"27,956",,"6,108,329","198,520"
,,総数,"479,404",,"343,414","135,990",●●●,"22,080,396","822,738"
,53,函館一大　間,"34,063",●●●,"7,464","26,599",,"693,478","137,811"
,,函館一青　森,308.174,●●●,"226,095","82,079",●●●,"13,186,307","472,951"
,,函館一野辺地,"139,645",●●●,"104,509","35,136",●●●,"6,732,592","222,992"
,,総数,"481,882",・●●,"338,068","143,814",●●●,"20,612,377","833,754"
,54,函館一大　間,"31,280",,"6,493","24,787",●●●,"617,726","132,665"
,,函館一青　森,"302,829",●●●,"216,956","85,873",●●●,"12,688,478","480,580"
,,函館一野辺地,141.341,,"103,532","37,809",●●●,"6,617,800","229,654"
,,総数,"475,450",,"326,981","1∠48,469",●●・,"19,924,004","842,899"
,55,函館一大　間,"26,470",●Ｉ●,"5,141","21,329",●●●,504.534,"115,991"
,,函館一青　森,260.008,●●●,"183,932","76,076",●●・,"10,562,879","329,651"
,,函館一野辺地,"112,653",●●●,"73,242","39,411",●●●,"4,832,494","200,953"
,,総数,399.131,嵋●●,"262,315","136,816",●●●,"15,899,907","646,595"
