,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,総　数,貨　　物　　自　　動　　車,,,,乗用自動車,,,,大　型,小　型,軽　自　動　車,,
,,,普通車,"小　型
四　輪","小　型
三輪","被　け
ん引車",普通車,小型車,乗合車,特殊車,特殊車,二輪車,四　輪,三　輪,二　輪
,昭和29,"2,925",464,130,765,23,236,119,120,101,14,92,-,２,859
,30,"3,263",500,183,864,35,204,150,128,83,19,n1,-,３,983
,31,"3,996",553,338,97e,40,201,223,136,117,24,125,-,３,"1,261"
,32,4.758,572,528,"1,032",52,197,267,137,140,40,123,-,４,"1,666"
,33,"5,069",605,719,967,61,187,336,148,153,43,126,２,７,"1,715"
,34,"5,789",631,969,964,47,154,403,153,166,56,135,27,72,"2,012"
,35,"6,804",629,"1,291",88C,42,135,601,156,154,69,134,236,217,"2,254"
,36,"8,121",670,"1,856",78S,50,114,931,200,167,94,124,782,313,"2,031"
,37,"9,910",743,"2,532",712,60,111,"1,402",211,178,122,136,"1,343",302,"2,058"
,38,"12,154",819,"3,352",651,63,111,"2,056",227,209,159,151,"2,063",274,"2,019"
,39,"14,362",867,"4,174",567,60,114,"2,941",238,199,183,168,"2,689",216,"1,946"
,40,"15,984",829,"4,722",492,59,94,"3,561",261,218,203,225,"3,354",157,"1,809"
,41,"17,471",873,"5,080",411,48,109,"4,049",278,238,222,295,"4,056",103,"1,709"
,42,"19,808",962,"5,593",34（,42,113,"4,893",316,268,246,379,"5,008",79,"1,569"
,43,"23,159","1,097","6,440",281,40,116,"6,290",347,300,270,430,"6,032",65,"1,451"
,44,"26,691","1,228","7,209",12e,48,107,"7,884",388,322,323,500,"7,169",54,"1,333"
,45,"29,232","1,305","7,494",82,56,113,"8,907",436,370,365,607,"8,239",48,"1,210"
,46,"33,054","1,381","8,191",53,59,115,"11,024",489,472,385,658,"9,021",47,"1,159"
,47,"32,863","1,126","6,612",7（,48,107,"12,412",451,440,289,609,"9,571",45,"1,083"
,48,"57,422","2,269","12,382",78,120,218,"26,855",538,612,610,810,"11,722",50,"1,158"
,49,"61,659","2,410","12,967",7e,60,258,"30,806",565,658,683,825,,"12,351",
,50,"65,939","2,635","13,962",71,69,341,"35,725",634,707,788,776,,"10,231",
,51,"74,200","3,097","15,836",73,73,433,"41,908",648,915,961,737,,"9,519",
,52,"80,559","3,287","16､,633",6S,77,539,"47,087",671,"1,011","1,023",799,,"9,363",
,53,"86,558","3,576",17,671,74,666,"51,903",653,"1,159","1,096",836,,"8,924",
,54,"91,350","3,547",17,",653",57,764,"56,601",595,"1,115",915,944,,"9,159",
,55,"95,309","3,711",17,629,56,854,"59,797",585,"1,209",843,845,,"9,780",
