,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,局　数,函　数,通　常　　郵　　便　物,,小　包　郵　便　物,
,,,,引　　　　受,配　　　　達,引　　　　受,配　　　　達
,明治19,１,22,"623,726","531,070",●●●,
,20,１,26,"673,787","108,051",●●●,
,21,●●●,●●●,●●●,,●●●,●●●
,22,１,24,"838,624","801,847",●●●,
,23,１,32,"1,088,619","947,285",,
,24,１,32,"1,305,973","1,119,160",●●●,
,25,１,42,"1,475,291","1,309,181",,●●■
,26,１,49,"1,754,386","1,651,905",,●●●
,27,１,50,"2,148,070","1,889,970",●●●,
,28,１,57,"2,105,468","1,868,484","6,986",●●●
,29,１,48,"2,583,239","2,401,090","12,026","16,853"
,30,１,7∠1,"2,684,830","2,659,726","19,475","24,000"
,31,１,64,"3,085,457","3,182,874","23,388","27,987"
,32,１,75,"3,200,598","2,838,737","27,553","33,373"
,33,１,80,"3,858,725","3,473,258","38,235","41,215"
,34,●●●,●●●,,●●●,●●●,二●●
,35,,●●・,"4,511,963","4,322,791","54,427","54,820"
,36,■●●,●匆●,"4,914,660","4,908,141","66,552","67,397"
,37,７,92,"5,608,781","5,365,533","86,271","90,191"
,38,７,89,"7,147,019","5,944,755","80,822","80,051"
,39,９,89,"7,486,366","6,251,450","55,116","84,714"
,40,７,85,"6,779,811",",729,867","47,261","157,301"
,41,８,83,"8,700,918","8,256,211","58,057","163,220"
,42,８,85,"8,321,246","9,249,159","58,995","155,784"
,43,８,94,"8,765,540","8,472,155","144,946","162,487"
,44,８,91,"9,975,219","8,788,630","150,531","136,659"
,大正１,９,116,"9,523,772","8,726,245","151,011","125,679"
,２,９,96,"12,964,226","12,410,560","36,473","136,302"
,３,９,97,"10,823,202","10,438,760","155,768","133,540"
,４,９,110,"10,137,138","10,246,016","43,767","136,347"
,５,10,110,"11,676,414","11,201,262","184,811","160,449"
,６,11,111,"12,500,607","12,267,510","193,938","145,925"
,７,12,199,"14,194,636","12,477,721","63,321","233,264"
,８,11,99,"14,437,746","12,817,575","276,284","232,943"
,９,10,95,"15,377,943","12,601,452","260,596","223,806"
,10,11,97,"15,957,678","14,578,243","64,025","255,482"
,11,12,97,"16,722,649","16,760,488","74,195","273,562"
,12,12,102,"16,785,907","16,845,349","86,659","292,021"
,13,12,105,"18,630,971","18,349,904","87,073","306,807"
,14,13,106,"19,264,440","19,201,550","96,345","320,580"
,昭和１,13,120,"18,766,512","16,845,349","369,576","325,599"
,２,13,120,"19,325,790","18,349,904","422,598","471,000"
,３,14,121,"21,443,029","22,116,982","127,639","481,022"
,４,14,121,"23,489,566","24,157,539","91,468","340,408"
,５,15,130,"16,180,472","19,401,528","86,941","328,944"
,６,,蕃●Ｉ,●二●,●●●,●●●,
,７,４■●,●●蕃,●●●,●●●,●●●,
,８,●●●,●●●,●●Ｉ,,●●ｌ,●●●
,９,,●●●,●●●,,●二●,●●●
,10,20,134,"12,835,267","14,930,988","353,196","306,565"
,昭和45,37,149,"千通
26,852","28,313","千個
　318",547
,46,37,183,"27,589","28,794",194,323
,47,37,158,"23,285","28,278",166,451
,48,45,205,"27,177","31,134",133,525
,49,45,176,"26,575","31,653",190,553
,50,45,166,"24,599","31,133",140,436
,51,49,231,"21,597","32,261",135,541
,52,49,233,"26,016","30,955",166,614
,53,50,232,"24,251","27,289",139,457
,54,51,232,"25,746","37,162",151,492
,55,52,235,"27,592","38,389",134,467
