,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,局数,発　　　　　　　　　　信,,,着　　　　　　　　　　　信,,
,,,内　　国,外　　国,計,内　　国,外　　国,計
,明治19,●●●,●●●,,"80,549",●●●,●●●,"77,904"
,20,●●●,●●●,●■●,"85,908",,●齒４,"83,858"
,21,●●●,●●●,●●●,"103,157",●●●,,"102,776"
,22,●●●,●●●,●●●,"114,146",●●●,,"114,385"
,23,,●●●,●●●,"140,516",●●●,●●４,"141,780"
,24,,●●●,●●●,"151,367",,●●●,"152,862"
,25,,●●●,●■●,"154,432",,呷■・,"167,856"
,26,●・●,●●●,,"174,104",,,"178,572"
,27,,●●蕃,●・●,"197,812",●■●,,"203,515"
,28,●●●,●●●,●●●,"188,278",●●●,●●●,"194,362"
,29,１,●●●,,"254,492",●■●,●・●,"258,304"
,30,１,●●●,■■●,"299,462",●■●,・－●,"305,432"
,31,１,●●●,,"304,504",●●●,●・●,"312,148"
,32,１,●●●,,"278,565",●●●,・■・,"275,587"
,33,２,●●●,●●僵,"320,546",●●●,●・●,"318,495"
,34,,●●●,●●■,■・●,●●●,●■■,●●●
,35,２,●●●,●●■,"350,057",,●●●,"352,676"
,36,●●●,●●●,●●●,"388,922",,●●●,"395,020"
,37,１,"383,482",656,"384,138","347,094",755,"347,849"
,38,１,"403,723",764,"404,487","404,932",914,"405,846"
,39,１,"423,441","1,768","425,209","487,206","1,993","480,199"
,40,１,"409,362","2,225","411,587","541,093","2,643","543,736"
,41,１,"319,876","1,865","321,741","580,274","2,534","510,808"
,42,１,"269,725","2,079","271,804","499,197","2,767","501,964"
,43,１,"564,005","2,395","566,400","544,785","2,805","547,590"
,44,１,"502,272","2,085","504,357","549,269","2,181","551,450"
,大正１,１,"634,419","1,904","636,323","605,804","2,138","607,942"
,２,１,"1,007,875","3,447","1,011,322","645,509","2,456","647,965"
,３,１,"628,334","2,368","630,702","622,267","2,704","624,971"
,４,２,"355,746","1,117","356,863","618,891","3,197","622,088"
,５,２,"859,722","4,376","864,098","782,231","4,718","786,949"
,６,２,"1,005,464","4,542","1,010,006","954,865","5,070","959,935"
,７,１,"484,310","2,633","486,943","912,253","6,644","918,897"
,８,,"1,088,486","6,545","1,095,031","1,026,724","6,839","1,033,563"
,９,●・■,"1,053,712","6,899","1,060,611","1,007,561","7,102","1,014,663"
,10,・●●,"575,022","2,826","577,848","902,423","6,657","909,080"
,11,●・●,"608,336","3,896","612,232","897,501","8,648","906,149"
,12,●●●,"641,586","4,382","645,968","901,624","8,510","910,134"
,13,,"677,105","6,657","683,762","912,423","12,886","925,309"
,14,●●●,"757,195","8,781","765,976","956,090",15.152,"971,242"
,昭和１,●●●,"965,190","14,106","979,296","891,082","14,210","905,292"
,２,●●●,"939,537","10,645","950,182","863,695","11,202","874,897"
,３,●●●,"624,651","4,231","628,882","829,637","7,983","837,620"
,４,●●●,"654,575","6,918","661,493","829,321","12,592","841,913"
,５,●●●,"617,686","5,805","623,491","765,802","9,948","775,750"
,６,●●●,●●●,●●■,■二・,●●●,●●●,●●●
,７,●●●,●●●,■●●,・■・,慟●●,●●●,●●●
,８,●●●,●●●,慟■●,■■・,●●●,●●●,●●●
,９,●●●,●●●,●●●,●・●,●●●,●●●,ｆ●●
,10,・●●,"663,367","2,506","665,873","663,593","3,374","666,967"
