,,国　　　内　　　電　　　報,,,,国　　際　　電　　報,,,
,,発　信,着　信,中継信,計,発信,着信,中継信,計
,昭和34,"390,028","357,870","408,675","1,156,573",,●●●,●●●,
,35,"380,669","370,755","509,940","1,261,364",,●●●,●●●,
,36,"377,660","349,780","547,115","1,274,555",501,530,172,"1,203"
,37,"373,788","334,169","464,181","1,172,138",385,366,274,"1,025"
,38,"369,429","325,599","391,878","1,086,906",569,584,312,"1,465"
,39,"351,912","308,590","376,632","1,037,134",749,782,243,"1,774"
,40,"321,950","277,238","365,135","964,323",664,738,475,"1,877"
,41,"299,673","337,083","331,200","967,956",720,872,465,"2,057"
,42,"294,360","370,580","308,538","973,478",784,925,620,"2,329"
,43,"290,166","403,625","300,231","994,022","1,106","1,435",500,"3,041"
,44,"375,934","315,147","263,836","954,917",823,"1,069",284,"2,176"
,45,"393,165","315,302","269,921","978,388",298,635,177,"1,110"
,46,"265,008","263,681","217,828","746,517",293,661,168,"1,122"
,47,"214,527","239,301","185,573","639,401",303,740,186,"1,229"
