,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,兵　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　員,,,,,,,,,,,
,,陸　　　　　　　　　　　　　　　　軍,,,,,,,海　　　　　　　　　　　　　軍,,,,
,,現　役,予備役,後備役,補充兵,国民兵,諸生徒,計,現　役,予備役,後備役,諸生徒,計
,明治19,48,32,30,-,676,-,786,-,-,-,-,-
,20,16,78,35,-,658,-,787,●●●,,●●●,●●●,●●●
,21,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●襴●,●●●
,22,●●●,,■●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●・●,●●●
,23,11,91,61,-,205,-,368,４,１,-,-,５
,24,●●●,●●●,●●●,●●●,,●●●,●●・,●●●,●●●,●●●,●●●,●●●
,25,●●●,●●●,●●●,●●●,,,●●・,●●●,,●●●,●●●,●●●
,26,●■●,●●●,●●●,凖●●,●●●,・●●,●●●,●●●,●●●,●●■,●●●,●●●
,27,●●●,争●●,●●●,●●●,●●●,■●●,●●●,●●●,●●●,●●●,襴■■,●●●
,28,●●●,●●●,●Ｓ●,●●●,■●●,■●●,●●●,●●●,●●●,●●●,●●●,●●●
,29,●●●,●●●,・●●,●●●,●●●,●齔●,●●●,●●●,●争●,●●●,●畆●,●●●
,30,,ｌ●●,・●●,,,●●●,●●●,,ｉ●●,●ｌ●,●●●,ｉ●●
,31,●●●,●●●,●●●,,●●●,●●●,●●・,●●●,●●●,●ａ●,●●●,●●●
,32,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,二●●,●●●,●■●
,33,●●●,●●●,,●●●,●●●,●●●,,■●●,●■●,●●●,●●●,
,34,117,156,93,91,"8,888",７,"9,352",39,７,６,-,52
,35,117,156,93,91,"8,888",７,"9,352",35,８,８,１,52
,36,191,187,151,205,"10,035",-,"10,769",31,10,６,-,47
,37,162,215,173,366,"9,598",８,"10,522",23,21,15,１,60
,38,330,228,222,605,"8,650",１,"10,036",22,24,17,１,64
,39,296,560,345,"1,041",90,-,"2,332",19,29,39,-,87
,40,268,362,317,"1,051",57,-,"2,055",18,18,33,-,69
,41,423,423,397,"1,453",47,-,"2,743",20,19,44,-,83
,42,375,581,476,"1,439",120,-,"2,991",22,26,38,-,86
,43,324,680,551,"1,896",111,-,"3,562",37,８,７,-,52
,44,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,,●●●
,大正１,,蕃●●,●●●,●●●,●●●,,●●●,,●Ｉ●,●・●,●●●,●●●
,２,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,３,●●●,●●二,・●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●
,４,●●●,●●●,●●●,●●●,●●●,●●●,齒●ａ,●■●,●●●,●●蔘,●●●,●●φ
,５,争二●,●●●,●●●,,●●●,●●二,●●●,●●●,●●●,●●●,,●●●
,６,●●●,●●●,,●●●,二●二,●●●,●●●,●●●,●二Ｉ,●●●,・●●,●●●
,７,●●奉,●●●,●蓼■,●●●,夸●●,●●●,●●●,●●●,●●二,蕃●●,●●●,●●●
,８,●●●,,●●●,●●●,●●●,●●●,,●●●,●●●,４●●,●卜●,●●●
,９,●●●,●●●,,●●●,●●●,●●●,,,●●●,●●●,●●●,●●●
,10,●●●,●●●,●●●,●●●,●●●,●■●,●●●,,●襴●,●●●,●●●,●●●
,11,,●●●,●●●,●●●,●・●,,■●●,●●●,,●●●,●●●,●●●
,12,●●●,●●●,●奉●,●●●,●●●,,●・●,●●●,●●●,●●●,Ｉ●●,●●●
,13,●●●,●●●,●●●,●●●,●●●,,●曾●,●●●,●●●,●●二,黌●●,
,14,●■●,●●●,●●幽,●●●,●●●,,●●●,●●●,●●●,■●●,●●●,●●●
,昭和１,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●・,
,２,●●■,Ｉ●●,,●●●,●●●,●●●,●曾●,●●●,●●●,●ａ●,●●●,
,３,●●●,Ｉ●蕃,●●●,●●●,,,,●●●,●●●,,●・●,●●●
,４,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,５,●●●,●●●,４●●,●●●,●●●,蓼●●,●●●,●●●,●●●,,,●●●
,６,●●●,二●●,●●●,,●●●,●●●,二●●,●●●,●●●,●●●,●●●,●●●
,７,●●●,,●●●,●●●,●嗇●,●●●,●●●,●●●,●●●,,●●●,
,８,凾●●,●●●,・■血,,●●●,●●●,●慟齔,●●●,●●●,●●●,,●争●
,９,●●●,●●●,●●●,●●●,●●●,●●●,,●■●,●●●,●●●,●●●,●●●
,10,●●晶,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,●●●,●●●
,11,●●●,●●●,●●●,●●●,●●墨,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,12,●●●,●●●,●●●,●●●,●●●,●●●,,,●●●,●●●,●●●,●●●
,13,,●●●,,●●●,●●●,・●●,,,,●●ｉ,●●嗇,暮●●
,14,,●●●,,●●●,●●●,●●●,,,●●●,●ｆ僵,●●●,
,15,,●●●,●●●,●●●,●●●,,●●■,●●●,●●●,●●●,争●●,●●●
,16,,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●●,●●●,蕃●●,●●●
